epoch,train_standardized_mse,validation_standardized_mse,selection_objective,validation_r2,n_active_at_0_01
1,0.6575172970491954,0.4879787862300873,1.0299648320674897,0.5202350318953,24
2,0.372121968194503,0.38631319999694824,0.8801344585418701,0.6201893933711771,24
3,0.3099957007282185,0.3630911111831665,0.81468740940094,0.6430205753674305,24
4,0.27803822386241533,0.3178189992904663,0.734673171043396,0.6875306655984305,24
5,0.24910030611436246,0.28315040469169617,0.6717879092693329,0.721615677109726,24
6,0.22264792479783121,0.22410914301872253,0.5885814940929412,0.7796631514729984,24
7,0.20058477687889986,0.20228950679302216,0.5454326647520065,0.8011155030789461,24
8,0.18451448837773862,0.2144652009010315,0.539127790927887,0.7891447453263923,24
9,0.17096369869149033,0.1937781423330307,0.5019855397939682,0.8094835976946599,24
10,0.19069260745639527,0.16860917210578918,0.4635027611255646,0.8342289085495012,24
11,0.15136964449013063,0.14223095774650574,0.4270649802684784,0.8601631259472435,24
12,0.14339385225050388,0.13317279517650604,0.4077272766828537,0.8690688216384799,24
13,0.1357951263231198,0.1271064728498459,0.39185084998607633,0.8750330260230432,24
14,0.12964278373142574,0.1286664754152298,0.3839755231142044,0.873499281500286,24
15,0.1257858827622897,0.12687945365905762,0.37330697059631346,0.8752562287753772,24
16,0.13106189028795617,0.1232529729604721,0.3610654729604721,0.8788216663657669,24
17,0.12081888793115113,0.1395445615053177,0.36944824039936064,0.8628043132945692,24
18,0.1373406242416831,0.13511034846305847,0.3576478660106659,0.8671638720428132,24
19,0.12202909787197003,0.11794783920049667,0.33352305740118027,0.8840374976826836,24
20,0.1170392721096416,0.12162689864635468,0.33090143859386445,0.8804203764180178,24
21,0.11810716007464725,0.13607139885425568,0.3390099364519119,0.8662190072730087,24
22,0.11464624300783302,0.13862183690071106,0.33609845280647277,0.8637115083577882,24
23,0.11756049546430695,0.12462020665407181,0.31614499837160115,0.8774774540296714,24
24,0.1106751879644456,0.12147416919469833,0.30794856876134874,0.8805705350938756,24
25,0.11654019167691605,0.13947564363479614,0.320965473651886,0.8628720567996496,24
26,0.11438505317611049,0.12207610160112381,0.2988934233784676,0.8799787297079702,24
27,0.11178908744559089,0.12737411260604858,0.2995671439170837,0.8747699070280923,23
28,0.11393218380735343,0.11189841479063034,0.27977616518735887,0.8899850951891718,23
29,0.10910179557141811,0.10891557484865189,0.2726340845227242,0.8929177260133767,23
30,0.10857557796702884,0.11471389979124069,0.274525987803936,0.8872170081896189,23
31,0.10941760945355031,0.11908861249685287,0.2754679021239281,0.8829159251519328,23
32,0.1056314452600386,0.12959490716457367,0.2827351087331772,0.8725864770205358,23
33,0.10846276862441369,0.10623655468225479,0.25603185802698136,0.8955516533719421,22
34,0.10305181352655532,0.11378991603851318,0.2602495336532593,0.8881254320401746,22
35,0.10313915225229406,0.11933085322380066,0.2628408992290497,0.8826777625574497,21
36,0.10471361975392197,0.11353696137666702,0.2541230610013008,0.8883741255076317,20
37,0.10104123472430603,0.10869506001472473,0.2464361584186554,0.8931345359914804,20
38,0.09918265524589946,0.14742061495780945,0.28272825121879575,0.8550608139299747,18
39,0.1099765718403765,0.11117129772901535,0.24380644291639328,0.890699986310752,18
40,0.0990896126498979,0.10571257770061493,0.23587961375713348,0.8960668073663354,18
41,0.09830071783528246,0.10293585807085037,0.2307889559864998,0.8987967919010778,18
42,0.09585416753259508,0.10478543490171432,0.23038415163755416,0.896978352322137,18
43,0.09635655112472462,0.10820065438747406,0.2317981618642807,0.893620617786584,17
44,0.09771970330956274,0.10902699083089828,0.230455079972744,0.892808182177694,17
45,0.09828379785638393,0.11957503110170364,0.2391362741589546,0.8824377037102649,17
46,0.09911037228211382,0.14745517075061798,0.26532611191272737,0.8550268450799757,17
47,0.10858336467206206,0.10274618864059448,0.21893737554550172,0.8989832694725799,16
48,0.10025129481791364,0.10670284926891327,0.2214321392774582,0.8950932108186915,16
49,0.09566106804796218,0.10862957686185837,0.22188448637723923,0.8931989105139576,16
50,0.10196201049552463,0.10638625174760818,0.2181072810292244,0.8954044794900086,16
51,0.09795734285884133,0.1012287512421608,0.21172957330942155,0.9004751651515954,16
52,0.09069583162170924,0.0987856537103653,0.2079993110895157,0.9028771388175156,16
53,0.0903167175971306,0.10094752907752991,0.20886099457740784,0.9007516608376608,16
