field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
area_1_load_actual_mw,0.3277241455964159,0.4514696282498616,0.344626902840523,0.16508271990359755,0.36477178822316414,0.12412978829103109,1,1,1,1,1,1,6,1
area_2_net_export_mw,0.455962178223543,0.5754549132016258,0.41456784398005136,0.24422812469623636,0.5108236335064205,0.21281698748704195,1,1,1,1,1,1,6,1
gen_fuel_wind_mw,0.5212740517798242,0.5880336310271734,0.43364530143351104,0.26745158791444745,0.5562678873071617,0.2777650850947431,1,1,1,1,1,1,6,1
gen_fuel_hydro_mw,0.2377901172398942,0.28148749516417515,0.19945139746149962,0.06580966995570028,0.2417307771338467,0.04863814427109173,1,1,1,1,1,1,6,1
gen_fuel_natural_gas_mw,0.4205227109401464,0.5555981202259367,0.42645442607134326,0.2350180297409483,0.4608406531788801,0.19401084915796482,1,1,1,1,1,1,6,1
gen_fuel_coal_mw,0.48929484297574477,0.6732850619860926,0.5288265930675781,0.38276786226963155,0.5377353752602566,0.26713105761756634,1,1,1,1,1,1,6,1
reserve_spin_r3_mw,0.14754436199500823,0.16632326264634123,0.0969809684661349,0.05191363109060443,0.16112593931036814,0.017828260151297654,1,1,1,1,1,1,6,1
reserve_spin_r2_mw,0.30311824909622676,0.41338938837796424,0.3105742710505532,0.14615091962127846,0.3352031534359491,0.1028299530092607,1,1,1,1,1,1,6,1
reserve_spin_r1_mw,0.327724271223115,0.451471493532995,0.34461967523713266,0.16505410131344994,0.3647716893281864,0.12412897447664603,1,1,1,1,1,1,6,1
area_2_load_actual_mw,0.30311834078310423,0.413393098942884,0.3105791942078486,0.14625452467900577,0.335202783031185,0.1028313803932101,1,1,1,1,1,1,6,1
area_3_net_export_mw,0.4063947005351204,0.43208366639423185,0.3385224345741072,0.1505050262584759,0.44449088145460086,0.14329354304215536,1,1,1,1,1,1,6,1
area_1_net_export_mw,0.5770187566517294,0.6092478877361597,0.45443570303489716,0.28759003477536893,0.6091648665664052,0.2911212700122468,1,1,1,1,1,1,6,1
system_load_day_ahead_mw,0.289700717046799,0.3730937590443474,0.27089783306706966,0.12433870683097713,0.31235435096427344,0.07527185303088214,1,1,1,1,1,1,6,1
area_3_load_day_ahead_mw,0.14754607437350045,0.16632754705706793,0.09700688200812203,0.051808302284394224,0.16112929871186646,0.017829974924439662,1,1,1,1,1,1,6,1
area_2_load_day_ahead_mw,0.30311733032074584,0.4133940265304761,0.31062365354972626,0.1463858138954151,0.3352026529773802,0.10284635618944737,1,1,1,1,1,1,6,1
area_1_load_day_ahead_mw,0.32772336011053027,0.45145728413670344,0.3446650133028098,0.165115794354483,0.36476974099349396,0.12413107974508295,1,1,1,1,1,1,6,1
system_load_actual_mw,0.2882752541478843,0.3701947243069489,0.2681973091481023,0.12229921881072378,0.3105493604038532,0.07386715762697958,1,1,1,1,1,1,6,1
area_3_load_actual_mw,0.14754411405996437,0.16632138867931656,0.0969879177247545,0.05191523371182649,0.16112680976496302,0.017828462827862476,1,1,1,1,1,1,6,1
system_losses_mw,0.04596525936473522,0.1507543858813291,0.10287422862240482,0.060900597977910816,0.16671732077061294,0.048428718356705716,0,1,1,1,1,1,5,1
reserve_reg_up_mw,0.08420818608815221,0.09247446224104135,0.07566416486299439,0.06737093721239995,0.09615512760352742,0.01035582537778299,0,0,0,1,0,0,1,1
reserve_reg_down_mw,0.03807458920041349,0.04502098124320401,0.04616075301747282,0.06088033814328323,0.07235494999024275,0.008488146045438495,0,0,0,1,0,0,1,1
gen_fuel_solar_mw,0.047565656601619086,0.003964895219275001,0.028817014632787744,0.06152613244054917,0.11214971846100097,0.01608585385440534,0,0,0,1,0,0,1,1
