方法,门控模型R2,按阈值选中数,选中子集R2,门控值最大,门控值中位,恰好为0的个数,同字段数下R2
标准 D-Gating,0.9465470209047748,47,0.9389275278383704,0.7840269,0.08090290427207947,0,0.9389275278383704
改进门控（相关系数生成）,0.9282119154803959,48,0.9371090816680026,0.08212938,0.053231850266456604,0,0.9389687080548457
