tau,平均选中数,最少,最多,与目标字段数之差
0.02,14.75,8,20,1.791666666666666
0.05,8.166666666666666,3,12,4.791666666666668
0.08,5.666666666666667,2,9,7.291666666666667
0.12,4.75,2,8,8.208333333333334
0.2,2.8333333333333335,1,6,10.125
0.3,2.0833333333333335,1,6,10.875
