tau,平均选中数,最少,最多,与目标字段数之差
0.3,13.916666666666666,3,19,0.9583333333333321
0.2,17.166666666666668,5,22,4.208333333333334
0.12,18.25,6,24,5.291666666666666
0.08,19.0,11,24,6.041666666666666
0.05,19.666666666666668,11,24,6.708333333333334
0.02,21.166666666666668,19,24,8.208333333333334
