目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,DGatingDNN,0.6512175008764964,0.6098050557417223,40,gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_gas_pct|gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_mw
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,STG,0.609684358208061,0.6098050557417223,40,gen_fuel_gas_pct|gen_fuel_nuclear_mw|gross_inadv_interchange_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_pct|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,LassoNet,0.5129559080364641,0.6098050557417223,40,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,XGBoost,0.4110325504849328,0.6098050557417223,40,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|prelim_load_avg_hourly|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,Lasso,0.3443329581810599,0.6098050557417223,40,gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve
congestion_price_da,日前阻塞价,95%,9,DGatingDNN,Pearson,0.41386789300512417,0.6098050557417223,40,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,DGatingDNN,0.6512175008764964,0.6098050557417223,40,gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_gas_pct|gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_coal_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_mw
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,STG,0.609684358208061,0.6098050557417223,40,gen_fuel_gas_pct|gen_fuel_nuclear_mw|gross_inadv_interchange_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_solar_pct|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,LassoNet,0.5129559080364641,0.6098050557417223,40,gen_fuel_oil_mw|marginal_loss_price_rt|forecast_load_mw_latest_available|gross_inadv_interchange_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,XGBoost,0.4110325504849328,0.6098050557417223,40,gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|prelim_load_avg_hourly|gen_fuel_oil_pct|total_lmp_rt|da_as_as_mw_synchronized_reserve|forecast_load_mw_latest_available|gen_fuel_solar_mw
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,Lasso,0.3443329581810599,0.6098050557417223,40,gen_fuel_oil_mw|gen_fuel_coal_mw|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve
congestion_price_da,日前阻塞价,97%,9,DGatingDNN,Pearson,0.41386789300512417,0.6098050557417223,40,gen_fuel_oil_mw|gen_fuel_oil_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|gen_fuel_gas_mw|marginal_loss_price_rt|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve
