area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
-0.3366332,-0.34522033,0.86992407,0.1061752,-0.2525088,-0.34598976,0.84129816,-0.51310277,0.81613976,-0.51966447,0.78427744,1.253538,0.82632923,0.4359238,-0.18229425,-0.4014552,1.2843752,0.9068186,0.0321369,-0.32068926,1.6293216,1.6529703
-0.38132513,-0.38682342,0.8763567,0.061765406,-0.29510522,-0.38437814,0.8488175,-0.551798,0.84575635,-0.5405438,0.79014224,1.2689807,0.8317091,0.44123468,-0.22117037,-0.44546306,1.3152945,0.90387744,-0.0042804023,-0.35774988,1.653901,1.6771696
-0.41563225,-0.42814863,0.8872413,0.022563452,-0.32425413,-0.42875677,0.86633533,-0.5893891,0.89297974,-0.5756531,0.8047879,1.2906135,0.8507681,0.43934384,-0.26190415,-0.48708507,1.363282,0.9038247,-0.0505982,-0.38831496,1.6870643,1.6946462
-0.45332733,-0.48009142,0.9009543,-0.013069785,-0.37084648,-0.47275794,0.8820599,-0.6275943,0.9178037,-0.61776763,0.80720806,1.3131486,0.8467282,0.4297551,-0.29737076,-0.51456356,1.3975047,0.90684164,-0.080318734,-0.41682893,1.7199392,1.7154015
-0.48121333,-0.5270969,0.9101425,-0.05831878,-0.40886512,-0.50989085,0.9024487,-0.6616135,0.9725165,-0.6428423,0.8060529,1.327663,0.8540637,0.44734952,-0.33423105,-0.5518267,1.4102439,0.92005205,-0.10878026,-0.45236334,1.736661,1.7290688
-0.5144484,-0.5724151,0.9209067,-0.10021183,-0.44129542,-0.54266995,0.91845775,-0.6903262,1.0134394,-0.67426485,0.8098661,1.3407611,0.86142737,0.45136833,-0.3670534,-0.59791744,1.4576205,0.93303394,-0.15352459,-0.48778728,1.7496355,1.7362199
-0.5422454,-0.5974069,0.9176981,-0.1523817,-0.48830712,-0.5739679,0.9223018,-0.7078462,1.06251,-0.70897204,0.81342494,1.3550189,0.8743012,0.44272882,-0.40780532,-0.63636005,1.4957703,0.9505883,-0.20492314,-0.5181331,1.7602147,1.751694
-0.5815796,-0.6246343,0.94070244,-0.19337401,-0.5128889,-0.6040447,0.9208597,-0.74821275,1.0988221,-0.73929554,0.811737,1.3770726,0.8826241,0.44162646,-0.44308817,-0.6602276,1.5211674,0.95871603,-0.24633612,-0.56138366,1.7780037,1.7873982
-0.6157009,-0.65318257,0.9490774,-0.21521474,-0.54642254,-0.64065367,0.9344062,-0.7755557,1.1210665,-0.76831913,0.82057726,1.3881927,0.88408184,0.42488706,-0.48155484,-0.69158435,1.5364139,0.9806277,-0.2755734,-0.5960901,1.8033551,1.793634
-0.64490104,-0.68254906,0.9536788,-0.25588894,-0.58415884,-0.6762215,0.9403433,-0.7904394,1.1500853,-0.79693294,0.8130998,1.405313,0.87766045,0.41823408,-0.52199894,-0.72274935,1.5599251,0.99730563,-0.31481975,-0.62628716,1.8275396,1.819326
-0.6687351,-0.7179134,0.9650035,-0.28426012,-0.6142196,-0.7075228,0.9513069,-0.82253623,1.1878915,-0.8258445,0.8251552,1.4186759,0.872113,0.40216818,-0.55405104,-0.7537924,1.5895398,1.0217748,-0.34432912,-0.652731,1.8487021,1.8333027
-0.6957834,-0.7555621,0.9738928,-0.32628885,-0.6550306,-0.74206686,0.9512087,-0.83915055,1.2373188,-0.84523594,0.82823294,1.4228402,0.8806124,0.39834034,-0.5896419,-0.7938019,1.640364,1.0314779,-0.386837,-0.6654729,1.8625628,1.8602988
-0.7123427,-0.7835803,0.9821581,-0.37021112,-0.6833225,-0.77012765,0.9566989,-0.8706629,1.2753751,-0.879586,0.8512503,1.423383,0.88109446,0.39359292,-0.62546915,-0.8247518,1.6617111,1.0574907,-0.41904593,-0.6867512,1.8913532,1.8796753
-0.73959124,-0.81217605,0.97905004,-0.4040578,-0.705207,-0.79668623,0.96490985,-0.91123325,1.2993927,-0.9026599,0.8755997,1.4530461,0.8918779,0.39904806,-0.6537381,-0.8501087,1.696762,1.0749866,-0.46214366,-0.70239395,1.9195637,1.8952726
-0.7531866,-0.8406943,0.98578405,-0.44558918,-0.7281572,-0.8203285,0.98568285,-0.9328583,1.331878,-0.9119946,0.8784427,1.4701552,0.89496094,0.3926611,-0.68161875,-0.8777853,1.7282256,1.093565,-0.5048244,-0.7201362,1.9211257,1.9215958
-0.767494,-0.88195395,0.9821303,-0.47893098,-0.7571156,-0.8406672,0.9850803,-0.94824374,1.3497386,-0.9366915,0.887578,1.4796844,0.8856045,0.39117342,-0.7144223,-0.8911894,1.7380829,1.11576,-0.54469156,-0.743068,1.9278275,1.9360571
-0.80310184,-0.9059948,0.9884755,-0.5129231,-0.78109497,-0.86932087,0.9885215,-0.96299493,1.3828404,-0.95298606,0.9026436,1.4936215,0.8851926,0.38880748,-0.74536407,-0.9189886,1.7630713,1.14367,-0.57598716,-0.77382475,1.9523715,1.9506516
-0.82474566,-0.9150879,0.99201584,-0.5532264,-0.81549263,-0.8874089,0.9914831,-0.97369295,1.402798,-0.98354214,0.9099538,1.5080692,0.88051295,0.3980839,-0.7689838,-0.9477981,1.7810465,1.1637855,-0.5881353,-0.79409957,1.9610479,1.9555849
-0.85313463,-0.93808347,0.99654144,-0.59692335,-0.8430146,-0.9053936,1.0034878,-0.98897356,1.4326891,-0.99633557,0.93782806,1.51351,0.8937481,0.40046388,-0.79865897,-0.9742877,1.7915069,1.17627,-0.6063788,-0.82910407,1.9919544,1.969669
-0.873455,-0.95456815,1.0083852,-0.61818135,-0.86578166,-0.93404907,0.99561507,-1.0110469,1.4829748,-1.0082201,0.94085187,1.5280029,0.9102769,0.3925901,-0.8226146,-1.0036756,1.8215793,1.2003958,-0.6401262,-0.84534025,1.9961674,2.0034218
-0.8911873,-0.97112167,1.0198157,-0.6447189,-0.8918181,-0.9497277,0.9937157,-1.0320925,1.5131595,-1.0248652,0.9372146,1.5231737,0.9166434,0.3839633,-0.84982866,-1.0200894,1.8234415,1.2177521,-0.66598356,-0.8570586,1.9968354,2.0093725
-0.9071645,-0.985369,1.0179659,-0.6770194,-0.91201484,-0.97540015,0.99807316,-1.0464001,1.5286934,-1.0471606,0.94772613,1.5237124,0.9306675,0.38329995,-0.87432545,-1.0387276,1.8486239,1.2426392,-0.6996411,-0.8685076,2.006766,2.0332897
-0.9298845,-1.0100955,1.0003228,-0.71089315,-0.92819524,-0.9947159,0.999443,-1.060849,1.5486766,-1.0769,0.96095634,1.5685745,0.93088585,0.37893036,-0.8973611,-1.054484,1.8529352,1.2843368,-0.7258868,-0.8815153,2.0300565,2.039044
-0.95103157,-1.024009,1.006788,-0.7407594,-0.9435493,-1.0127906,1.0098356,-1.0769633,1.5735133,-1.0873816,0.9766326,1.5764751,0.9280862,0.36628723,-0.9226128,-1.0729328,1.8717384,1.2889776,-0.7616135,-0.9041634,2.0309923,2.039543
