方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.881409842870218,gross_inadv_interchange_mw|gross_sched_interchange_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|net_actual_interchange_mw|gen_fuel_coal_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|total_losses|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_mw|total_lmp_da|gen_fuel_nuclear_pct|congestion_price_da|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|total_pjm_assigned_reg
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8873422525791609,gross_inadv_interchange_mw|gen_fuel_gas_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|total_losses|gen_fuel_nuclear_mw|net_sched_interchange_mw|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_other_renewables_pct|gen_fuel_gas_pct|total_pjm_rmpcp_cr|net_actual_interchange_mw|da_as_ss_mw_primary_reserve|marginal_loss_price_da|solar_generation_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_mw|gen_fuel_coal_pct|da_as_as_req_mw_primary_reserve|gen_fuel_oil_mw|gen_fuel_multiple_fuels_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8773140769724612,gross_inadv_interchange_mw|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_oil_mw|total_pjm_loc_credit|gen_fuel_hydro_mw|total_pjm_rmpcp_cr|net_sched_interchange_mw|total_losses|gen_fuel_gas_pct|net_actual_interchange_mw|gen_fuel_coal_mw|gen_fuel_other_renewables_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_synchronized_reserve|gen_fuel_hydro_pct|forecast_load_mw_latest_available|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_nuclear_pct
XGBoost,树模型特征重要性（2016）,0.8754771245163986,gross_inadv_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|net_sched_interchange_mw|da_as_as_req_mw_primary_reserve|total_pjm_rt_load_mwh|gen_fuel_multiple_fuels_mw|net_actual_interchange_mw|metered_load_mw|gen_fuel_gas_pct|gen_fuel_other_renewables_pct|prelim_load_avg_hourly|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|da_as_mcp_synchronized_reserve|gen_fuel_nuclear_pct
Lasso,线性稀疏（1996）,0.8777191152838594,gross_inadv_interchange_mw|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|total_pjm_reg_purchases|gen_fuel_coal_mw|gen_fuel_oil_mw|net_sched_interchange_mw|gen_fuel_hydro_mw|total_losses|gen_fuel_gas_pct|total_pjm_rmpcp_cr|total_pjm_loc_credit|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_other_renewables_mw|gen_fuel_storage_mw|gen_fuel_solar_mw|gen_fuel_wind_pct|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_mw_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.8561842609813886,gross_inadv_interchange_mw|gross_sched_interchange_mw|total_losses|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_coal_pct|total_pjm_reg_purchases|prelim_load_avg_hourly|metered_load_mw|forecast_load_mw_latest_available|total_gen|total_pjm_rt_load_mwh|gen_fuel_gas_mw|total_pjm_assigned_reg|gen_fuel_solar_pct|total_lmp_da|system_energy_price_da|gen_fuel_nuclear_pct|solar_generation_mw|gen_fuel_solar_mw|gen_fuel_other_renewables_pct|gen_fuel_gas_pct
