数据集,目标,字段名,候选数,random_可推断性,random_种子间标准差,temporal_可推断性,temporal_种子间标准差,两口径之差
pjm_2025,净实际交换功率,net_actual_interchange_mw,52,0.955272795717617,0.003601956590133094,0.33685572496599514,0.10113540965466075,0.6184170707516219
pjm_2025,总实际交换功率,gross_actual_interchange_mw,52,0.8271990033212805,0.009774314996137004,-0.03288095320401411,0.04250604580388055,0.8600799565252946
pjm_2025,净计划交换功率,net_sched_interchange_mw,52,0.9549994206814146,0.0024040683010797268,0.46274262451744974,0.08909415242923754,0.4922567961639649
pjm_2025,总发电量,total_gen,52,0.9989503909025174,8.773630160874017e-05,0.9903549708024065,0.0015106073227305066,0.008595420100110829
pjm_2025,计量负荷,metered_load_mw,52,0.9998372609380158,3.9007769746961986e-05,0.9949438626259655,0.004044464214249055,0.004893398312050379
pjm_2025,网损,total_losses,52,0.9240109881869509,0.006676694949029096,0.36298031668006486,0.10396597626002971,0.561030671506886
pjm_2025,日前阻塞价,congestion_price_da,52,0.6258631718959942,0.046149977724278105,-0.1590108346567761,0.17608512015848582,0.7848740065527703
pjm_2025,实时阻塞价,congestion_price_rt,52,0.5351055374763901,0.08399457109046789,0.3775152247747238,0.00580990965975254,0.1575903127016663
pjm_2025,日前边际损耗价,marginal_loss_price_da,52,0.8662961828071625,0.011122454481812167,0.3780774088063425,0.04619334884782832,0.48821877400082
pjm_2025,日前总电价,total_lmp_da,52,0.9921087897475429,0.001303659649923164,0.9289424393439414,0.014072382718076067,0.06316635040360152
pjm_2025,日前主用备用总量,da_as_total_mw_primary_reserve,52,0.9998083495683646,2.84912305494001e-05,0.9988754840894408,0.0005367941341986885,0.0009328654789237945
pjm_2025,日前30分钟备用总量,da_as_total_mw_thirty_minutes_reserve,52,0.9995073159793679,0.00022278898150701238,0.9935963448301356,0.0008337338104891935,0.005910971149232336
rts_v2,115号母线电压相角,bus_115_va_deg,46,0.9821511565272617,0.0005729627246827826,0.9760342697233465,0.002389830262975555,0.0061168868039152
rts_v2,215号母线电压相角,bus_215_va_deg,46,0.9870548164836479,0.0008676732007445303,0.9667899819949252,0.005013715223530107,0.02026483448872274
rts_v2,315号母线电压相角,bus_315_va_deg,46,0.9897397690552484,0.0009268053512732037,0.985215545574578,0.0012889019717136838,0.004524223480670386
rts_v2,AB1联络线负载率,branch_ab1_loading_pct,46,0.9858646444785663,0.0020147184792377393,0.890689064924343,0.015281377208005006,0.09517557955422329
rts_v2,AB2联络线负载率,branch_ab2_loading_pct,46,0.9852726586134818,0.000571546421740455,0.9573512621569079,0.00806473566255055,0.027921396456573877
rts_v2,AB3联络线负载率,branch_ab3_loading_pct,46,0.9525744088063867,0.0024572203390453495,0.8419214292698237,0.008762377614038119,0.11065297953656295
rts_v2,CA1联络线负载率,branch_ca_1_loading_pct,46,0.9788244078237321,0.0008773355400789306,0.9402711515635392,0.00560337942284617,0.0385532562601929
rts_v2,CB1联络线负载率,branch_cb_1_loading_pct,46,0.9802032111659701,0.0005520787508245418,0.9379648022735866,0.01094132808768246,0.042238408892383505
rts_v2,121号核电机组出力,gen_121_nuclear_1_pg_mw,46,0.9999603377269551,3.5428240961439252e-06,0.9988589938850286,0.0004403138217390429,0.0011013438419265054
rts_v2,218号联合循环机组出力,gen_218_cc_1_pg_mw,46,0.9996850081182415,1.6209718499853967e-05,0.9980949653064485,7.64066598114612e-05,0.00159004281179298
rts_v2,317号风电机组出力,gen_317_wind_1_pg_mw,46,0.9372467555493299,0.004864137320644662,0.8443863469706033,0.025387548506437218,0.09286040857872657
rts_v2,321号联合循环机组启停状态,gen_321_cc_1_status,46,0.9993506810462973,0.0003128467595006389,0.9939949857027207,0.002961649067769141,0.005355695343576605
