total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5779823,0.41044044,0.3944175,0.4458566,0.5454124,0.39835352,0.50709087,0.5360141,0.47208,0.48536086,0.4021003,0.40253842,0.44934076,0.46115324,0.48274544,0.40246934,0.5498348,0.43997157,0.4443187,0.46313635,0.41673207,0.42845172,0.46936253,0.4221441,0.4902539,0.39399704,0.4376531,0.45209897,0.40791345,0.46578765,0.42494094,0.54440403,0.4191591,0.46729666,0.40366182,0.3884663,0.47214958,0.53128076,0.486916,0.51430255,0.5607013,0.45038426,0.4822618,0.46078533,0.41416577,0.54182774,0.4128074,0.4599407,0.43199503,0.42967376,0.39565325,0.41942215,0.6109911,0.47879714
0.6732473,0.3835621,0.35449028,0.46920198,0.60428256,0.389662,0.50334406,0.56074214,0.46429074,0.48066348,0.3412288,0.36414614,0.4545211,0.45227584,0.4784099,0.31704882,0.5919437,0.48807096,0.4460312,0.5074048,0.38970447,0.41758052,0.45776471,0.36665028,0.4553872,0.28960916,0.41547012,0.4202785,0.32490793,0.47915795,0.37025216,0.5618427,0.3760856,0.485266,0.35000303,0.33185583,0.46914974,0.55496985,0.4688629,0.5194467,0.58217263,0.44037664,0.5216144,0.50654286,0.3684243,0.6109596,0.39036492,0.43269882,0.41392043,0.42490256,0.30988,0.37865654,0.67858136,0.49531242
0.7386709,0.37869167,0.30539072,0.48026592,0.63750625,0.37180525,0.50188607,0.59357476,0.44944304,0.48145342,0.29222623,0.32426208,0.4566383,0.48171154,0.47926274,0.27437323,0.61687565,0.5278032,0.43393028,0.5392086,0.35425505,0.40195006,0.45639634,0.33216348,0.42993036,0.16957873,0.38858357,0.3875284,0.27149016,0.49929863,0.3108289,0.600125,0.31636444,0.49459323,0.3076508,0.29917037,0.474785,0.5679503,0.4568176,0.5140045,0.60581034,0.418914,0.55597335,0.5359651,0.35254082,0.6283659,0.36639407,0.41337925,0.40288374,0.4176826,0.23349437,0.3656318,0.7431702,0.5375941
0.79200697,0.36044395,0.2831894,0.4972379,0.6871948,0.35129625,0.50242144,0.6321945,0.43817973,0.49352765,0.2500332,0.28638002,0.4600738,0.52129424,0.4697975,0.24559245,0.63947207,0.54111487,0.4230273,0.5517708,0.3123011,0.37971464,0.44451368,0.28617883,0.39545068,0.04865521,0.36766547,0.3420604,0.22659595,0.47745612,0.25364098,0.6107376,0.2628475,0.5022508,0.25468034,0.2824952,0.47081402,0.5900885,0.44514447,0.5050305,0.6559304,0.4133771,0.59083,0.5599172,0.3366337,0.6593577,0.33472782,0.3833645,0.3774031,0.4194887,0.15139973,0.3568861,0.8113183,0.5826309
0.83791625,0.3439334,0.2489012,0.5234527,0.72653913,0.3469699,0.50122654,0.6620341,0.4142111,0.5067792,0.19764994,0.2507845,0.47355765,0.55990016,0.46096382,0.20734143,0.66254145,0.5732164,0.39806417,0.5832987,0.2675666,0.37407237,0.4284239,0.24277882,0.37868938,0.0,0.33775198,0.3166177,0.17491277,0.47561836,0.21005417,0.6364325,0.20289676,0.511632,0.18676221,0.25804856,0.47025502,0.6219776,0.431508,0.520652,0.68417215,0.3953244,0.63067496,0.579556,0.31613055,0.6838418,0.30532122,0.34885675,0.36234903,0.40316036,0.06874309,0.33003595,0.86793935,0.6164168
0.88713056,0.33727467,0.21810661,0.55747765,0.7669984,0.34272507,0.5059114,0.683567,0.40004602,0.53203934,0.14114057,0.20603155,0.48041016,0.6425301,0.45142803,0.16933921,0.6999244,0.59108865,0.37816674,0.6065935,0.22593734,0.35414943,0.41503224,0.19619761,0.35384774,0.0,0.31469098,0.2772304,0.119627036,0.46515518,0.15482672,0.64858717,0.12936994,0.51391834,0.11944996,0.23507583,0.4767753,0.6513698,0.39368767,0.524766,0.7115906,0.3875662,0.66444856,0.5966806,0.2792379,0.70328337,0.25564486,0.3084574,0.33882764,0.40341312,0.0,0.31425732,0.91236377,0.6462279
0.9362476,0.32808223,0.18515018,0.58397526,0.7973666,0.3285065,0.49109143,0.71615946,0.37939903,0.5559275,0.08250673,0.14567146,0.47987682,0.6987175,0.43923482,0.13975297,0.7406479,0.6129016,0.34275982,0.6196752,0.1745005,0.3273285,0.39893767,0.13619086,0.32582822,0.0,0.2899613,0.21523754,0.06329477,0.44858682,0.08805582,0.6812804,0.046636377,0.5161362,0.061635174,0.2181385,0.47494236,0.6714705,0.37894124,0.5327151,0.7570184,0.36435476,0.702164,0.6220528,0.249783,0.73026365,0.21276352,0.25761002,0.33366692,0.39389604,0.0,0.286976,0.9635511,0.65892863
0.97072196,0.33605862,0.15092796,0.61278266,0.8409463,0.3200189,0.48664308,0.74537075,0.35811594,0.5876924,0.036117103,0.084244765,0.50688326,0.74937326,0.43431994,0.10410098,0.7645591,0.6589491,0.31200996,0.642007,0.11354987,0.29428092,0.37911606,0.06464768,0.2939445,0.0,0.26272902,0.17013071,0.007935522,0.419696,0.026990468,0.6859105,0.0,0.5100871,0.0,0.16689846,0.47687274,0.6945797,0.34785143,0.5475885,0.7903279,0.3470993,0.7208939,0.63162225,0.20988537,0.7547247,0.1759814,0.20836496,0.33542344,0.38169044,0.0,0.25696173,1.0,0.68771464
1.0,0.32268974,0.12108397,0.63260585,0.86585563,0.3112045,0.47621763,0.76462716,0.34043747,0.6263703,0.0,0.029260375,0.51426864,0.7972516,0.43542117,0.07319712,0.798032,0.7004386,0.2700884,0.6539378,0.06254602,0.2718178,0.36466244,0.0,0.26636574,0.0,0.23682985,0.13044634,0.0,0.3965613,0.0,0.70493627,0.0,0.52620226,0.0,0.14178129,0.4734282,0.7435059,0.3224259,0.5642748,0.82841647,0.32810178,0.77041084,0.6606,0.17937268,0.7814055,0.12447663,0.14576277,0.3135614,0.37170914,0.0,0.21933277,1.0,0.720614
