area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.44869137,0.50055635,0.49634805,0.5028244,0.4793004,0.48105013,0.4674287,0.5993495,0.5164781,0.45595852,0.45075732,0.4614393,0.5154014,0.40008542,0.57223445,0.47149026,0.4512568,0.51623696,0.47908872,0.5837363,0.5754248,0.46756166,0.45359364,0.5235517,0.50552356,0.49023166,0.5197114,0.550636,0.46609542
0.46237,0.4895644,0.4888539,0.518402,0.47583356,0.47784537,0.4555028,0.6346348,0.53237224,0.48996323,0.42927635,0.48094305,0.533075,0.3637723,0.5930638,0.5254105,0.45768377,0.5508829,0.4904777,0.6568296,0.62188834,0.507345,0.42600575,0.52771926,0.5204329,0.48589423,0.50612456,0.5949798,0.45309857
0.4656688,0.47714043,0.47165808,0.5264369,0.46333006,0.46266678,0.443107,0.67381877,0.5341304,0.49334967,0.39122385,0.50280225,0.56700385,0.3529326,0.6129336,0.55709934,0.51280844,0.5870815,0.5199818,0.7328569,0.67666936,0.52036375,0.42459404,0.51309067,0.5450739,0.4754662,0.5051988,0.6372998,0.44971937
0.47717872,0.47713667,0.43538335,0.54759353,0.45598245,0.43946627,0.4202867,0.70352596,0.5552693,0.51818746,0.36131218,0.5106447,0.59481645,0.32434863,0.6196649,0.5792149,0.5446868,0.617492,0.53912246,0.79374003,0.7160341,0.5494682,0.4231035,0.49758154,0.5485364,0.48857144,0.5011438,0.69233197,0.4526623
0.4857829,0.47339338,0.40756127,0.5818269,0.44110516,0.41698,0.4143409,0.7477758,0.5710353,0.5403123,0.33718857,0.5225758,0.61085624,0.31328198,0.6236357,0.5937244,0.59278184,0.64656234,0.56148267,0.8478847,0.74996054,0.56807595,0.4199919,0.4799425,0.55080056,0.48319292,0.48920012,0.72983813,0.46112767
0.5086008,0.46953866,0.38431737,0.6077051,0.4241355,0.40353143,0.40803874,0.79477495,0.60107726,0.5459535,0.30950454,0.5562834,0.6323231,0.28589448,0.63448614,0.61024165,0.6530117,0.6815297,0.5856345,0.89763445,0.77595216,0.60254246,0.4241166,0.45794758,0.54398084,0.48487854,0.479748,0.7626311,0.4702631
0.51602155,0.4549322,0.3429087,0.618017,0.39663777,0.3810385,0.39537954,0.8267094,0.6189161,0.55686563,0.26719514,0.57798845,0.6648078,0.24746427,0.6305205,0.62231576,0.6976418,0.72692925,0.5909954,0.93855566,0.79874164,0.6052611,0.43367058,0.42062703,0.53728926,0.4760162,0.47830504,0.7961446,0.483103
0.543032,0.45108888,0.31627095,0.64866966,0.37866995,0.3644819,0.37948912,0.86312467,0.6347378,0.57623994,0.23115365,0.61489505,0.682183,0.23685464,0.63225114,0.6269248,0.73657125,0.75302976,0.6053019,0.9830542,0.8138704,0.62224895,0.45161137,0.40080792,0.52356476,0.46924976,0.4608466,0.82166773,0.49673864
0.55899364,0.43271834,0.28624666,0.66960657,0.35258532,0.33545974,0.35912922,0.8981376,0.65487134,0.58484215,0.18884853,0.64825904,0.7015001,0.19634786,0.6320556,0.64053863,0.77248216,0.78028345,0.5942651,1.0249548,0.84290224,0.64493895,0.4746072,0.3818031,0.5128296,0.458695,0.45055562,0.84846455,0.51285964
