feature,mask_mse,mask_r2,mask_sensitivity
da_as_as_mw_thirty_minutes_reserve,0.7256706357002258,0.28770386776665235,-0.000402987003326416
da_as_total_mw_thirty_minutes_reserve,0.7299561500549316,0.2834973452557773,0.0038825273513793945
da_as_as_req_mw_thirty_minutes_reserve,0.7259582281112671,0.28742158074557844,-0.00011539459228515625
da_as_as_req_mw_primary_reserve,0.7310692667961121,0.2824047264153996,0.0049956440925598145
da_as_as_req_mw_synchronized_reserve,0.7288647294044495,0.28456864107896984,0.002791106700897217
total_pjm_assigned_reg,0.7226542830467224,0.2906646230107711,-0.003419339656829834
da_as_as_mw_primary_reserve,0.7220503091812134,0.29125743718827946,-0.004023313522338867
da_as_total_mw_primary_reserve,0.7237123250961304,0.28962608345794627,-0.002361297607421875
da_as_as_mw_synchronized_reserve,0.7283375859260559,0.28508605295174017,0.002263963222503662
total_pjm_reg_purchases,0.7238222360610962,0.28951821071417017,-0.0022513866424560547
gen_fuel_other_renewables_mw,0.7483906149864197,0.26540262143915616,0.02231699228286743
total_lmp_da,0.73497474193573,0.2785712137896009,0.008901119232177734
total_pjm_rmpcp_cr,0.7243312001228333,0.2890185775500985,-0.0017424225807189941
forecast_load_mw_day_ahead,0.7300811409950256,0.28337460928286407,0.004007518291473389
total_pjm_rmccp_cr,0.7265370488166809,0.2868534052286782,0.0004634261131286621
da_as_total_mw_synchronized_reserve,0.7291284799575806,0.28430973506065393,0.0030548572540283203
system_energy_price_da,0.736079216003418,0.2774871127228441,0.010005593299865723
gen_fuel_multiple_fuels_pct,0.7326258420944214,0.2808768436263672,0.006552219390869141
gen_fuel_multiple_fuels_mw,0.7338920831680298,0.27963393467290665,0.007818460464477539
marginal_loss_price_rt,0.7277793884277344,0.28563393444424157,0.001705765724182129
gen_fuel_gas_pct,0.7249664068222046,0.2883951222540613,-0.0011072158813476562
marginal_loss_price_da,0.7301218509674072,0.2833346500629915,0.0040482282638549805
total_lmp_rt,0.7234100699424744,0.28992277637803,-0.002663552761077881
rmccp,0.729032039642334,0.2844044023970044,0.0029584169387817383
system_energy_price_rt,0.723325788974762,0.29000549596480474,-0.002747833728790283
rmpcp,0.7272431254386902,0.2861603214207601,0.0011695027351379395
gen_fuel_wind_pct,0.7222090363502502,0.29110165911366903,-0.003864586353302002
wind_generation_mw,0.724127471446991,0.28921854514825895,-0.0019461512565612793
gross_inadv_interchange_mw,0.7336279153823853,0.2798932408550838,0.007554292678833008
da_as_mcp_primary_reserve,0.7233009338378906,0.29002984879408333,-0.002772688865661621
total_pjm_rt_load_mwh,0.7295730113983154,0.283873384952947,0.0034993886947631836
metered_load_mw,0.7326167225837708,0.2808857615638495,0.006543099880218506
forecast_load_mw_latest_available,0.7275510430335999,0.2858580833728829,0.0014774203300476074
gross_actual_interchange_mw,0.7299104928970337,0.28354216360825235,0.0038368701934814453
total_pjm_loc_credit,0.7372307181358337,0.27635682131323036,0.011157095432281494
total_losses,0.7403609156608582,0.27328430601925335,0.014287292957305908
net_inadv_interchange_mw,0.7305557727813721,0.2829087613819464,0.004482150077819824
da_as_nsr_mw_primary_reserve,0.7260087728500366,0.2873719604267667,-6.4849853515625e-05
total_pjm_self_sched_reg,0.7412388920783997,0.27242252456062865,0.015165269374847412
da_as_ss_mw_synchronized_reserve,0.7241949439048767,0.2891523466123328,-0.0018786787986755371
da_as_ss_mw_thirty_minutes_reserve,0.7225612998008728,0.29075586037116685,-0.0035123229026794434
da_as_ss_mw_primary_reserve,0.7247836589813232,0.28857445283022753,-0.001289963722229004
gen_fuel_coal_pct,0.7245341539382935,0.28881941027966085,-0.001539468765258789
congestion_price_rt,0.7167048454284668,0.2965043857387545,-0.00936877727508545
da_as_mcp_synchronized_reserve,0.7249223589897156,0.2884383399510908,-0.00115126371383667
congestion_price_da,0.7370179295539856,0.27656570684887305,0.01094430685043335
