底集规模,加入字段,代理增量,真实增量,真值不确定度,可分辨,符号一致,绝对误差
0,area_2_load_actual_mw,0.3295981808021101,0.3252716514967744,0.007316106767850449,True,True,0.0043265293053357246
0,area_2_fuel_coal_mw,0.28559982161231834,0.3513252342364525,0.0012511352610868908,True,True,0.06572541262413417
0,gen_fuel_natural_gas_mw,-0.34317678969287857,-0.1330604048931523,0.016780275141013688,True,True,0.21011638479972627
0,area_1_fuel_solar_mw,-0.06393561562722638,0.04497987650076607,0.00798657684610804,True,False,0.10891549212799245
0,area_3_net_export_mw,0.050176080147905644,0.08121705518856359,0.0024247837124539147,True,True,0.031040975040657948
0,area_2_load_day_ahead_mw,0.323036687490589,0.3258825533542929,0.00775111839467065,True,True,0.002845865863703889
0,area_1_fuel_hydro_mw,0.19368465174704919,0.2981618004896574,0.0036363784485638055,True,True,0.10447714874260822
0,area_2_load_day_ahead_mw,0.323036687490589,0.3258825533542929,0.00775111839467065,True,True,0.002845865863703889
1,area_1_generation_mw,0.03325946022766124,0.03541823757320476,0.007939273633800563,True,True,0.002158777345543518
1,area_3_fuel_wind_mw,0.46266381776943677,0.5123697738476302,0.0063210399911601605,True,True,0.04970595607819339
1,system_losses_mw,0.47311921465011686,0.5625498876862582,0.020814627517765198,True,True,0.08943067303614138
1,area_1_net_export_mw,0.120700658349713,0.11276734353074502,0.01606658130998034,True,True,0.007933314818967974
1,area_2_fuel_hydro_mw,-0.022280580010234807,-0.04262988830548631,0.012910261900252172,True,True,0.0203493082952515
1,gen_fuel_hydro_mw,-0.028025942023255035,-0.007505600462328031,0.005383089124911684,False,True,0.020520341560927004
1,gen_fuel_coal_mw,0.5612291737064641,0.5430684803318871,0.007041456853168078,True,True,0.01816069337457693
1,reserve_spin_r1_mw,0.07655880286165684,0.03966123555102197,0.014751336503894888,True,True,0.03689756731063487
2,gen_fuel_wind_mw,0.47513152493160826,0.4129967834669408,0.029947628381432185,True,True,0.062134741464667465
2,gen_fuel_natural_gas_mw,-0.06500261750099956,0.08052085720726702,0.02455348776209482,True,False,0.1455234747082666
2,area_2_fuel_natural_gas_mw,0.024766251919726034,0.06715376171500942,0.019590871620407534,True,True,0.042387509795283385
2,area_2_fuel_solar_mw,-0.05576540856649059,-0.011680917314368267,0.020756628832242916,False,True,0.044084491252122326
2,area_1_generation_mw,-0.03773320222924459,0.17364649544834718,0.007577178588710174,True,False,0.21137969767759177
2,area_3_fuel_wind_mw,0.09467481528180222,0.05503706841044498,0.013040673525022283,True,True,0.03963774687135724
2,area_1_load_actual_mw,0.02070860386581652,-0.005768135814333405,0.002304876254861825,True,False,0.02647673968014993
