area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.731664,0.7242662,0.720304,0.68548536,0.6954223,0.6777838,0.65492386,0.68309325,0.6888765,1.0409062,0.86434144,0.9679532,0.92033887,0.7924135,0.68387717,0.69221044,0.67799157,0.69869834,0.73646045,0.77555496,0.761055,1.1243081,1.0868211
0.5310552,0.5265156,0.53599787,0.4743421,0.53668797,0.48765087,0.44096562,0.47157654,0.5200591,0.9506277,0.6584677,0.7805984,0.82564604,0.64661354,0.51455724,0.4979678,0.47517055,0.49800688,0.7701618,0.6587855,0.6130516,0.97701836,0.9913896
0.385583,0.37104362,0.40178648,0.32243586,0.44012994,0.33900693,0.28810644,0.31621256,0.38696373,0.8433088,0.5241597,0.61145204,0.73984,0.5056927,0.3918455,0.38098192,0.32134765,0.36235693,0.77476037,0.5672145,0.47491878,0.8696844,0.90617406
