area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7563932,0.7748981,0.66562515,0.67570055,0.6393382,0.8901681,0.7318287,0.66378504,0.68615603,0.93062663,0.70886916,0.7628312,0.68158484,0.72770655,0.6556573,0.9893074,0.7048528,0.85471076,0.88743097,0.81561697,1.1449087,1.0221227
0.53968364,0.6292938,0.44217777,0.47024584,0.4037817,0.7785258,0.52403295,0.42942578,0.4851018,0.7692567,0.4956629,0.5781438,0.4645213,0.51233083,0.42071775,0.9019994,0.4758437,0.6025955,0.7748574,0.61353177,1.0194571,0.89581907
0.37810993,0.5116428,0.28296694,0.31294918,0.24491832,0.6841165,0.38035527,0.26757208,0.35138568,0.62803906,0.3437123,0.43520737,0.3069222,0.34689596,0.26433456,0.8258511,0.3147526,0.43872482,0.6897395,0.46448526,0.9214138,0.7862083
