方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.957387393227693,gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|reserve_spin_r1_mw|gen_fuel_natural_gas_mw|system_losses_mw|reserve_spin_r3_mw|gen_fuel_nuclear_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9469724074048089,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|reserve_spin_r1_mw|gen_fuel_solar_mw|gen_fuel_nuclear_mw|gen_fuel_wind_mw|system_losses_mw|reserve_reg_up_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9299744067669853,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_down_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|reserve_reg_up_mw|area_1_load_day_ahead_mw
XGBoost,树模型特征重要性（2016）,0.9454886817171525,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|area_1_load_day_ahead_mw|reserve_spin_r1_mw
Lasso,线性稀疏（1996）,0.932925710235651,gen_fuel_solar_mw|gen_fuel_coal_mw|area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|area_2_load_actual_mw|reserve_spin_r2_mw
Pearson,相关系数排序（只看两两关系）,0.9034521018287651,gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|reserve_reg_up_mw|reserve_reg_down_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|area_3_load_actual_mw
