k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.2093796905928923,0.22778031252624042,0.22778031252624042,0.29175071435086464,0.22778031252624042,0.22778031252624042
2,0.2826348843738965,0.37836370175287926,0.49590049242373513,0.389879776351599,0.49590049242373513,0.5319493970983747
3,0.5153574112957549,0.47386488957469997,0.575791280012,0.5882176723266812,0.575791280012,0.5370892939221468
4,0.655338864951543,0.5211679310007888,0.6356557419140344,0.6105915854073289,0.6367706022522273,0.5252581240556509
5,0.725137107046931,0.6030576233300775,0.697542422758638,0.7329141161600812,0.6736527768691538,0.6778297010048587
6,0.7695152245629006,0.6416751155370336,0.7116361599406456,0.7962752921460062,0.6885124548554621,0.7436951022835703
7,0.7654668693039944,0.6824750691287726,0.7106780009899023,0.7911752746181174,0.7644626310027263,0.7497029754990969
8,0.8605839161611677,0.7464704010783503,0.7876098198549148,0.8064050060488108,0.7902763603065175,0.7484075974385753
9,0.8761093329846974,0.7957621372164627,0.8182967630984099,0.800434127852253,0.8120497197400989,0.7776093547334981
10,0.8850079064222545,0.826867673979044,0.8397208177609151,0.8360961762098967,0.82047279575923,0.8109036803738792
