total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.40667996,0.4703647,0.39790547,0.41383126,0.47902736,0.42466396,0.4819668,0.41670582,0.47732994,0.40765864,0.44007227,0.4143964,0.4427346,0.43151975,0.5320387,0.4306615,0.5022291,0.46813288,0.40718353,0.4405372,0.44358224,0.45292625,0.48612842,0.42870814,0.46599558,0.4730099,0.44005635,0.50281096,0.44971436,0.45532113,0.42535132,0.43566063,0.47806144,0.47648638,0.41381243,0.4661029,0.5245733,0.48253784,0.46962258,0.5714249,0.5405959,0.47260365,0.41476348,0.38478318,0.42890474
0.3266317,0.46726957,0.32047135,0.35813642,0.434873,0.3698071,0.48635152,0.3725591,0.46228188,0.36264706,0.43891057,0.39583707,0.43710175,0.4048823,0.53629905,0.37500855,0.4890642,0.46574727,0.37132317,0.399926,0.40898326,0.42302498,0.47097236,0.35899127,0.45316848,0.42608672,0.4007798,0.49218285,0.39646536,0.45375845,0.38012713,0.41112658,0.4564237,0.47113073,0.34528577,0.45094123,0.53196925,0.5173001,0.45411763,0.59656984,0.5474067,0.4395424,0.36861277,0.28978923,0.39920735
0.25877798,0.46286753,0.26744166,0.2962363,0.40257853,0.32254156,0.4921361,0.35514674,0.4608379,0.3272842,0.43258864,0.39967823,0.46216503,0.37548548,0.5434008,0.35165358,0.484162,0.45542124,0.35972312,0.34280348,0.37333843,0.38589466,0.4704369,0.3170899,0.43366927,0.3896623,0.37975386,0.49003366,0.40133357,0.44839793,0.3609895,0.3897055,0.46443957,0.46340233,0.29515418,0.43545148,0.5313216,0.5648206,0.4366931,0.6149494,0.56477106,0.43609968,0.34700552,0.21237834,0.3846971
0.23537673,0.46252093,0.19360265,0.28592575,0.37481174,0.2875972,0.47792426,0.35731664,0.45691708,0.29736122,0.44528764,0.41041484,0.4774264,0.34065184,0.5515152,0.30571702,0.4691356,0.44376191,0.35814416,0.29453608,0.34204838,0.33774355,0.4694502,0.28652206,0.42427653,0.36416695,0.33956745,0.47889483,0.39567202,0.4661184,0.34066498,0.36470044,0.48779076,0.48194665,0.26133493,0.42998314,0.5325188,0.60593927,0.41018105,0.6437243,0.5810536,0.44258738,0.3352248,0.13041754,0.36980566
0.18281007,0.4861504,0.14609699,0.26696137,0.3564101,0.24661016,0.47580066,0.3674581,0.44435623,0.26240075,0.43700895,0.4282419,0.52136654,0.31367376,0.5604822,0.27031395,0.45489442,0.43316162,0.3489149,0.26135284,0.31779814,0.3135864,0.461909,0.24041985,0.41621155,0.32786345,0.30037573,0.479467,0.3783996,0.46890002,0.3041463,0.33907163,0.48889357,0.47191957,0.22368863,0.4205718,0.52613914,0.6331397,0.40769768,0.6590245,0.59117085,0.43385202,0.3381788,0.07001685,0.35789013
0.11925112,0.50140357,0.11921258,0.257609,0.3459294,0.2294715,0.47705194,0.35304123,0.42702192,0.24984154,0.41723076,0.44495556,0.5663492,0.29263893,0.5559084,0.23416159,0.44759914,0.44592375,0.3470197,0.21789579,0.28914577,0.27678955,0.45210624,0.20786068,0.41358712,0.28442645,0.28245172,0.4868406,0.3679395,0.4718989,0.2788428,0.31673905,0.48492378,0.45795843,0.18875691,0.4125327,0.52631396,0.66597897,0.41145715,0.68749285,0.602841,0.4318098,0.32412833,0.009863497,0.34720623
0.072677806,0.513225,0.07813421,0.22202432,0.3253339,0.17956,0.4657062,0.35886714,0.42233786,0.24323684,0.4186633,0.46006456,0.60668486,0.27565867,0.5457483,0.1959849,0.4700044,0.45004225,0.3216989,0.18986844,0.23235041,0.2566806,0.45067674,0.15021074,0.41033363,0.24784836,0.25761005,0.48503438,0.34843874,0.47265792,0.25016737,0.28552672,0.48646173,0.46537283,0.16783482,0.4035157,0.5318521,0.6793915,0.39563942,0.7307501,0.6383478,0.43204615,0.28318343,0.0,0.33110347
0.026556984,0.52467066,0.045226637,0.19323622,0.2982592,0.1372496,0.45059872,0.36168805,0.41705012,0.23905495,0.39763898,0.47200373,0.63358325,0.23630218,0.54547477,0.15861893,0.46537104,0.44226125,0.32608137,0.14871292,0.20123276,0.21314935,0.44380358,0.11043168,0.41523066,0.23293063,0.21317866,0.48579067,0.32941446,0.46126667,0.22531432,0.25735068,0.50924724,0.4754005,0.1328354,0.3771277,0.5278095,0.71586,0.38630375,0.7562004,0.6610059,0.43735373,0.26140615,0.0,0.33048698
0.0,0.5326033,0.01956573,0.17750144,0.30140033,0.0999931,0.44680312,0.3682647,0.39999428,0.22254123,0.39548227,0.48786286,0.66346353,0.2180138,0.5387857,0.12732263,0.4567347,0.42151102,0.33086154,0.11852565,0.17568891,0.1779799,0.4381794,0.062156223,0.41341457,0.19628383,0.17642571,0.4835039,0.3246876,0.47278062,0.20172375,0.23375963,0.5099503,0.47733667,0.10133962,0.3466316,0.5174548,0.74700755,0.36405253,0.7927601,0.6822539,0.4254846,0.2427466,0.0,0.34970632
