index,column_a,column_b,nmi,spearman,pearson,kendall,distance_corr,hsic,nmi_pass,spearman_pass,pearson_pass,kendall_pass,distance_corr_pass,hsic_pass,pass_count,max_abs_score
1,total_gen,total_losses,0.15117256153091718,0.6809308647398136,0.6229598837246567,0.4791909924937448,0.6257201052858437,0.4547534705140398,1,1,1,1,1,1,6,0.6809308647398136
2,total_gen,wind_generation_mw,0.03618635130060073,-0.17717651283676286,-0.1912464153338893,-0.10025854879065889,0.15729614232361164,0.9017167231684133,0,1,1,1,1,1,5,0.9017167231684133
3,total_gen,solar_generation_mw,0.05888463782783574,0.17170319734140815,0.2183094034074829,0.1201417848206839,0.19753067439468094,0.13622343639308018,1,1,1,1,1,1,6,0.2183094034074829
4,total_gen,gen_fuel_coal_mw,0.2469553487965032,0.8139501704569072,0.8381584226124096,0.6396469279955519,0.8395740395832165,0.9399048038865065,1,1,1,1,1,1,6,0.9399048038865065
5,total_gen,gen_fuel_gas_mw,0.34379787057564604,0.9007497127632963,0.9191749614535859,0.7374603836530442,0.9019487795828611,0.9600449411529387,1,1,1,1,1,1,6,0.9600449411529387
6,total_gen,gen_fuel_hydro_mw,0.08908598204713127,0.37671115366323404,0.4847442280464012,0.2566750069502363,0.41091855645873576,0.8250614674873922,1,1,1,1,1,1,6,0.8250614674873922
7,total_gen,gen_fuel_multiple_fuels_mw,0.06987914666421831,0.33552792633242384,0.4165979965681691,0.20307617458993607,0.3584403961670703,0.3264418810580111,1,1,1,1,1,1,6,0.4165979965681691
8,total_gen,gen_fuel_nuclear_mw,0.1530861927392839,0.6155181645644213,0.5808044852109144,0.4250542118432027,0.6258451969541203,0.8505472560092878,1,1,1,1,1,1,6,0.8505472560092878
9,total_gen,gen_fuel_oil_mw,0.24258813591774825,0.5630762865605228,0.684566608145467,0.3644453711426188,0.6334045640539123,0.42594842222443086,1,1,1,1,1,1,6,0.684566608145467
10,total_gen,gen_fuel_other_renewables_mw,0.05123459061942929,0.32086219991608156,0.30115545593952403,0.21138170697803726,0.31927849585946233,0.3600824065309663,1,1,1,1,1,1,6,0.3600824065309663
11,total_gen,gen_fuel_solar_mw,0.058757791535836365,0.22744328999319802,0.22796676168641794,0.16304976369196553,0.22216560319605586,0.3295008444575827,1,1,1,1,1,1,6,0.3295008444575827
12,total_gen,gen_fuel_storage_mw,0.08249741462886152,0.24330879854724402,0.23637374714326617,0.12741034195162634,0.2237329732097662,0.058155047880643754,1,1,1,1,1,1,6,0.24330879854724402
13,total_gen,gen_fuel_wind_mw,0.03956590347065511,-0.14774468914458816,-0.15768487386764163,-0.10843619683069225,0.15257588861622565,0.8981306656597611,0,1,1,1,1,1,5,0.8981306656597611
14,total_gen,gen_fuel_coal_pct,0.11831932613309981,0.5637548279383813,0.5359720451413048,0.3774728940783987,0.5757606972389158,0.028890802947981194,1,1,1,1,1,0,5,0.5757606972389158
15,total_gen,gen_fuel_gas_pct,0.06880232560026206,0.40307365148680635,0.4073616498858652,0.28364331387267167,0.399168320966337,0.02879487448680704,1,1,1,1,1,0,5,0.4073616498858652
