wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5840025,0.48620993,0.54072285,0.5180133,0.4605313,0.45581013,0.5711132,0.4746156,0.49416733,0.4281889,0.567465,0.57145447,0.46282697,0.48343384,0.47953522,0.48582357,0.47228897,0.5572006,0.5274884,0.40703973,0.55032676,0.40802032,0.46889538,0.4036508,0.43237326,0.43583634,0.45534867,0.4463509,0.50799996,0.5066365,0.41939065,0.51859784,0.46694106,0.48987842,0.505792,0.46859246,0.5292856
0.60250115,0.47257078,0.5722198,0.5077006,0.45365235,0.46014866,0.6426371,0.44775355,0.47105497,0.41135785,0.58500105,0.6201923,0.44290078,0.46723711,0.47328123,0.46737078,0.480706,0.5945723,0.5530079,0.31578183,0.5783845,0.31334564,0.4492456,0.3495277,0.39271986,0.40569082,0.4055133,0.4227738,0.46913463,0.5232843,0.3716832,0.54456437,0.45760244,0.47185996,0.50713855,0.47156638,0.5574427
0.64692897,0.4455452,0.58670247,0.5155899,0.4549517,0.45604983,0.6814432,0.4390488,0.46847853,0.39292696,0.6221909,0.6435722,0.42083687,0.46967605,0.47224802,0.4449605,0.46771184,0.5988827,0.5643746,0.28971893,0.6039241,0.22740859,0.44372475,0.31706735,0.363372,0.3862818,0.3504659,0.39591065,0.44034448,0.5402396,0.33071235,0.55164677,0.45435315,0.46389174,0.531376,0.50834066,0.56548804
0.6757421,0.42899543,0.601777,0.5165838,0.4508565,0.45281523,0.7141725,0.41736865,0.47131172,0.38002896,0.6531412,0.6758999,0.40144575,0.45516068,0.46435902,0.425163,0.46033126,0.62292165,0.5810558,0.25666928,0.61536264,0.17836769,0.4363231,0.26649326,0.32027566,0.35161492,0.29952738,0.36907408,0.40636703,0.5522634,0.29644203,0.57643926,0.44771966,0.44165567,0.55394495,0.5413676,0.5710877
0.7022023,0.42898437,0.61612195,0.52034926,0.43272895,0.45353785,0.7662275,0.37272847,0.48245698,0.35327128,0.69277745,0.71388406,0.39058548,0.44556755,0.44772062,0.40244165,0.4533235,0.64785564,0.60080874,0.21663556,0.6245601,0.11930549,0.4223994,0.21518937,0.28365284,0.3137451,0.25222003,0.34744036,0.36815307,0.58920443,0.26360002,0.57929885,0.4357361,0.42709365,0.58780414,0.5573152,0.5764125
0.72271323,0.42163327,0.62722725,0.5548293,0.41578352,0.4581702,0.80687594,0.34531322,0.49659568,0.34294632,0.73564595,0.75425345,0.35783923,0.43957156,0.43440607,0.38337296,0.4287195,0.6799932,0.61961114,0.15504386,0.62572885,0.058611695,0.38906685,0.16493316,0.23762016,0.27065444,0.20682201,0.35061362,0.32742476,0.6057428,0.21244097,0.60867584,0.41443583,0.40740559,0.6207635,0.59460783,0.59092283
0.7548072,0.41624248,0.63833606,0.5800518,0.41289604,0.46887186,0.8453265,0.3117284,0.5128876,0.32318226,0.77175784,0.79277545,0.34751958,0.43730855,0.42167494,0.37034675,0.42176473,0.70505965,0.6435605,0.109014064,0.63333064,0.003263841,0.37108305,0.11017564,0.1944181,0.22498573,0.15932438,0.32910892,0.28414878,0.63930386,0.17673656,0.62801695,0.408539,0.40384755,0.67396927,0.6382908,0.5929759
0.7818872,0.40891403,0.6464997,0.6032847,0.394429,0.46940294,0.87993574,0.25189343,0.5357471,0.29460335,0.81270164,0.81810355,0.3254784,0.4217698,0.40738475,0.3425911,0.39786738,0.7124899,0.65491146,0.05136897,0.63715464,0.0,0.36163518,0.050871767,0.15061422,0.19257042,0.09940592,0.31808323,0.24596462,0.66398185,0.1173266,0.63524926,0.37364593,0.37713835,0.72454625,0.6789434,0.6120647
0.80464774,0.388241,0.66655535,0.6117037,0.37821987,0.4746298,0.9325516,0.20511557,0.55137956,0.2830943,0.8392715,0.8440309,0.2981245,0.39959967,0.38326424,0.31410757,0.37214214,0.72502947,0.67715067,0.0,0.6392351,0.0,0.33390424,0.0,0.10619265,0.1430741,0.0332711,0.29857782,0.20797466,0.7002561,0.0782271,0.6521616,0.34980485,0.35163856,0.77545315,0.7113387,0.6139481
0.8317141,0.36568144,0.6800066,0.637917,0.36214414,0.47121263,0.959481,0.16664381,0.5834033,0.254311,0.8677356,0.88060874,0.2770365,0.37710023,0.35381427,0.2756809,0.35168886,0.7495265,0.709483,0.0,0.64813185,0.0,0.31831786,0.0,0.03885382,0.10925196,0.005604454,0.2694552,0.1584982,0.7159084,0.027513506,0.67081493,0.32952085,0.33063638,0.82634336,0.75224036,0.62829864
