epoch,feature_index,feature,gate_logit
3,4,gen_fuel_nuclear_mw,0.9843953
3,5,gen_fuel_gas_mw,0.8083228
3,6,da_as_as_req_mw_thirty_minutes_reserve,-0.2863307
3,7,da_as_as_req_mw_primary_reserve,-0.14783967
3,8,da_as_as_req_mw_synchronized_reserve,-0.18257785
3,9,total_pjm_assigned_reg,0.21317387
3,10,da_as_as_mw_primary_reserve,-0.42095995
3,11,da_as_total_mw_primary_reserve,-0.4212098
3,12,da_as_as_mw_synchronized_reserve,-0.3124045
3,13,total_pjm_reg_purchases,0.2093938
3,14,gen_fuel_other_renewables_mw,-0.1506862
3,15,total_lmp_da,0.26756194
3,16,total_pjm_rmpcp_cr,-0.37987024
3,17,forecast_load_mw_day_ahead,0.8471366
3,18,total_pjm_rmccp_cr,1.7908188
3,19,gen_fuel_wind_mw,0.89307284
3,20,da_as_total_mw_synchronized_reserve,-0.36947393
3,21,system_energy_price_da,0.3346967
3,22,gen_fuel_multiple_fuels_pct,-0.38358635
3,23,gen_fuel_multiple_fuels_mw,-0.05449462
3,24,marginal_loss_price_rt,0.17385569
3,25,gen_fuel_gas_pct,-0.7178296
3,26,marginal_loss_price_da,-0.11983186
3,27,total_lmp_rt,0.17783073
3,28,rmccp,0.13880262
3,29,system_energy_price_rt,0.08826563
3,30,rmpcp,-0.68872476
3,31,gen_fuel_wind_pct,-0.55785304
3,32,gen_fuel_coal_mw,0.9000106
3,33,wind_generation_mw,0.8024603
3,34,gross_inadv_interchange_mw,0.83967507
3,35,gen_fuel_oil_mw,0.13897347
3,36,da_as_mcp_primary_reserve,-0.34826344
3,37,total_pjm_rt_load_mwh,0.8667607
3,38,metered_load_mw,0.83377135
3,39,forecast_load_mw_latest_available,0.83908355
3,40,prelim_load_avg_hourly,0.78332865
3,41,gross_actual_interchange_mw,0.7952665
3,42,gen_fuel_hydro_mw,0.55481565
3,43,total_pjm_loc_credit,0.07723236
3,44,total_losses,0.17545387
3,45,net_inadv_interchange_mw,-0.27531663
3,46,da_as_nsr_mw_primary_reserve,-0.22985998
3,47,total_pjm_self_sched_reg,-0.31862622
3,48,da_as_ss_mw_synchronized_reserve,-0.11820406
3,49,da_as_ss_mw_thirty_minutes_reserve,-0.12302902
3,50,da_as_ss_mw_primary_reserve,-0.3064518
3,51,gen_fuel_solar_mw,-0.22345379
3,52,gen_fuel_coal_pct,-0.69413924
3,53,congestion_price_rt,-0.6460634
3,54,da_as_mcp_synchronized_reserve,-0.45352387
3,55,congestion_price_da,-0.5421284
4,1,da_as_as_mw_thirty_minutes_reserve,1.0255908
4,2,da_as_total_mw_thirty_minutes_reserve,1.0601319
4,3,gross_sched_interchange_mw,1.0225581
4,4,gen_fuel_nuclear_mw,1.0783125
4,5,gen_fuel_gas_mw,1.194136
4,6,da_as_as_req_mw_thirty_minutes_reserve,-0.5641304
4,7,da_as_as_req_mw_primary_reserve,-0.44781664
4,8,da_as_as_req_mw_synchronized_reserve,-0.43586907
4,9,total_pjm_assigned_reg,0.10946855
4,10,da_as_as_mw_primary_reserve,-0.4223641
4,11,da_as_total_mw_primary_reserve,-0.42933735
4,12,da_as_as_mw_synchronized_reserve,-0.21708706
4,13,total_pjm_reg_purchases,0.056907445
4,14,gen_fuel_other_renewables_mw,0.011782855
4,15,total_lmp_da,-0.02138555
4,16,total_pjm_rmpcp_cr,-0.45269385
4,17,forecast_load_mw_day_ahead,1.1750846
4,18,total_pjm_rmccp_cr,1.0243247
4,19,gen_fuel_wind_mw,1.0433712
4,20,da_as_total_mw_synchronized_reserve,-0.24966654
4,21,system_energy_price_da,0.09037393
4,22,gen_fuel_multiple_fuels_pct,-0.66771734
4,23,gen_fuel_multiple_fuels_mw,-0.10356563
4,24,marginal_loss_price_rt,-0.388384
4,25,gen_fuel_gas_pct,-0.5990709
4,26,marginal_loss_price_da,-0.3120382
4,27,total_lmp_rt,-0.23080438
4,28,rmccp,-0.21839193
4,29,system_energy_price_rt,-0.20153809
4,30,rmpcp,-0.7220267
4,31,gen_fuel_wind_pct,-0.62978566
4,32,gen_fuel_coal_mw,1.1136401
4,33,wind_generation_mw,0.9851707
4,34,gross_inadv_interchange_mw,1.1469494
4,35,gen_fuel_oil_mw,0.19118296
4,36,da_as_mcp_primary_reserve,-0.5093179
4,37,total_pjm_rt_load_mwh,1.2004125
4,38,metered_load_mw,1.1597458
4,39,forecast_load_mw_latest_available,1.1551763
4,40,prelim_load_avg_hourly,1.1050712
4,41,gross_actual_interchange_mw,1.0073179
4,42,gen_fuel_hydro_mw,0.77824736
4,43,total_pjm_loc_credit,0.34105062
4,44,total_losses,0.20644116
4,45,net_inadv_interchange_mw,-0.016824573
4,46,da_as_nsr_mw_primary_reserve,-0.1147728
4,47,total_pjm_self_sched_reg,-0.1443221
4,48,da_as_ss_mw_synchronized_reserve,-0.020357639
4,49,da_as_ss_mw_thirty_minutes_reserve,-0.054584637
4,50,da_as_ss_mw_primary_reserve,-0.17659578
4,51,gen_fuel_solar_mw,-0.060407832
4,52,gen_fuel_coal_pct,-0.73908293
4,53,congestion_price_rt,-0.6792275
4,54,da_as_mcp_synchronized_reserve,-0.56048596
4,55,congestion_price_da,-0.5934919
5,1,da_as_as_mw_thirty_minutes_reserve,1.3794298
5,2,da_as_total_mw_thirty_minutes_reserve,1.4200432
5,3,gross_sched_interchange_mw,1.2899003
5,4,gen_fuel_nuclear_mw,1.3071434
5,5,gen_fuel_gas_mw,1.6039145
5,6,da_as_as_req_mw_thirty_minutes_reserve,-0.6788199
5,7,da_as_as_req_mw_primary_reserve,-0.58654237
5,8,da_as_as_req_mw_synchronized_reserve,-0.5483459
5,9,total_pjm_assigned_reg,-0.06478891
5,10,da_as_as_mw_primary_reserve,-0.3524064
5,11,da_as_total_mw_primary_reserve,-0.36942282
5,12,da_as_as_mw_synchronized_reserve,-0.0753375
5,13,total_pjm_reg_purchases,-0.15216646
5,14,gen_fuel_other_renewables_mw,0.15489724
5,15,total_lmp_da,-0.35940632
5,16,total_pjm_rmpcp_cr,-0.48197046
5,17,forecast_load_mw_day_ahead,1.4928042
5,18,total_pjm_rmccp_cr,0.43867245
5,19,gen_fuel_wind_mw,1.1152321
5,20,da_as_total_mw_synchronized_reserve,-0.09203264
5,21,system_energy_price_da,-0.2096076
5,22,gen_fuel_multiple_fuels_pct,-1.0215709
5,23,gen_fuel_multiple_fuels_mw,-0.23826137
5,24,marginal_loss_price_rt,-0.9261427
5,25,gen_fuel_gas_pct,-0.5073434
5,26,marginal_loss_price_da,-0.56514966
5,27,total_lmp_rt,-0.6388552
5,28,rmccp,-0.5869771
5,29,system_energy_price_rt,-0.52608335
5,30,rmpcp,-0.76337993
5,31,gen_fuel_wind_pct,-0.8151772
5,32,gen_fuel_coal_mw,1.3361882
5,33,wind_generation_mw,1.0841012
5,34,gross_inadv_interchange_mw,1.4070064
5,35,gen_fuel_oil_mw,0.19361562
5,36,da_as_mcp_primary_reserve,-0.7471291
5,37,total_pjm_rt_load_mwh,1.4858152
5,38,metered_load_mw,1.4396642
5,39,forecast_load_mw_latest_available,1.4219896
5,40,prelim_load_avg_hourly,1.3742411
5,41,gross_actual_interchange_mw,1.1674703
5,42,gen_fuel_hydro_mw,0.92135084
5,43,total_pjm_loc_credit,0.5229485
5,44,total_losses,0.16849463
5,45,net_inadv_interchange_mw,0.1453729
5,46,da_as_nsr_mw_primary_reserve,-0.06434885
5,47,total_pjm_self_sched_reg,-0.04661347
5,48,da_as_ss_mw_synchronized_reserve,-0.022205114
5,49,da_as_ss_mw_thirty_minutes_reserve,-0.07907374
5,50,da_as_ss_mw_primary_reserve,-0.15039828
5,51,gen_fuel_solar_mw,0.0039949566
5,52,gen_fuel_coal_pct,-0.8341037
5,53,congestion_price_rt,-0.8209175
5,54,da_as_mcp_synchronized_reserve,-0.7639439
5,55,congestion_price_da,-0.68543375
6,1,da_as_as_mw_thirty_minutes_reserve,1.5084122
6,2,da_as_total_mw_thirty_minutes_reserve,1.5665113
6,3,gross_sched_interchange_mw,1.3132533
6,4,gen_fuel_nuclear_mw,1.3346249
6,5,gen_fuel_gas_mw,1.8365654
6,6,da_as_as_req_mw_thirty_minutes_reserve,-0.93262506
6,7,da_as_as_req_mw_primary_reserve,-0.84892595
6,8,da_as_as_req_mw_synchronized_reserve,-0.7791214
6,9,total_pjm_assigned_reg,-0.10548934
6,10,da_as_as_mw_primary_reserve,-0.4172649
6,11,da_as_total_mw_primary_reserve,-0.4368051
6,12,da_as_as_mw_synchronized_reserve,-0.069750875
6,13,total_pjm_reg_purchases,-0.22775352
6,14,gen_fuel_other_renewables_mw,0.22879994
6,15,total_lmp_da,-0.5294635
6,16,total_pjm_rmpcp_cr,-0.5721047
6,17,forecast_load_mw_day_ahead,1.7061385
6,18,total_pjm_rmccp_cr,-0.012209445
6,19,gen_fuel_wind_mw,1.2527767
6,20,da_as_total_mw_synchronized_reserve,-0.072033435
6,21,system_energy_price_da,-0.35313734
6,22,gen_fuel_multiple_fuels_pct,-1.1938289
6,23,gen_fuel_multiple_fuels_mw,-0.25523907
6,24,marginal_loss_price_rt,-1.2859515
6,25,gen_fuel_gas_pct,-0.4827924
6,26,marginal_loss_price_da,-0.69242644
6,27,total_lmp_rt,-0.89644444
6,28,rmccp,-0.8091979
6,29,system_energy_price_rt,-0.70583296
6,30,rmpcp,-0.82612324
6,31,gen_fuel_wind_pct,-0.8609618
6,32,gen_fuel_coal_mw,1.4788644
6,33,wind_generation_mw,1.2403781
6,34,gross_inadv_interchange_mw,1.6151723
6,35,gen_fuel_oil_mw,0.22272664
6,36,da_as_mcp_primary_reserve,-0.853279
6,37,total_pjm_rt_load_mwh,1.7150904
6,38,metered_load_mw,1.664156
6,39,forecast_load_mw_latest_available,1.6413381
6,40,prelim_load_avg_hourly,1.5967691
6,41,gross_actual_interchange_mw,1.3239115
6,42,gen_fuel_hydro_mw,1.0861635
6,43,total_pjm_loc_credit,0.69916904
6,44,total_losses,0.19890305
6,45,net_inadv_interchange_mw,0.3015315
6,46,da_as_nsr_mw_primary_reserve,-0.0015483946
6,47,total_pjm_self_sched_reg,0.05184056
6,48,da_as_ss_mw_synchronized_reserve,0.043817744
6,49,da_as_ss_mw_thirty_minutes_reserve,-0.031562507
6,50,da_as_ss_mw_primary_reserve,-0.06780836
6,51,gen_fuel_solar_mw,0.10068336
6,52,gen_fuel_coal_pct,-0.8895273
6,53,congestion_price_rt,-0.8472643
6,54,da_as_mcp_synchronized_reserve,-0.8333361
6,55,congestion_price_da,-0.74507964
7,1,da_as_as_mw_thirty_minutes_reserve,1.6198701
7,2,da_as_total_mw_thirty_minutes_reserve,1.6865662
7,3,gross_sched_interchange_mw,1.3707745
7,4,gen_fuel_nuclear_mw,1.3848586
7,5,gen_fuel_gas_mw,2.0032907
7,6,da_as_as_req_mw_thirty_minutes_reserve,-1.0781882
