field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
area_1_load_actual_mw,0.447645866189998,0.3210285169394481,0.2445187803621014,0.08287137307240028,0.3782322879907723,0.07623132754500561,1,1,1,1,1,1,6,1
area_2_net_export_mw,0.34032146828586995,0.3120073100429141,0.20655027513756877,0.07627359652674617,0.44052175668901267,0.17932130289562884,1,1,1,1,1,1,6,1
gen_fuel_wind_mw,0.4369201174300553,0.4399188123926311,0.3114651341633406,0.07771015945572668,0.48064331704932595,0.19520907284802766,1,1,1,1,1,1,6,1
gen_fuel_natural_gas_mw,0.41306624732152936,0.31248932576618366,0.23566983491745871,0.07620863150699035,0.31467833253699173,0.04989938413715353,1,1,1,1,1,1,6,1
gen_fuel_coal_mw,0.33598178473640355,0.23940648686260713,0.1979334924569002,0.11275722413934998,0.32840296241024103,0.11160882900204067,1,1,1,1,1,1,6,1
reserve_spin_r2_mw,0.48707267946712096,0.371635106239915,0.277331044209514,0.06914381294498782,0.41503730289427043,0.07884129563705775,1,1,1,1,1,1,6,1
reserve_spin_r1_mw,0.44764616723290085,0.3210298888848154,0.24451390275968996,0.08290711433929614,0.37823209026958865,0.07623210500646607,1,1,1,1,1,1,6,1
reserve_reg_down_mw,0.28451935576686793,0.25606611890218545,0.19377593453683287,0.05106605930331862,0.25518933555929796,0.03438499222034192,1,1,1,1,1,1,6,1
reserve_reg_up_mw,0.3494843158094924,0.30329831409305325,0.21957995766256883,0.06372334354560044,0.2986332890905607,0.04116089375979178,1,1,1,1,1,1,6,1
area_2_load_actual_mw,0.4870726167870969,0.37163490922255643,0.27733448273668326,0.06909725401357601,0.4150373743427656,0.078843817916338,1,1,1,1,1,1,6,1
gen_fuel_solar_mw,0.3797424631290425,0.39823453143271736,0.30105697739340714,0.08336015047750636,0.3966640861156782,0.12857253018645246,1,1,1,1,1,1,6,1
system_losses_mw,0.7816004567492588,0.7596904717901654,0.5727173586793397,0.17415661579406175,0.7419624269881975,0.37423014986778713,1,1,1,1,1,1,6,1
system_generation_mw,0.44370502462685235,0.31280670165160046,0.23335967983991995,0.07379044486635511,0.3724228338937393,0.05851251921219778,1,1,1,1,1,1,6,1
system_load_day_ahead_mw,0.42958070331583875,0.2916270983758173,0.2188554277138569,0.07335157966531587,0.3617512156771502,0.057009505989336254,1,1,1,1,1,1,6,1
area_2_load_day_ahead_mw,0.4870722298439535,0.37163190162596704,0.2774059766648368,0.06907662320220355,0.4150359129792773,0.07886087855858745,1,1,1,1,1,1,6,1
area_1_load_day_ahead_mw,0.4476458008248502,0.32103170907677936,0.24456641715945004,0.08280243308478527,0.37823416986971875,0.07622841865666645,1,1,1,1,1,1,6,1
system_load_actual_mw,0.4286772608136598,0.2904111780006096,0.2175527763881941,0.07234954260133082,0.3608536349018976,0.056259835146348164,1,1,1,1,1,1,6,1
area_1_net_export_mw,0.22243295151684586,0.20685055162321914,0.1271585792896448,0.053029687624616774,0.34635420314906756,0.12233573024019063,0,0,0,1,1,1,3,1
gen_fuel_nuclear_mw,0.05779851248250641,0.1951502172775169,0.11897961561425548,0.09553762537946663,0.1847982129530383,0.05754143228151895,0,0,0,1,0,1,2,1
area_3_load_day_ahead_mw,0.2198521919728137,0.11295872812277455,0.07658063357649739,0.039049479568562154,0.2003232093156181,0.030878053471603568,0,0,0,1,0,0,1,1
reserve_spin_r3_mw,0.21985113039966836,0.112950100361975,0.07655729066676288,0.03902552916945025,0.20032108590410655,0.03087654750733215,0,0,0,1,0,0,1,1
gen_fuel_hydro_mw,0.19415336029503116,0.13405534798189192,0.10875870562942126,0.03203924549806102,0.165896576131709,0.014530212710752749,0,0,0,1,0,0,1,1
area_3_load_actual_mw,0.219850776776948,0.11295112893464142,0.07654595914407922,0.039040338466519324,0.20032122951195133,0.030876596121505843,0,0,0,1,0,0,1,1
area_3_net_export_mw,0.1215491598552732,0.16016620687722485,0.1105992996498249,0.02645874546319388,0.1989845963380463,0.03832269933758361,0,0,0,0,0,1,1,1
