target,中文名,n_pool,n_kept,n_dropped,thr_pearson,thr_spearman,thr_kendall,thr_nmi,thr_distance_corr,thr_hsic
bus_115_va_deg,节点115电压相角,24,24,0,0.1726397622888782,0.19308771758744442,0.13022338321226729,0.031590372782455384,0.19407320332909614,0.038238256090831396
bus_215_va_deg,节点215电压相角,24,24,0,0.23653133848026223,0.23305997629137085,0.13590254487138,0.028236893898712027,0.2058661551375463,0.034763985587612393
bus_315_va_deg,节点315电压相角,24,24,0,0.2387813961566755,0.25480744062699556,0.16971125137359644,0.028878941003659283,0.2464053212927164,0.042728845278066425
branch_ab1_loading_pct,线路AB1负载率,24,23,1,0.24596293368978248,0.21868661918881774,0.1510739796621567,0.024292450963714254,0.2267856038117003,0.025061050076842544
branch_ab2_loading_pct,线路AB2负载率,24,24,0,0.23599152557907596,0.23332814678000752,0.13614595015829262,0.027917832520682962,0.20517283732235891,0.03128963966622087
branch_ab3_loading_pct,线路AB3负载率,24,23,1,0.1998602749286575,0.15180257315791415,0.10055645007393083,0.02517238406026853,0.2110084765031497,0.035761819627829865
branch_ca_1_loading_pct,线路CA-1负载率,24,23,1,0.19653755473338042,0.21769139900620066,0.14060663722889427,0.024290411895190697,0.2017715254342326,0.039579288505703074
branch_cb_1_loading_pct,线路CB-1负载率,24,23,1,0.17286250217298446,0.1912003370746854,0.12800679649484356,0.02237619823937819,0.1939545114784586,0.03422196772203158
gen_121_nuclear_1_pg_mw,机组121核电出力,24,24,0,0.12306396458566424,0.10774772554926652,0.07837029079598055,0.021397624368675133,0.12953998377698694,0.013680801172686993
gen_218_cc_1_pg_mw,机组218联合循环出力,24,22,2,0.20519177255689813,0.1941054225225694,0.15477426597199462,0.04183701455628389,0.21752502141869084,0.04517282322703022
gen_317_wind_1_pg_mw,机组317风电出力,24,24,0,0.15385950747830915,0.12963830843432486,0.09365121839636396,0.014606247276332128,0.1690020641192113,0.02065298588663011
gen_321_cc_1_status,机组321投入状态,24,24,0,0.17466829207342893,0.18988795271239467,0.14896188352979306,0.0,0.19683890552349778,0.03261293136192022
