field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept
area_3_net_export_mw,0.21926069640862877,0.2458547322152616,0.17394397198599298,0.0366002022775082,0.28628726990340275,0.060111323101691955,1,1,1,1,1,1,6,1
system_losses_mw,0.5803566989039546,0.5418313241087871,0.4082821410705353,0.09828280461899958,0.5484318050778662,0.2140681176453893,1,1,1,1,1,1,6,1
gen_fuel_wind_mw,0.7067794321775263,0.6615394618617079,0.4607434450727066,0.1270404321046987,0.6883504257802068,0.3321937782146496,1,1,1,1,1,1,6,1
gen_fuel_nuclear_mw,0.1731228818186494,0.3238789511199042,0.21207742831847556,0.13716111642210022,0.27020867828399364,0.08934620265476464,1,1,1,1,1,1,6,1
reserve_reg_down_mw,0.20489659864159962,0.20490610013855542,0.1559741773746477,0.048180626588410484,0.21279574815442642,0.039778916464898464,1,1,1,1,1,1,6,1
reserve_reg_up_mw,0.2420759828837178,0.23266933666982687,0.170397836780343,0.057595310700972124,0.243228288816273,0.04816172152841412,1,1,1,1,1,1,6,1
area_2_net_export_mw,0.5782577710401422,0.5181576499490761,0.336568284142071,0.08806583964818819,0.5797550991748475,0.20660867248607387,1,1,1,1,1,1,6,1
area_1_net_export_mw,0.4474074937573986,0.4035161407915249,0.25558379189594793,0.06305856491178093,0.4939729520661407,0.17043338699801605,1,1,1,1,1,1,6,1
gen_fuel_solar_mw,0.5254385803241033,0.5119780180543739,0.38036089906544085,0.12334783533622536,0.5046140763678462,0.19722065389273766,1,1,1,1,1,1,6,1
gen_fuel_coal_mw,0.12383132695032269,0.1259523030700136,0.044077834962388894,0.0574308835160218,0.23480384814533917,0.08086860774118969,0,0,0,1,1,1,3,1
gen_fuel_natural_gas_mw,0.06354634439279602,0.07941030593271882,0.082024012006003,0.06007510155506332,0.17946738156462302,0.06958956854344023,0,0,0,1,0,1,2,1
system_generation_mw,0.01403487806686391,0.04823797844694475,0.0036478239119559774,0.0320783785389623,0.09041426243510131,0.017105475508340774,0,0,0,1,0,0,1,1
system_load_day_ahead_mw,0.031918380347078196,0.07140304447138095,0.011852926463231616,0.03239791627008317,0.09844037085699481,0.018926853882811706,0,0,0,1,0,0,1,1
area_3_load_day_ahead_mw,0.09689230185194274,0.13684893728646405,0.07386562575028552,0.026493449885278787,0.16259781314156135,0.02866147078680651,0,0,0,1,0,0,1,1
area_2_load_actual_mw,0.01754599848971391,0.0030631290676903455,0.038881789089966985,0.026270055493832517,0.06701484306469721,0.0098864383420513,0,0,0,1,0,0,1,1
area_2_load_day_ahead_mw,0.01754452627338259,0.003059066728953848,0.0389226019604448,0.02626697755247759,0.0670162073020575,0.009880734490403113,0,0,0,1,0,0,1,1
area_1_load_day_ahead_mw,0.026149439450812016,0.0510098942800391,0.0007230023195819198,0.032704580002923214,0.08104695747371048,0.012274783296958835,0,0,0,1,0,0,1,1
reserve_spin_r1_mw,0.02614958952817982,0.05101059422039829,0.0007383832210250594,0.03267492623670239,0.0810510544065237,0.012284688889143126,0,0,0,1,0,0,1,1
reserve_spin_r2_mw,0.017546284612409965,0.0030639288076442046,0.038893341227754785,0.026259210259584064,0.06701463889111478,0.009887197250902589,0,0,0,1,0,0,1,1
reserve_spin_r3_mw,0.09689302016343358,0.13685901821525645,0.07384187933119135,0.026525173243273782,0.16259830819915172,0.02866085385961847,0,0,0,1,0,0,1,1
system_load_actual_mw,0.03198337891443473,0.07187048522351402,0.012337168584292147,0.03203994826233052,0.09860401595381059,0.019011290235702756,0,0,0,1,0,0,1,1
area_3_load_actual_mw,0.0968930991821271,0.1368563270471153,0.07385743272703219,0.026513222277191856,0.162598207193567,0.0286608632841132,0,0,0,1,0,0,1,1
area_1_load_actual_mw,0.026149844037053522,0.0510123993081785,0.0007399093559007624,0.03268370185820229,0.08105104394086787,0.012283621464270615,0,0,0,1,0,0,1,1
gen_fuel_hydro_mw,0.1168419449495266,0.12398298569627256,0.04837433228935935,0.021079751758117205,0.1289786420046006,0.01325464309661704,0,0,0,0,0,0,0,0
