removed_feature,context_feature_count,residual_candidate_count,context_r2,context_mse,context_plus_R_r2,context_plus_R_mse,tau,status,is_replaceable,replacement_count,replacement_fields,replacement_path_count,replacement_path,replacement_path_r2,replacement_path_mse
gen_fuel_nuclear_mw,15,39,0.8201006650924683,0.17042961898373393,0.9600726366043091,0.037825637528241224,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
da_as_as_req_mw_synchronized_reserve,15,39,0.8119697570800781,0.17813249956816435,0.9673196077346802,0.03096012494288294,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
gen_fuel_wind_mw,15,39,0.8067390322685242,0.1830878857545918,0.9680379033088684,0.03027962099919777,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
rmpcp,15,39,0.8276697397232056,0.16325895265653367,0.9638068675994873,0.0342879422071458,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
total_pjm_reg_purchases,15,39,0.810912013053894,0.17913459339065524,0.9647945761680603,0.033352245826546736,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
da_as_total_mw_thirty_minutes_reserve,15,39,0.8172324895858765,0.17314680627115617,0.9674641489982605,0.03082322029726262,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
gross_sched_interchange_mw,15,39,0.6938379406929016,0.2900459970370298,0.9623026251792908,0.03571302820530879,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
congestion_price_rt,15,39,0.8366361856460571,0.15476451329205457,0.9655280709266663,0.03265736895619051,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
da_as_ss_mw_primary_reserve,15,39,0.8228645324707031,0.16781121136893223,0.9659662842750549,0.032242210965217434,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
gen_fuel_solar_mw,15,39,0.8316994309425354,0.15944140061463524,0.9562207460403442,0.04147477544242198,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
net_inadv_interchange_mw,15,39,0.8322998285293579,0.15887258207516336,0.9677663445472717,0.030536921232052875,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
total_pjm_rt_load_mwh,15,39,0.8289666175842285,0.16203035403997068,0.9640008211135864,0.03410420790257886,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
system_energy_price_da,15,39,0.822719395160675,0.16794874248799027,0.9670839309692383,0.03118342920433639,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
gen_fuel_oil_mw,15,39,0.8218303918838501,0.16879094300064734,0.962213397026062,0.035797537082987954,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
rmccp,15,39,0.8296827077865601,0.16135191605085644,0.9672996997833252,0.030978962333259603,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
gen_fuel_other_renewables_mw,15,39,0.8025680780410767,0.18703928752234433,0.9646121263504028,0.03352507263728667,0.9498733758926391,main_path_below_tau_skip_substitution,False,0,,0,,,
