feature,feature_index,R2_minus_j,MSE_minus_j,Nec_j,R2_full,MSE_full,tau,minus_meets_tau,is_in_main_path,is_in_residual
gen_fuel_hydro_mw,41,0.9504696726799011,0.046923104205123356,0.01878887414932251,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
gen_fuel_nuclear_mw,3,0.9567137956619263,0.04100768341364839,0.012544751167297363,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
gen_fuel_solar_mw,50,0.9590715765953064,0.03877399946994534,0.010186970233917236,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
gen_fuel_oil_mw,34,0.9602254629135132,0.03768082654455722,0.00903308391571045,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
da_as_mcp_primary_reserve,35,0.9610981345176697,0.03685411589401888,0.008160412311553955,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
total_pjm_rt_load_mwh,36,0.9621690511703491,0.0358395689371519,0.007089495658874512,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
da_as_ss_mw_thirty_minutes_reserve,48,0.9626166820526123,0.03541548189809319,0.006641864776611328,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
gross_sched_interchange_mw,2,0.9627160429954529,0.035321371683782736,0.006542503833770752,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
gen_fuel_coal_mw,31,0.9629361033439636,0.03511290938207289,0.00632244348526001,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
total_pjm_rmpcp_cr,15,0.9636993408203125,0.03438981980789543,0.005559206008911133,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
gen_fuel_wind_pct,30,0.9638184309005737,0.03427701506752339,0.005440115928649902,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
gen_fuel_gas_pct,24,0.964104413986206,0.03400610288514233,0.005154132843017578,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
rmpcp,29,0.96426922082901,0.03384997137174828,0.004989326000213623,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
total_pjm_self_sched_reg,46,0.9642927646636963,0.03382765474763313,0.004965782165527344,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
gen_fuel_gas_mw,4,0.9644548892974854,0.03367406309003056,0.004803657531738281,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
da_as_total_mw_thirty_minutes_reserve,1,0.9646715521812439,0.03346877104727688,0.004586994647979736,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,True,False
da_as_total_mw_primary_reserve,10,0.9648606777191162,0.033289639364428275,0.004397869110107422,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
da_as_mcp_synchronized_reserve,53,0.9649729132652283,0.0331833067310338,0.004285633563995361,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
da_as_as_mw_synchronized_reserve,11,0.9655889868736267,0.0325996587564033,0.003669559955596924,0.9692585468292236,0.029123233032140244,0.9498733758926391,True,False,True
