total_losses,wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,total_lmp_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,gross_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.546193,0.45592782,0.5733278,0.5343824,0.5209198,0.56049776,0.44821697,0.51409006,0.42679277,0.49145254,0.45570654,0.5253996,0.5199162,0.5089843,0.47854593,0.43791255,0.42589533,0.5436537,0.55234575,0.44636017,0.47611344,0.46155426,0.49313954,0.51472974,0.50314057,0.4511196,0.52123106,0.50929165,0.4815904,0.4857608,0.558254,0.4590403,0.47835758,0.44026554,0.5208861,0.612013
0.64083403,0.44010663,0.6295537,0.60840684,0.52351433,0.6020077,0.43871027,0.53500503,0.37502065,0.48081264,0.48579577,0.5483841,0.54174674,0.5542291,0.44221556,0.42432043,0.40965807,0.57271546,0.5967973,0.43795443,0.5216258,0.444601,0.49382564,0.5298435,0.5112651,0.42952877,0.52440524,0.5297863,0.481048,0.496137,0.61247355,0.40561908,0.47448233,0.43548968,0.5488153,0.7005873
0.7064321,0.4395148,0.65126336,0.65039897,0.51905644,0.6314677,0.43289348,0.56098676,0.32400975,0.4853046,0.5186765,0.5507672,0.57831633,0.58775955,0.4154585,0.39621451,0.38070187,0.5809578,0.6166056,0.42391807,0.5794463,0.4293086,0.4888862,0.53551865,0.5154373,0.38692853,0.5264572,0.5547727,0.5185373,0.5214228,0.6486231,0.36887372,0.46278524,0.42206597,0.56024635,0.7673499
0.7655987,0.44570822,0.69064647,0.68871087,0.5203879,0.68351024,0.4263251,0.604654,0.2851068,0.49111348,0.5610479,0.5700226,0.60771847,0.61769885,0.38571995,0.3737111,0.33474198,0.59569263,0.64191705,0.38097653,0.60760874,0.40226874,0.4883243,0.5377995,0.52357554,0.3608841,0.5285069,0.57230204,0.5423241,0.5233809,0.6781886,0.33353734,0.44253573,0.41277555,0.56019175,0.83317673
0.82626545,0.44261605,0.71592724,0.7327034,0.5223532,0.7110806,0.3998046,0.65101564,0.24782006,0.48842862,0.6106309,0.57038045,0.6307284,0.6509103,0.3647147,0.3415101,0.30538875,0.59938365,0.6618532,0.36522987,0.63642627,0.37344405,0.49436125,0.54647833,0.536117,0.32708016,0.53732705,0.59308565,0.5655837,0.5325134,0.69894135,0.29164782,0.41255823,0.38902032,0.55432266,0.88726306
0.88116723,0.45218793,0.75316525,0.76550275,0.5263239,0.7327558,0.41746202,0.6890992,0.19958182,0.5007173,0.6707372,0.5823888,0.6557653,0.66918814,0.33554983,0.3004487,0.26534575,0.5948064,0.67246544,0.3365488,0.6765486,0.36131737,0.49240646,0.5496314,0.5430986,0.29420593,0.5388268,0.62350535,0.5893632,0.55127,0.7265152,0.23969159,0.3832423,0.38034117,0.5578945,0.9396467
0.9181817,0.4496994,0.7880895,0.7878199,0.53384644,0.7634955,0.40826762,0.74691993,0.15656145,0.5074159,0.70742095,0.6028433,0.6843737,0.68994355,0.30324396,0.25883248,0.23185416,0.58962715,0.68346936,0.31425393,0.68362904,0.3550799,0.49668193,0.5603851,0.55591625,0.26129428,0.55482125,0.6520517,0.61750114,0.564272,0.7509939,0.18737985,0.36652732,0.36849943,0.57367164,0.99862194
0.9615744,0.45615238,0.8267201,0.80514276,0.53653324,0.78997356,0.39055273,0.79605764,0.09985177,0.51242715,0.7374756,0.613943,0.7155037,0.70882845,0.2623166,0.20479724,0.18926333,0.5849498,0.7057696,0.2853196,0.70712155,0.3326644,0.50606275,0.55016315,0.5611916,0.20772688,0.54299796,0.671467,0.65209246,0.57877564,0.76881003,0.12602857,0.3426962,0.36029804,0.58387554,1.0
0.9989054,0.45478404,0.85579264,0.832541,0.53067625,0.7981772,0.3766633,0.8360696,0.042801272,0.50625646,0.7813494,0.63424885,0.7408388,0.72465754,0.22813214,0.16107935,0.13332452,0.5812421,0.71784073,0.25458738,0.7367239,0.31163874,0.51602423,0.5659042,0.5623435,0.16406032,0.5547895,0.69951385,0.6824038,0.57633597,0.79227823,0.064384304,0.32185888,0.33463728,0.56925094,1.0
1.0,0.4761049,0.88959146,0.86741805,0.53383034,0.8423182,0.36600068,0.90083426,0.0,0.52744037,0.82767284,0.6532738,0.7783449,0.74690217,0.19773725,0.11489509,0.07176295,0.5728837,0.7467008,0.21452603,0.76916176,0.29655883,0.5152429,0.5734996,0.56755376,0.110499054,0.5654919,0.7536018,0.7055469,0.58309484,0.80733335,0.005020439,0.28645343,0.32192132,0.5661332,1.0
1.0,0.49865636,0.9378587,0.89135116,0.5276818,0.88315254,0.36312085,0.94992226,0.0,0.5258272,0.87190306,0.67439586,0.8073725,0.7698023,0.15642637,0.05183847,0.017765133,0.5553742,0.77060217,0.16526124,0.7859811,0.27230695,0.52182585,0.58294725,0.5764108,0.06347865,0.5769895,0.78850883,0.7384599,0.6118091,0.8178984,0.0,0.25635177,0.30349007,0.56480026,1.0
1.0,0.4962298,0.97617304,0.9138776,0.52725935,0.9016489,0.35476968,1.0,0.0,0.5311717,0.91484255,0.67813843,0.8323243,0.80040836,0.11367678,0.0,0.0,0.5388798,0.78169733,0.11449482,0.8192254,0.2557209,0.51654196,0.5927596,0.579322,0.0070107034,0.57599545,0.836585,0.75270087,0.6271119,0.82982945,0.0,0.21661879,0.2921813,0.55862856,1.0
1.0,0.49865413,0.9960171,0.9379429,0.51408386,0.9238387,0.3547134,1.0,0.0,0.54168564,0.94375914,0.6879812,0.8641074,0.8216478,0.0739585,0.0,0.0,0.5248561,0.81006426,0.056400735,0.8452593,0.2230587,0.5234314,0.5937409,0.59091914,0.0,0.583494,0.8716988,0.78732014,0.6413717,0.83664864,0.0,0.18526909,0.2760429,0.5556078,1.0
1.0,0.50574994,1.0,0.9582563,0.5047025,0.9532252,0.34356967,1.0,0.0,0.5443527,0.97317636,0.7050768,0.90120447,0.8343094,0.043422267,0.0,0.0,0.50291765,0.82763064,0.0,0.8713902,0.18342738,0.5428001,0.59859526,0.6148389,0.0,0.59112024,0.9127245,0.8070999,0.65464544,0.8640327,0.0,0.15227865,0.25297418,0.5528411,1.0
1.0,0.5030286,1.0,0.9823703,0.48518646,0.97429997,0.32385188,1.0,0.0,0.5515393,1.0,0.73123497,0.9266297,0.8491646,0.0,0.0,0.0,0.48157224,0.8381509,0.0,0.88647777,0.14460282,0.5344701,0.59745413,0.61542976,0.0,0.5905827,0.93102235,0.82391554,0.6598412,0.8835555,0.0,0.09569925,0.22443344,0.55439013,1.0
1.0,0.5107235,1.0,0.9981673,0.46069977,0.9897976,0.30818465,1.0,0.0,0.5611469,1.0,0.7645176,0.9458744,0.85946995,0.0,0.0,0.0,0.46115524,0.8582331,0.0,0.9123462,0.11278428,0.5286806,0.59650755,0.6140009,0.0,0.5865105,0.9652137,0.8565629,0.6613484,0.89199775,0.0,0.05263345,0.18357961,0.54688746,1.0
1.0,0.52255994,1.0,1.0,0.4382741,1.0,0.28691366,1.0,0.0,0.5592554,1.0,0.78067297,0.981292,0.88234335,0.0,0.0,0.0,0.43300724,0.8881239,0.0,0.9183664,0.06891954,0.51184475,0.59016645,0.61571074,0.0,0.5847131,0.9844132,0.8747832,0.6823062,0.91135204,0.0,0.0,0.15243676,0.5497675,1.0
1.0,0.5245853,1.0,1.0,0.42530644,1.0,0.28571767,1.0,0.0,0.57494444,1.0,0.7894649,1.0,0.89959025,0.0,0.0,0.0,0.39323205,0.905302,0.0,0.9470692,0.025612708,0.49370593,0.6107986,0.6222053,0.0,0.5739076,1.0,0.89861715,0.7043747,0.9258759,0.0,0.0,0.12966329,0.5415123,1.0
1.0,0.5309268,1.0,1.0,0.41387206,1.0,0.26481256,1.0,0.0,0.58895326,1.0,0.8030564,1.0,0.9209761,0.0,0.0,0.0,0.35666063,0.9138853,0.0,0.96032554,0.0,0.49708274,0.6361347,0.6412232,0.0,0.58028734,1.0,0.9125559,0.7099602,0.9367138,0.0,0.0,0.093701646,0.54061586,1.0
1.0,0.53648007,1.0,1.0,0.3947733,1.0,0.24272262,1.0,0.0,0.6111457,1.0,0.84551466,1.0,0.9345019,0.0,0.0,0.0,0.3097808,0.9287545,0.0,0.96466357,0.0,0.49772927,0.63673884,0.6579959,0.0,0.5902099,1.0,0.9395773,0.72409564,0.9476286,0.0,0.0,0.056277633,0.54507947,1.0
1.0,0.53940505,1.0,1.0,0.3731754,1.0,0.21445563,1.0,0.0,0.61831224,1.0,0.87199557,1.0,0.9504889,0.0,0.0,0.0,0.26714584,0.9376126,0.0,0.98164934,0.0,0.48276404,0.64366615,0.6600504,0.0,0.5818857,1.0,0.96643776,0.735041,0.9593365,0.0,0.0,0.011440308,0.530325,1.0
1.0,0.54470825,1.0,1.0,0.35364792,1.0,0.17469479,1.0,0.0,0.62057304,1.0,0.8842973,1.0,0.95329905,0.0,0.0,0.0,0.22414528,0.952983,0.0,0.98981375,0.0,0.4900078,0.6699089,0.68339884,0.0,0.59256345,1.0,0.981476,0.74735856,0.97836983,0.0,0.0,0.0,0.52320886,1.0
1.0,0.56308126,1.0,1.0,0.3128188,1.0,0.13839206,1.0,0.0,0.6515785,1.0,0.90802693,1.0,0.97288567,0.0,0.0,0.0,0.1808129,0.9708529,0.0,1.0,0.0,0.48417854,0.67532265,0.69061345,0.0,0.573715,1.0,1.0,0.7613872,0.99174345,0.0,0.0,0.0,0.51335603,1.0
1.0,0.57338595,1.0,1.0,0.27966645,1.0,0.09419285,1.0,0.0,0.6669672,1.0,0.9418457,1.0,0.9851087,0.0,0.0,0.0,0.13894573,0.9961223,0.0,1.0,0.0,0.46997163,0.6753846,0.691906,0.0,0.5634093,1.0,1.0,0.76748824,1.0,0.0,0.0,0.0,0.50988376,1.0
1.0,0.5803612,1.0,1.0,0.23816442,1.0,0.06728448,1.0,0.0,0.69519174,1.0,0.9613408,1.0,1.0,0.0,0.0,0.0,0.082855046,1.0,0.0,1.0,0.0,0.45451456,0.69051766,0.70427716,0.0,0.5556029,1.0,1.0,0.7850559,1.0,0.0,0.0,0.0,0.4998627,1.0
1.0,0.5758078,1.0,1.0,0.20688477,1.0,0.032507926,1.0,0.0,0.70904225,1.0,0.9880231,1.0,1.0,0.0,0.0,0.0,0.017982801,1.0,0.0,1.0,0.0,0.43472984,0.70062226,0.71164846,0.0,0.5392696,1.0,1.0,0.79326326,1.0,0.0,0.0,0.0,0.4879821,1.0
1.0,0.5853221,1.0,1.0,0.16706176,1.0,0.0,1.0,0.0,0.7223151,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.41121542,0.70799434,0.7050721,0.0,0.5218641,1.0,1.0,0.8044522,1.0,0.0,0.0,0.0,0.43928736,1.0
1.0,0.59151506,1.0,1.0,0.12848626,1.0,0.0,1.0,0.0,0.73489314,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.38838506,0.7177007,0.7255811,0.0,0.51163226,1.0,1.0,0.81077063,1.0,0.0,0.0,0.0,0.42796978,1.0
1.0,0.5966592,1.0,1.0,0.0693347,1.0,0.0,1.0,0.0,0.76079,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.36913702,0.7230265,0.72738117,0.0,0.5129776,1.0,1.0,0.8253732,1.0,0.0,0.0,0.0,0.4171255,1.0
1.0,0.6091067,1.0,1.0,0.0069422564,1.0,0.0,1.0,0.0,0.79394716,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.36055076,0.73338485,0.74823934,0.0,0.51719713,1.0,1.0,0.84425783,1.0,0.0,0.0,0.0,0.410443,1.0
1.0,0.60733926,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8127305,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.32189023,0.7458935,0.754308,0.0,0.49484843,1.0,1.0,0.8481303,1.0,0.0,0.0,0.0,0.39266703,1.0
1.0,0.61619514,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.85796636,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.29863653,0.7656434,0.7739293,0.0,0.4783398,1.0,1.0,0.8608364,1.0,0.0,0.0,0.0,0.36317965,1.0
1.0,0.6159522,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.88373655,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2521413,0.77120185,0.7829786,0.0,0.4441311,1.0,1.0,0.86664975,1.0,0.0,0.0,0.0,0.3374548,1.0
1.0,0.6146501,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9060172,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.21402632,0.7891286,0.8003314,0.0,0.43654272,1.0,1.0,0.8798917,1.0,0.0,0.0,0.0,0.3185055,1.0
1.0,0.62164366,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.950833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1645368,0.8091124,0.8242786,0.0,0.41950685,1.0,1.0,0.88718617,1.0,0.0,0.0,0.0,0.2975625,1.0
1.0,0.6198701,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96753573,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10827843,0.8273964,0.8339128,0.0,0.4060614,1.0,1.0,0.8927253,1.0,0.0,0.0,0.0,0.27269432,1.0
1.0,0.6217513,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9902769,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.065417856,0.84224725,0.8495787,0.0,0.37154278,1.0,1.0,0.9009566,1.0,0.0,0.0,0.0,0.2481524,1.0
1.0,0.6290669,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.020687403,0.8578833,0.85222644,0.0,0.35922712,1.0,1.0,0.90670884,1.0,0.0,0.0,0.0,0.21899605,1.0
1.0,0.6197141,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8726672,0.86740935,0.0,0.33641365,1.0,1.0,0.91466314,1.0,0.0,0.0,0.0,0.184116,1.0
1.0,0.6022086,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8979053,0.88693315,0.0,0.33261442,1.0,1.0,0.92896533,1.0,0.0,0.0,0.0,0.14842291,1.0
1.0,0.59707046,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9314449,0.91545254,0.0,0.2882265,1.0,1.0,0.9389449,1.0,0.0,0.0,0.0,0.104925685,1.0
1.0,0.5839715,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.957512,0.93930537,0.0,0.26757228,1.0,1.0,0.9535318,1.0,0.0,0.0,0.0,0.057610456,1.0
1.0,0.5580502,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.98709565,0.9631052,0.0,0.25156838,1.0,1.0,0.9693009,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.53509885,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9791619,0.0,0.23045029,1.0,1.0,0.98096097,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.51443535,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.18967743,1.0,1.0,0.99486214,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.48356444,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.13794902,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.45365116,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.099494584,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.41887927,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05378325,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3735373,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.002566521,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
