total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0821462,0.78896314,0.88503194,0.8362901,1.1115125,0.8132587,0.94297373,0.98520786,0.87809473,0.8416407,0.8123732,0.7789037,0.86997217,0.87167645,0.92804986,0.75914407,0.9290584,1.0538323,0.88212466,0.8267666,0.7410341,0.8708032,0.75703585,0.86051035,1.089718,0.7861175,0.7665458,0.8571,0.8360712,0.8427988,0.74333185,0.8898113,0.7674545,0.8167668,0.8288535,0.77610755,0.8484526,0.9334285,0.8819262,0.75445586,0.98553544,0.8126385,0.96207327,1.0310001,0.9408306,0.9993877,0.87343925,0.94001734,0.79656565,0.9273974,0.7600114,0.8290212,1.2535902,0.8686196
1.0569429,0.6901588,0.7445092,0.8783571,1.1188781,0.7209953,0.81715405,0.95390457,0.8027117,0.76627773,0.70854557,0.58666307,0.78034586,0.85764223,0.8143691,0.6244083,0.7891407,1.104926,0.7946022,0.72041094,0.5317513,0.73944426,0.6302903,0.84580916,1.1219615,0.6697665,0.6232134,0.8459207,0.68168247,0.6912885,0.5719179,0.76666003,0.6392313,0.65856093,0.7421573,0.635323,0.7036602,0.7977293,0.7671124,0.6109242,0.8979465,0.65347,0.91897136,0.9590119,0.79673314,0.87768817,0.77153075,0.86911607,0.6705264,0.8684686,0.5920192,0.7091041,1.1843253,0.7925341
0.9843309,0.58928174,0.67340916,0.88671184,1.1078204,0.6441901,0.7179556,0.93887246,0.72281194,0.68071204,0.62594545,0.43465462,0.7066961,0.8133058,0.7265884,0.4941458,0.6504239,1.1151932,0.73309433,0.6435422,0.3842349,0.6639665,0.5406828,0.8397601,1.1647385,0.5523825,0.49784863,0.85568774,0.5564717,0.5687924,0.45645833,0.6549727,0.56455004,0.5319819,0.63816893,0.4972662,0.59073895,0.6997793,0.6483358,0.50156933,0.8286847,0.53777325,0.85214454,0.8547605,0.7121745,0.7257465,0.6782269,0.7750743,0.55586284,0.8118437,0.47533396,0.6123211,1.1123009,0.7173503
0.9074175,0.49968192,0.579743,0.87210065,1.0994226,0.5928309,0.60711324,0.9474106,0.6747771,0.6053293,0.5499184,0.3272666,0.64625955,0.736243,0.6201072,0.39160806,0.5365983,1.0973116,0.672218,0.5637257,0.27989003,0.61040175,0.49482003,0.8371989,1.2008317,0.4394065,0.39614755,0.8764381,0.45506734,0.4690693,0.36536872,0.55214614,0.46383983,0.42556632,0.5463088,0.39582124,0.4813861,0.612379,0.53687346,0.40314102,0.7468918,0.44602308,0.7697396,0.7403347,0.6042644,0.590391,0.62243253,0.7069176,0.44478372,0.735027,0.3702789,0.5345175,1.0409437,0.63511723
0.8565846,0.41213992,0.53629005,0.83746755,1.0900903,0.54146343,0.5209312,0.9353404,0.62929565,0.52412486,0.49348387,0.24418205,0.5817203,0.65879756,0.5218445,0.30961618,0.43873683,1.092219,0.62011117,0.4900965,0.20053843,0.559245,0.44145188,0.8256733,1.2037585,0.36078492,0.30582654,0.87353927,0.34375626,0.38370252,0.2855853,0.4470782,0.39876953,0.3327269,0.46775803,0.31096008,0.39012334,0.53111786,0.45585868,0.32766503,0.6635839,0.363103,0.71030414,0.65686697,0.53499466,0.49741775,0.55220246,0.63288546,0.34746793,0.66611785,0.3045047,0.47111392,0.96340996,0.56694245
0.7976542,0.34196267,0.48297763,0.8056607,1.0708821,0.5198102,0.44387734,0.91895956,0.5881005,0.44162762,0.44136938,0.18481852,0.519362,0.59762925,0.43785313,0.25423518,0.35444346,1.0757633,0.5648167,0.42345473,0.14315228,0.50760543,0.40164873,0.81238365,1.204611,0.29233474,0.2342657,0.8710768,0.26889727,0.31294546,0.21230777,0.37390083,0.33581725,0.2548547,0.39842784,0.25084427,0.316272,0.44806993,0.3903565,0.27312708,0.58481,0.29022154,0.63908565,0.5894992,0.47065318,0.4000054,0.50242174,0.5626487,0.27336004,0.60357696,0.23826876,0.40694007,0.89713573,0.5211971
0.7514919,0.27693042,0.44701347,0.7760619,1.0479786,0.48815575,0.38197157,0.90186447,0.5504671,0.37671128,0.40872753,0.13457057,0.47845304,0.5464935,0.3612312,0.20221433,0.28315675,1.0577444,0.5236699,0.36317635,0.10236044,0.46492565,0.36637986,0.7966004,1.196375,0.23466134,0.17945933,0.85710293,0.21407804,0.2559966,0.1576203,0.31063527,0.27644587,0.19148877,0.3384351,0.19580136,0.25052658,0.38131478,0.34273344,0.23450987,0.5280412,0.2315769,0.57935435,0.5200184,0.40985814,0.3260691,0.44980496,0.50310105,0.21141645,0.5523627,0.18847074,0.3527211,0.8204666,0.46670988
0.70107263,0.22510687,0.4197257,0.7541943,1.02993,0.46517625,0.32358888,0.88802904,0.515138,0.318809,0.38505223,0.096962355,0.43916947,0.5076011,0.30147147,0.16276868,0.22833806,1.0378455,0.48560038,0.30777287,0.07064494,0.42432058,0.33505508,0.777834,1.1841093,0.18217498,0.13740383,0.8442622,0.16622134,0.20825098,0.11238403,0.25983858,0.22314991,0.14592858,0.28197885,0.15327083,0.20398864,0.3318404,0.302811,0.20131655,0.46506992,0.17906758,0.51614535,0.46802205,0.3514479,0.27209494,0.39903978,0.4424976,0.16365598,0.49292824,0.14889698,0.3020147,0.7589376,0.42172676
0.65738106,0.17719302,0.39274845,0.7335521,1.0097321,0.44731832,0.2737322,0.86355805,0.48474836,0.27091923,0.36290905,0.06727316,0.40916726,0.46644998,0.2539305,0.13070615,0.18413423,1.0230197,0.45054692,0.26063874,0.047196686,0.39227155,0.30800876,0.7600421,1.1702592,0.13795127,0.10343908,0.82929885,0.13071738,0.17355642,0.07898636,0.21719027,0.17058288,0.104512095,0.2344,0.11718326,0.16358954,0.28467467,0.27793965,0.18806666,0.4236318,0.13937113,0.46931943,0.4155555,0.3018313,0.22446537,0.34996346,0.38975087,0.126012,0.4455441,0.11641664,0.25718445,0.70999175,0.39043647
