total_gen,total_losses,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,congestion_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5023981,0.54448795,0.46714377,0.5075396,0.47448173,0.49347204,0.42132935,0.44311738,0.5485664,0.4339943,0.4522353,0.4712917,0.43045133,0.47685328,0.5168527,0.4686741,0.39796656,0.51249707,0.52752995,0.5257714,0.46050984,0.45373666,0.4565249,0.42819494,0.43794107,0.5079624,0.5244755,0.410531,0.4291799,0.43144876,0.43139347,0.43057334,0.5787762,0.51083356,0.50918305,0.50749046,0.5150361,0.48721084,0.51392025,0.51871735,0.4782148,0.49623767
0.49928942,0.5943738,0.45877373,0.5073422,0.49290872,0.48455703,0.38504907,0.42453593,0.5612008,0.39899844,0.41229865,0.44093978,0.4044627,0.4669484,0.51932013,0.4308971,0.31074607,0.49307743,0.5296033,0.51744115,0.42396125,0.44029862,0.43714428,0.40813112,0.42370036,0.5209605,0.5591012,0.3684577,0.42996985,0.39982226,0.4239023,0.40482667,0.62384754,0.5298556,0.51039386,0.5133333,0.49886122,0.48441312,0.5255125,0.5357494,0.44861236,0.477742
0.4758097,0.6603022,0.4345242,0.49549657,0.49488926,0.47871733,0.34482,0.41284677,0.5719726,0.36933488,0.36446032,0.4314349,0.41745284,0.449053,0.5294167,0.38961783,0.23803557,0.46186674,0.5161954,0.5061933,0.39745724,0.404275,0.4156527,0.35907897,0.4297478,0.5091871,0.576386,0.33092526,0.41634893,0.36682248,0.4180446,0.37540552,0.6592847,0.5452688,0.49358675,0.5111566,0.49827957,0.49393722,0.5342847,0.5512579,0.42477494,0.45113203
0.4724577,0.706507,0.4201608,0.48069596,0.48931536,0.47160673,0.32189095,0.40784565,0.58624876,0.34245142,0.3204745,0.41214874,0.42962182,0.4352867,0.52672064,0.3461168,0.14242113,0.4649522,0.5072872,0.4986961,0.3855008,0.3849896,0.37752694,0.31975457,0.4063521,0.5208837,0.5852232,0.2801706,0.40871412,0.35118437,0.41210425,0.37380722,0.7017737,0.572529,0.49607235,0.5410068,0.4892759,0.49025086,0.53675467,0.5621943,0.40484577,0.42947254
0.4684379,0.73136944,0.39544588,0.4770047,0.4964914,0.461103,0.29290202,0.40015927,0.59098214,0.31415105,0.29531708,0.397066,0.42932376,0.4160412,0.52705956,0.30816138,0.04094673,0.45515737,0.4987718,0.48846343,0.3792447,0.3665517,0.3612546,0.27486184,0.3977582,0.51441467,0.5963422,0.21641825,0.4046024,0.35906464,0.4100562,0.35971263,0.73438877,0.59697217,0.4909517,0.52916014,0.4713165,0.4838877,0.559116,0.5787889,0.3870046,0.4139334
0.45666093,0.7711292,0.37420645,0.46305865,0.4922321,0.46917963,0.26559353,0.39335904,0.5943509,0.30179974,0.23619151,0.38404277,0.45632547,0.39989883,0.53377354,0.26677713,0.0,0.44429377,0.4954444,0.4804014,0.37405297,0.3585967,0.34483674,0.2521962,0.39071056,0.5039185,0.6048377,0.14399101,0.3854921,0.34091356,0.39950186,0.3520584,0.7735185,0.6198215,0.48670667,0.51480395,0.44776887,0.47224474,0.5767973,0.583375,0.39464724,0.40956047
0.43841922,0.7925555,0.34516704,0.4559199,0.491326,0.46461186,0.24489933,0.3709487,0.60872483,0.2655331,0.17945156,0.3662364,0.45334557,0.3678414,0.538095,0.21601556,0.0,0.43103454,0.48058665,0.47512543,0.36648458,0.33279437,0.33276543,0.22396927,0.38596004,0.500523,0.61350507,0.074506685,0.35956326,0.33606353,0.39209625,0.35247928,0.8055408,0.6448423,0.48664287,0.5080718,0.43550378,0.475201,0.6016383,0.59607935,0.38807696,0.40392393
0.43340755,0.8443781,0.32171214,0.4443267,0.49073005,0.47506505,0.23339371,0.37169442,0.623902,0.2484203,0.12506592,0.35589206,0.45460677,0.34306937,0.54620326,0.18370159,0.0,0.43084055,0.45603046,0.4732463,0.35296923,0.31211746,0.32473245,0.19154464,0.3729138,0.4989707,0.6211806,0.011114727,0.3337182,0.33148065,0.38475633,0.34917116,0.8474658,0.6712307,0.48801187,0.5021969,0.41911235,0.48452273,0.61951154,0.6155837,0.38202813,0.40663368
0.42642137,0.8787639,0.29368317,0.43817765,0.4994035,0.46863377,0.22247201,0.36810616,0.63009334,0.24115355,0.07079639,0.3382407,0.447652,0.31010574,0.54715794,0.1397188,0.0,0.42362684,0.4462237,0.46451616,0.33438635,0.28096983,0.31149215,0.14825289,0.36795095,0.49290043,0.62561536,0.0,0.31393152,0.33415264,0.35072988,0.3432204,0.8768362,0.68843466,0.48052412,0.49854103,0.4072047,0.48286173,0.6432521,0.6264993,0.36307842,0.40278274
0.41065702,0.9029677,0.2705713,0.42518258,0.5087879,0.462568,0.22063544,0.34969747,0.64971983,0.21913421,0.015838437,0.31241328,0.46877876,0.29817536,0.54183286,0.0904571,0.0,0.40854958,0.4318762,0.45121655,0.3145592,0.24674414,0.30409184,0.11804357,0.3559299,0.48901087,0.6256609,0.0,0.271205,0.31583044,0.3516343,0.34384605,0.9131331,0.70002806,0.46952018,0.4897296,0.39050087,0.47808093,0.66616464,0.6458252,0.3548988,0.38638714
