epoch,train_mse,train_r2,test_mse,test_r2
1,0.49988870903519983,0.5001112818717957,0.47621167932705183,0.49732816219329834
2,0.29835720723430953,0.7016427516937256,0.30400543791673534,0.679102897644043
3,0.1560121909193098,0.8439878225326538,0.1583522941417447,0.8328490257263184
4,0.11798160517777222,0.8820183873176575,0.11736802105996304,0.8761105537414551
5,0.09821599259870276,0.9017840027809143,0.10085858561371158,0.8935373425483704
6,0.08796626878412146,0.91203373670578,0.08716540432694118,0.907991349697113
7,0.07930773799112287,0.9206922650337219,0.08228052108230569,0.9131476283073425
8,0.08231381599988126,0.9176861643791199,0.08251374465322531,0.9129014611244202
9,0.08529404115889429,0.9147059321403503,0.08721592336915797,0.9079380035400391
10,0.07354753417148334,0.9264524579048157,0.07641087785340482,0.9193434715270996
11,0.0727420538013146,0.9272579550743103,0.07306615936160996,0.9228739738464355
12,0.06875856691427262,0.9312414526939392,0.07248972020702572,0.9234824776649475
13,0.07076805153851697,0.9292319416999817,0.07414250287636207,0.9217378497123718
14,0.06509933843185754,0.9349006414413452,0.06854221111208927,0.9276493191719055
15,0.0610526924722698,0.938947319984436,0.0632695242501341,0.9332149624824524
16,0.06212754925737096,0.9378724694252014,0.06603098298968156,0.9303000569343567
17,0.06515961799068727,0.9348403811454773,0.06760852461930637,0.9286348819732666
18,0.05944833495816845,0.9405516386032104,0.06241884159219519,0.9341129064559937
19,0.058819428285190295,0.9411805868148804,0.062400961851292264,0.9341318011283875
20,0.05763325393114674,0.9423667192459106,0.06042960521242604,0.9362126588821411
21,0.056169012366793336,0.9438309669494629,0.05870139394409773,0.9380369186401367
22,0.057498129294982034,0.9425018429756165,0.060451391198467916,0.9361897110939026
23,0.05741602804832882,0.9425839781761169,0.060785067824237954,0.9358375072479248
24,0.056144844233410034,0.9438551664352417,0.059586743324449874,0.9371023774147034
25,0.056000580143078335,0.9439994096755981,0.06031141379598256,0.9363374710083008
26,0.06267783657415371,0.9373221397399902,0.06415733963069392,0.9322778582572937
27,0.053379096235002976,0.9466208815574646,0.05719006242991493,0.93963223695755
28,0.05219513442208188,0.947804868221283,0.055178300721752574,0.9417557716369629
29,0.056827478691890074,0.9431725144386292,0.05876050131940624,0.9379745125770569
30,0.05155163513628651,0.9484483599662781,0.05547783705519467,0.9414396286010742
31,0.05185847802472696,0.9481415152549744,0.054989167159741247,0.9419554471969604
32,0.056120565488599214,0.9438794255256653,0.05799388636198894,0.9387837648391724
33,0.05256597278106881,0.9474340081214905,0.05557385974041209,0.9413382411003113
34,0.05167319810886041,0.948326826095581,0.05664580143851841,0.94020676612854
35,0.05801338306752486,0.941986620426178,0.06501699352023624,0.9313703775405884
36,0.05029445903306126,0.9497055411338806,0.054647103627780226,0.942316472530365
37,0.05354147217457391,0.9464585185050964,0.05667012999765575,0.9401810765266418
38,0.05005193837867904,0.9499480724334717,0.05450559091163663,0.9424658417701721
39,0.057639306777708864,0.9423606991767883,0.0594452640848098,0.9372517466545105
40,0.05643050317261098,0.9435694813728333,0.06232999767767402,0.9342067241668701
41,0.0532155740184924,0.9467844367027283,0.056338329833546065,0.940531313419342
42,0.04911067963007363,0.9508893489837646,0.05439261666203781,0.9425851106643677
43,0.05133804001985366,0.9486619830131531,0.056988726006593646,0.9398447871208191
44,0.04920630564687249,0.9507936835289001,0.05451998449066972,0.9424507021903992
