方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9029066973968132,gen_fuel_nuclear_mw|system_energy_price_da|gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_wind_mw|gen_fuel_hydro_pct|gross_sched_interchange_mw|gen_fuel_gas_pct|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_ss_mw_primary_reserve|total_pjm_assigned_reg|total_pjm_rmpcp_cr
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8957190132096899,gen_fuel_nuclear_mw|gen_fuel_gas_mw|system_energy_price_da|gen_fuel_other_renewables_mw|da_as_as_mw_primary_reserve|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_hydro_mw|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|total_pjm_assigned_reg|da_as_ss_mw_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_oil_mw|gen_fuel_multiple_fuels_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8933599467910351,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr|gen_fuel_oil_mw|gen_fuel_solar_mw|da_as_as_mw_synchronized_reserve|da_as_mcp_primary_reserve|gen_fuel_gas_pct|da_as_ss_mw_primary_reserve|gen_fuel_other_renewables_mw|gen_fuel_coal_mw
XGBoost,树模型特征重要性（2016）,0.8743908380035708,da_as_mcp_primary_reserve|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_nuclear_mw|gen_fuel_gas_mw|system_energy_price_da|da_as_as_req_mw_primary_reserve|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_mw|total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|gen_fuel_coal_pct
Lasso,线性稀疏（1996）,0.8557534913772369,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|gen_fuel_hydro_mw|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_solar_mw|da_as_mcp_synchronized_reserve|da_as_as_mw_synchronized_reserve|wind_generation_mw|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|da_as_mcp_primary_reserve
Pearson,相关系数排序（只看两两关系）,0.8438531645514002,gen_fuel_nuclear_mw|system_energy_price_da|da_as_as_mw_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_oil_pct|da_as_mcp_primary_reserve|gen_fuel_multiple_fuels_mw|gen_fuel_oil_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|gen_fuel_hydro_mw|da_as_as_req_mw_thirty_minutes_reserve|total_lmp_rt|system_energy_price_rt|gen_fuel_hydro_pct
