area_1_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6530084,0.65920514,0.6687718,0.6825267,0.6913419,0.6584712,0.9636385,0.6886477,0.84953606,0.81712794,0.7034766,0.6542066,0.70976263,0.6557418,0.718303,0.66101426,0.670395,0.64972985,0.90268177,0.9585491,0.9287321,0.6970027,0.6635347,0.86699146,0.75664854,0.7142256,0.65610164,0.807255,0.7693963,0.6896541,0.6813751,0.84240067,0.83417326,0.6837702,0.6717261
0.45429328,0.42050153,0.42549968,0.46928987,0.48289523,0.45116502,0.79831094,0.4450972,0.6236956,0.59918255,0.46860987,0.42999795,0.59018826,0.4605475,0.49324262,0.4512803,0.45725927,0.39845014,0.69735825,0.78008807,0.80185634,0.49205294,0.4767373,0.6804666,0.5522907,0.56457853,0.49576354,0.57623285,0.5595607,0.4983701,0.45454758,0.62521493,0.6305434,0.44643143,0.43713096
0.3288321,0.26403922,0.27213392,0.3296781,0.34290186,0.31587082,0.64365053,0.28407723,0.45296797,0.44676867,0.3032923,0.27450073,0.5083182,0.32199717,0.33422965,0.31210008,0.2915968,0.2415685,0.5483064,0.6444919,0.66476417,0.3407784,0.31713378,0.5138127,0.429813,0.43787736,0.3994553,0.41495222,0.3994208,0.36900285,0.3032238,0.4824696,0.47215244,0.2844442,0.27251494
0.24718535,0.1589864,0.17025237,0.23654889,0.24115135,0.22102824,0.5149745,0.17824541,0.3228106,0.34871766,0.19314823,0.17072634,0.44412926,0.22236437,0.22614236,0.21948399,0.17901471,0.14117731,0.4289698,0.5260474,0.5577033,0.24323754,0.2111693,0.38703474,0.34513256,0.33942834,0.31778178,0.31841278,0.27670744,0.285497,0.20282024,0.37418386,0.34820256,0.17910014,0.16306011
0.19140989,0.09338812,0.10324508,0.17221652,0.1707286,0.15454249,0.41662896,0.10719388,0.22752665,0.269107,0.121340774,0.105523154,0.39619923,0.15375088,0.15614809,0.1581124,0.10757441,0.07908409,0.33609197,0.43204513,0.48488122,0.18027948,0.14028065,0.2967583,0.28556827,0.27653298,0.2705169,0.24911487,0.20102893,0.22981293,0.1426999,0.29436165,0.25600934,0.110404074,0.09297618
0.15045422,0.053528015,0.06069107,0.12724993,0.12541638,0.107105836,0.34332383,0.0621366,0.15801862,0.21046606,0.07578749,0.065250516,0.3605523,0.10959269,0.106380165,0.1191659,0.062453516,0.042409685,0.26543075,0.3606157,0.42841417,0.13542424,0.0970018,0.22779846,0.24524577,0.22655943,0.23539226,0.19827372,0.14976527,0.19282356,0.10962299,0.23682098,0.18939285,0.0681994,0.051211275
0.11850428,0.02975443,0.034032904,0.09335703,0.09460372,0.07287203,0.28417918,0.034298334,0.1097739,0.17186701,0.045408294,0.039261434,0.3306739,0.08018642,0.07116607,0.09251516,0.035167832,0.021389036,0.2103133,0.29984865,0.38411877,0.10454241,0.06680137,0.1745368,0.21393594,0.18695873,0.20629133,0.16149537,0.110744454,0.16213685,0.09384619,0.19364877,0.13689893,0.041122068,0.026566338
0.09262448,0.01559124,0.01802195,0.06753006,0.070752755,0.047913276,0.24056102,0.017890355,0.077470675,0.13717774,0.026732663,0.022947421,0.30545142,0.057741992,0.046427336,0.0749357,0.018863266,0.010077117,0.16758433,0.24992459,0.3509871,0.08252199,0.045075007,0.13158785,0.19181123,0.15835984,0.18609215,0.13406795,0.08700914,0.13807577,0.088858,0.16397682,0.097795814,0.02310226,0.012889045
0.07225499,0.007643359,0.008954792,0.048176784,0.05502919,0.030520303,0.20152017,0.008841508,0.054482408,0.11116083,0.014463454,0.012885657,0.28458437,0.042410273,0.028981214,0.061378956,0.009464663,0.00442938,0.13464564,0.21211088,0.3237428,0.06585326,0.031491764,0.09655817,0.17433973,0.13705441,0.16985965,0.1153998,0.07049641,0.120388575,0.091512516,0.14083269,0.06951901,0.012254565,0.005796163
