area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.57240164,0.5178312,0.46422482,0.48879093,0.5755961,0.50558615,0.4588387,0.51668787,0.5083103,0.58299726,0.50088096,0.50321704,0.51848257,0.5036787,0.472484,0.55054617,0.5326756,0.53495663,0.46538866,0.61066055,0.54308856
0.615877,0.50239646,0.44099525,0.47596043,0.6223328,0.49503213,0.42510307,0.5070702,0.48793602,0.6284865,0.48815134,0.49153298,0.57076913,0.51199126,0.43476918,0.6345351,0.5490586,0.6012967,0.45198485,0.6761504,0.57243407
0.6647622,0.4881715,0.41394928,0.47163263,0.66660744,0.48028246,0.4076256,0.49116936,0.48637602,0.6818869,0.4840344,0.48365733,0.6152336,0.5064162,0.41614842,0.71636254,0.56063,0.6466549,0.42601845,0.7282641,0.61047435
0.69899505,0.4690018,0.3930683,0.45146838,0.6981082,0.4483513,0.39235443,0.4815335,0.51325125,0.73103905,0.4843627,0.47402003,0.6476374,0.50417936,0.3764984,0.7901162,0.5664767,0.6841532,0.40654784,0.7627574,0.6438629
0.73832893,0.4471818,0.35936028,0.4392219,0.72716033,0.43489975,0.36908665,0.4653546,0.5200799,0.7765093,0.48977065,0.4688993,0.6903527,0.49476752,0.34991357,0.8725157,0.5667311,0.7227014,0.38586453,0.8036952,0.68057436
0.7704502,0.43188637,0.3248753,0.41796237,0.75229084,0.41986564,0.32686764,0.4579637,0.5081156,0.82165956,0.4887788,0.45664123,0.72979873,0.49130645,0.33658296,0.94682467,0.566774,0.76482165,0.37214363,0.8417513,0.72065586
0.80513364,0.41003588,0.30781287,0.39115667,0.7898282,0.39803794,0.2889518,0.44916221,0.49589014,0.84662694,0.49204355,0.43403617,0.75021815,0.48102668,0.32483152,1.0045758,0.56763,0.7901583,0.36029395,0.8676379,0.736129
0.8440486,0.38178462,0.25621876,0.36173895,0.81847775,0.38197055,0.24734767,0.43206528,0.4780748,0.88606864,0.48861486,0.4151396,0.7681041,0.47013134,0.30458137,1.0659008,0.5568348,0.81688035,0.3561536,0.91444385,0.751382
0.89642394,0.35140404,0.21636231,0.33218408,0.8483669,0.35385552,0.21301991,0.415821,0.4802419,0.91260374,0.48329,0.39066255,0.795315,0.45590675,0.27596852,1.1214179,0.5641515,0.8461358,0.34298873,0.94820535,0.7660528
