total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,congestion_price_da,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.77619785,0.96787536,0.8764284,0.87515,0.87881905,0.88663375,0.7842241,0.8079586,0.74467933,0.7181841,0.87059087,0.8265116,1.0086099,0.8044976,0.80375123,0.72159666,0.751271,0.87271774,0.9274045,0.88343996,0.7947894,0.7386311,0.8318176,1.0265559,0.8362812,0.8441119,0.70803136,1.1507099,1.1255563,1.0378227,1.1323171,1.116307,0.77132756,0.7184355,0.80601704,0.7841847,0.811364,0.73692745
0.6373528,0.8399234,0.7688619,0.67518395,0.80300945,0.7425653,0.5636916,0.6850378,0.56367874,0.5386404,0.71563846,0.6979303,0.944155,0.6616005,0.65684456,0.5543524,0.6225386,0.7823057,0.7281651,0.71850944,0.6069016,0.5713376,0.69095105,0.8994279,0.72690773,0.7986665,0.5704696,1.1211399,1.0646292,0.9369847,1.35448,1.1233966,0.6136668,0.526201,0.63386583,0.59697104,0.67862964,0.56442326
0.5119398,0.68920225,0.70771533,0.5164739,0.7177787,0.63649535,0.4159731,0.56416625,0.44733584,0.3997785,0.6303152,0.59958875,0.8796772,0.5693632,0.5508862,0.4310545,0.52137387,0.69955456,0.5963001,0.58783984,0.46168777,0.42441747,0.5948318,0.7901966,0.61510473,0.7494293,0.46972483,1.090462,0.9948285,0.8609817,1.5132366,1.0804715,0.52352726,0.38660935,0.51430225,0.4531434,0.5728869,0.43807536
0.41690114,0.58529663,0.6353107,0.40820333,0.65603226,0.54645026,0.3271731,0.47669587,0.3619009,0.3009504,0.57128245,0.5067706,0.84958005,0.4913464,0.4721966,0.33589476,0.4548319,0.61871,0.5039347,0.48397252,0.3493551,0.30268264,0.5078696,0.7175979,0.5198554,0.69922745,0.39364105,1.0650032,0.93218386,0.8113119,1.5757079,1.0356292,0.44074708,0.28280437,0.4422722,0.3555578,0.46126184,0.34556636
0.35005763,0.50368655,0.57014096,0.32647222,0.6046804,0.4752833,0.27271244,0.41499227,0.31075552,0.22731926,0.5178127,0.43517125,0.81841296,0.42997846,0.41908637,0.27673826,0.39445916,0.5541749,0.44057548,0.40604505,0.2644894,0.2211312,0.44794863,0.66523093,0.43610686,0.65708834,0.32580307,1.0376468,0.8853854,0.77310187,1.5665209,1.0126995,0.37584203,0.2081665,0.38032103,0.28341413,0.38031802,0.27723035
0.29769263,0.43425605,0.5251514,0.25704098,0.5320681,0.42898107,0.23494753,0.3729728,0.26587683,0.16925275,0.48490307,0.38862497,0.7545083,0.37157744,0.3763719,0.23259811,0.3426229,0.5085561,0.39239335,0.33388624,0.1963911,0.16332193,0.4011015,0.61734134,0.37382844,0.6208575,0.28067154,1.0173894,0.84296536,0.73762095,1.5443028,0.97690266,0.32799837,0.15820304,0.328153,0.22524348,0.30806762,0.22957945
0.2571832,0.37908664,0.49077553,0.20660572,0.49174,0.372123,0.20013411,0.33570063,0.21957281,0.12967932,0.44870895,0.34593514,0.7278789,0.33305877,0.34692326,0.19667004,0.29844472,0.4642604,0.34967035,0.2808953,0.14638276,0.12015724,0.3666523,0.5617514,0.31241745,0.5819871,0.23461299,1.003597,0.8058527,0.6970103,1.4904422,0.974071,0.28830883,0.1211193,0.29186857,0.17656326,0.24714294,0.19052662
0.22262251,0.33554485,0.4498984,0.16534078,0.4503169,0.33571506,0.18475841,0.30768657,0.19798225,0.09769868,0.41264072,0.3122737,0.69488573,0.28930277,0.3048906,0.15953499,0.2773135,0.42827162,0.32727286,0.24678764,0.10909121,0.08935545,0.3407956,0.5230137,0.26977897,0.55633515,0.19504288,0.98101074,0.76697105,0.66277844,1.4685037,0.9489536,0.2609344,0.08972991,0.25785545,0.13969901,0.20156689,0.16021767
0.18801577,0.31318218,0.42731786,0.13726118,0.41015685,0.29791775,0.17240623,0.27353767,0.17832199,0.07487437,0.38412538,0.28394613,0.65702415,0.25672132,0.28587234,0.13916954,0.25421622,0.38557148,0.29929352,0.21009174,0.07863524,0.06390647,0.3213166,0.48097968,0.2300763,0.5266782,0.1607855,0.9561459,0.72974,0.624586,1.4395189,0.93168634,0.23826471,0.06830026,0.22871965,0.111112446,0.16964635,0.13861509
