目标,字段,独立能力,不可替代性,分解式门控,本方法贡献值,本方法排名
计量负荷,total_pjm_rt_load_mwh,0.999326469285052,0.0009128766850932,0.0,0.0982426289868996,3
总发电量,total_pjm_rt_load_mwh,0.9839499257161114,0.0015920040619833,0.0,0.1004038688179347,3
日前总电价,gen_fuel_oil_mw,0.6609220811142913,-0.0007857052361722,0.0,0.070227367327847,2
网损,gen_fuel_coal_mw,0.5237432230500207,0.0030756174211027,0.0,0.0666848746151133,1
日前主用备用总量,da_as_nsr_mw_primary_reserve,0.5150615672606469,0.0009581365374788,0.0,0.1732535181173563,2
日前边际损耗价,gen_fuel_oil_pct,0.4143225912655148,-0.0008108048012944,0.0,0.0377521988565245,5
实时阻塞价,system_energy_price_rt,0.3908669462021997,0.0081104561541489,0.0,0.1041858851011053,2
日前30分钟备用总量,gen_fuel_nuclear_mw,0.3087526167830675,0.0002139225086961,0.0,0.0477692165495889,2
净实际交换功率,da_as_as_req_mw_thirty_minutes_reserve,0.2776998951664021,0.0003549101305629,0.0,0.0376963868471434,6
净计划交换功率,da_as_as_req_mw_thirty_minutes_reserve,0.2509961469359273,0.0022385303771403,0.0,0.0366551957381672,6
总实际交换功率,prelim_load_avg_hourly,0.1718401845411045,0.0016877232116221,0.0,0.0219379228209694,6
日前阻塞价,prelim_load_avg_hourly,0.1463482737556075,-0.0065626693647253,0.0,0.0185507349858318,12
