字段,跨目标贡献合计
system_energy_price_da,0.5967402855827443
da_as_as_mw_thirty_minutes_reserve,0.5702851873234325
gross_inadv_interchange_mw,0.5645832939688202
forecast_load_mw_latest_available,0.48430029404555
marginal_loss_price_rt,0.4633706442073767
prelim_load_avg_hourly,0.4371306040405791
gen_fuel_coal_mw,0.4184606755197623
total_pjm_rt_load_mwh,0.396329810413079
gen_fuel_nuclear_mw,0.37472020419001445
gen_fuel_gas_mw,0.37162922796194586
gross_sched_interchange_mw,0.3570380674334188
gen_fuel_oil_mw,0.3566308589099017
system_energy_price_rt,0.3539409317856007
gen_fuel_coal_pct,0.35078617095408393
gen_fuel_other_renewables_mw,0.34095913620075713
da_as_as_mw_primary_reserve,0.3404058733813552
total_lmp_rt,0.30988120389312374
gen_fuel_nuclear_pct,0.28866382311533334
da_as_as_req_mw_thirty_minutes_reserve,0.28488122221455947
da_as_nsr_mw_primary_reserve,0.2385012746071849
da_as_as_req_mw_primary_reserve,0.22709305685200135
da_as_as_req_mw_synchronized_reserve,0.21176711936146944
gen_fuel_other_renewables_pct,0.20142127899528914
gen_fuel_multiple_fuels_mw,0.2001840507471178
da_as_mcp_primary_reserve,0.19337893673952644
gen_fuel_gas_pct,0.1895764127669222
gen_fuel_oil_pct,0.18345466960874268
gen_fuel_multiple_fuels_pct,0.17672807403647323
gen_fuel_solar_mw,0.1760680850616041
da_as_mcp_synchronized_reserve,0.17102978922585424
da_as_as_mw_synchronized_reserve,0.1627706723753552
da_as_total_mw_synchronized_reserve,0.15500906437000758
wind_generation_mw,0.15275972226035622
rmpcp,0.1526021633159751
gen_fuel_hydro_mw,0.14107090960412808
gen_fuel_wind_mw,0.12280542420184458
solar_generation_mw,0.10456348311586025
total_pjm_assigned_reg,0.10435096990015816
total_pjm_reg_purchases,0.09863822733376779
gen_fuel_hydro_pct,0.08653687305862537
gen_fuel_wind_pct,0.08636967067329604
net_inadv_interchange_mw,0.08271231236086767
total_pjm_rmccp_cr,0.08270881340500665
total_pjm_loc_credit,0.07394195021785073
gen_fuel_solar_pct,0.06636668381287464
total_pjm_rmpcp_cr,0.06413561042056663
da_as_ss_mw_primary_reserve,0.060531503615236563
rmccp,0.05533290748705301
da_as_ss_mw_synchronized_reserve,0.05360542376735424
da_as_ss_mw_thirty_minutes_reserve,0.04305445343119163
gen_fuel_storage_mw,0.041704957640349566
total_pjm_self_sched_reg,0.039958121315768376
