目标,候选数,门控判零字段数,独立能力≥0.3且被门控判零,独立能力≥0.5且被门控判零,独立能力≥0.7且被门控判零,被判零字段的最高独立能力,最严重的那个字段,它的本方法贡献值排名
净实际交换功率,52,42,0,0,0,0.2776998951664021,da_as_as_req_mw_thirty_minutes_reserve,6
总实际交换功率,52,38,0,0,0,0.1718401845411045,prelim_load_avg_hourly,6
净计划交换功率,52,42,0,0,0,0.2509961469359273,da_as_as_req_mw_thirty_minutes_reserve,6
总发电量,52,49,12,5,4,0.9839499257161114,total_pjm_rt_load_mwh,3
计量负荷,52,51,14,7,4,0.999326469285052,total_pjm_rt_load_mwh,3
网损,52,39,3,1,0,0.5237432230500207,gen_fuel_coal_mw,1
日前阻塞价,52,35,0,0,0,0.1463482737556075,prelim_load_avg_hourly,12
实时阻塞价,52,32,1,0,0,0.3908669462021997,system_energy_price_rt,2
日前边际损耗价,52,41,5,0,0,0.4143225912655148,gen_fuel_oil_pct,5
日前总电价,52,51,14,6,0,0.6609220811142913,gen_fuel_oil_mw,2
日前主用备用总量,52,51,7,1,0,0.5150615672606469,da_as_nsr_mw_primary_reserve,2
日前30分钟备用总量,52,51,1,0,0,0.3087526167830675,gen_fuel_nuclear_mw,2
