目标,字段名,候选数,v_全部,v_空,加和性偏差,判零门槛,超过判零门槛的字段数,替身型,协同型,独立可加,无贡献,通道A精确零点,通道AB秩相关,通道A噪声字段门控均值,噪声字段份额范围,前3份额占比,可分析,耗时秒,曲线_本方法贡献值,曲线_通道A门控值,曲线_分解式门控,曲线_随机门控,曲线_两两相关性,曲线_置换重要性,曲线_Lasso系数,曲线_本方法·最低的k个,曲线_k
净实际交换功率,net_actual_interchange_mw,52,0.9077817223206694,-0.0005764545767215079,1.1102230246251565e-16,0.010412034804458414,32,20,0,12,20,25,0.8293274744410174,0.0,"[-0.01207602812894812, -0.001481938583354046]",0.2149215460804934,True,300.2,"[0.2249, 0.356, 0.5919, 0.687, 0.8373, 0.892, 0.8909, 0.9207, 0.9594, 0.9612]","[0.2249, 0.2932, 0.5728, 0.695, 0.8414, 0.9485, 0.9571, 0.9567, 0.9567, 0.9581]","[0.0435, 0.1848, 0.3912, 0.9103, 0.9495, 0.9547, 0.9614, 0.9565, 0.9609, 0.9589]","[0.0282, 0.0388, 0.1342, 0.1439, 0.3073, 0.4579, 0.6819, 0.7687, 0.7945, 0.9582]","[0.2249, 0.5118, 0.5199, 0.6687, 0.7405, 0.7999, 0.8492, 0.867, 0.9569, 0.9577]","[0.2249, 0.4607, 0.5996, 0.7374, 0.8351, 0.8479, 0.9147, 0.914, 0.9573, 0.96]","[0.0435, 0.2986, 0.4389, 0.7246, 0.9289, 0.9504, 0.9612, 0.9622, 0.9605, 0.9607]","[0.0087, 0.0433, 0.058, 0.0692, 0.1492, 0.2909, 0.6077, 0.6391, 0.7825, 0.9586]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
总实际交换功率,gross_actual_interchange_mw,52,0.8456148140511317,-0.009573068093611914,0.0,0.008306242730394571,29,18,0,11,23,36,0.6669133853679753,0.0,"[-0.008996225552228199, 0.00013491340577189196]",0.4609157334886152,True,268.6,"[0.6159, 0.6602, 0.6741, 0.748, 0.7948, 0.8185, 0.8481, 0.8517, 0.845, 0.8273]","[0.6159, 0.6602, 0.6929, 0.7468, 0.7923, 0.8372, 0.8203, 0.812, 0.8092, 0.8382]","[0.2322, 0.6681, 0.6948, 0.7585, 0.8264, 0.8397, 0.8347, 0.8209, 0.8191, 0.8292]","[0.0341, 0.0368, 0.065, 0.1042, 0.1578, 0.2725, 0.3665, 0.4916, 0.5319, 0.8382]","[0.6159, 0.6602, 0.6881, 0.7552, 0.7922, 0.8122, 0.8176, 0.8215, 0.8332, 0.829]","[0.6159, 0.6436, 0.6771, 0.6876, 0.7698, 0.8265, 0.8303, 0.8393, 0.845, 0.8291]","[0.1463, 0.654, 0.6715, 0.7366, 0.8022, 0.8134, 0.854, 0.849, 0.8367, 0.8309]","[0.0089, 0.0235, 0.0748, 0.0968, 0.1274, 0.1661, 0.2107, 0.3102, 0.4898, 0.8247]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
净计划交换功率,net_sched_interchange_mw,52,0.9079203328669895,-0.00015691991488631096,3.3306690738754696e-16,0.00933794395191796,33,23,0,10,19,25,0.8301424048122334,0.0,"[-0.010102899155200823, 0.0006137418539060573]",0.22063367594131128,True,330.1,"[0.2225, 0.4529, 0.5932, 0.67, 0.866, 0.8816, 0.8914, 0.9559, 0.9597, 0.9588]","[0.2225, 0.4529, 0.5276, 0.7744, 0.8337, 0.9474, 0.9552, 0.9573, 0.9594, 0.962]","[0.0418, 0.184, 0.875, 0.9054, 0.9502, 0.9565, 0.9536, 0.9534, 0.9529, 0.9565]","[0.0303, 0.151, 0.1413, 0.1303, 0.2849, 0.4301, 0.5228, 0.6412, 0.7499, 0.9582]","[0.2225, 0.5103, 0.5143, 0.6693, 0.7385, 0.7895, 0.8499, 0.8622, 0.9552, 0.9549]","[0.2225, 0.4529, 0.598, 0.7347, 0.8477, 0.8681, 0.9121, 0.948, 0.9529, 0.9599]","[0.0418, 0.2918, 0.4356, 0.7303, 0.9296, 0.95, 0.9601, 0.9627, 0.9578, 0.959]","[0.005, 0.0119, 0.0508, 0.1017, 0.167, 0.2495, 0.638, 0.7717, 0.7892, 0.9569]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
总发电量,total_gen,52,0.9970432015002736,-0.004930384560087209,2.220446049250313e-16,0.01497551225564005,21,20,0,1,31,36,0.7492593303041871,0.0,"[-0.01522772026463386, 0.001608663172558904]",0.29688731758211895,True,332.3,"[0.973, 0.9791, 0.9796, 0.9869, 0.992, 0.998, 0.9986, 0.9988, 0.9988, 0.9989]","[0.979, 0.9807, 0.9796, 0.9866, 0.9979, 0.9981, 0.9986, 0.9986, 0.9988, 0.9989]","[0.8581, 0.9819, 0.9971, 0.9973, 0.9982, 0.9981, 0.9983, 0.9985, 0.9988, 0.9989]","[0.0345, 0.1025, 0.2289, 0.2618, 0.3464, 0.5029, 0.7915, 0.979, 0.9901, 0.9989]","[0.98, 0.9805, 0.9795, 0.9869, 0.9921, 0.9981, 0.9986, 0.9987, 0.999, 0.999]","[0.98, 0.9805, 0.9874, 0.9979, 0.9984, 0.9986, 0.9985, 0.9988, 0.9988, 0.9989]","[0.8613, 0.9848, 0.9876, 0.993, 0.9983, 0.9989, 0.999, 0.999, 0.999, 0.999]","[0.1422, 0.1591, 0.2372, 0.324, 0.4466, 0.604, 0.691, 0.9523, 0.9902, 0.999]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
计量负荷,metered_load_mw,52,0.9981586183519194,-0.0001786160962840011,-3.3306690738754696e-16,0.012615968503208078,25,23,0,2,27,36,0.7657076325584081,0.0,"[-0.014615807593100303, 0.0017023741742153158]",0.2933100793997707,True,400.6,"[0.9918, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9997]","[0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9997, 0.9998, 0.9998]","[0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9998, 0.9997, 0.9998, 0.9997]","[0.0401, 0.1378, 0.2805, 0.3579, 0.5339, 0.5625, 0.7084, 0.971, 0.9833, 0.9998]","[0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9997]","[0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9998, 0.9998, 0.9998]","[0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9997]","[0.1448, 0.1627, 0.2103, 0.4338, 0.4648, 0.5771, 0.6587, 0.9466, 0.9822, 0.9998]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
网损,total_losses,52,0.9284178833459378,-0.002417481529674914,0.0,0.012353251935610191,27,22,0,5,25,30,0.731614383929518,0.0,"[-0.013136697210347756, -0.00021734266945792717]",0.1962389080713373,True,424.8,"[0.5307, 0.6052, 0.7042, 0.7555, 0.8763, 0.9062, 0.9259, 0.9271, 0.9264, 0.9148]","[0.3161, 0.7013, 0.7339, 0.8037, 0.8419, 0.9078, 0.9132, 0.9115, 0.8956, 0.9138]","[0.3161, 0.7013, 0.7673, 0.8108, 0.866, 0.9184, 0.9208, 0.9099, 0.9091, 0.9239]","[0.0779, 0.0949, 0.1001, 0.1396, 0.2572, 0.2843, 0.6451, 0.7511, 0.8231, 0.9169]","[0.5307, 0.6054, 0.7337, 0.8853, 0.8766, 0.8804, 0.9044, 0.9236, 0.9144, 0.9192]","[0.5307, 0.6054, 0.6865, 0.847, 0.8857, 0.9193, 0.9306, 0.9295, 0.9245, 0.9201]","[0.48, 0.8514, 0.8721, 0.8834, 0.8953, 0.8853, 0.8944, 0.9149, 0.918, 0.9183]","[0.052, 0.0534, 0.0614, 0.1258, 0.2761, 0.4276, 0.4367, 0.6608, 0.822, 0.9161]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
日前阻塞价,congestion_price_da,52,0.556047209925068,-0.0034999411487868226,1.1102230246251565e-16,0.017019385268634175,15,5,0,10,37,30,0.5356877954896406,0.0,"[-0.018642642434239985, 0.0019222369116194027]",0.23111993585654195,True,304.4,"[0.0756, 0.0897, 0.1605, 0.3645, 0.535, 0.4848, 0.6075, 0.6595, 0.6395, 0.606]","[0.0756, 0.0897, 0.1115, 0.4087, 0.5005, 0.4733, 0.5837, 0.5823, 0.5946, 0.6202]","[0.0514, 0.0666, 0.1786, 0.3775, 0.5891, 0.6216, 0.6637, 0.5697, 0.5402, 0.6453]","[-0.0117, -0.0111, -0.0018, 0.0467, 0.0367, 0.2243, 0.2174, 0.2114, 0.4118, 0.634]","[0.0999, 0.1097, 0.167, 0.2463, 0.2833, 0.4615, 0.5562, 0.5683, 0.6306, 0.6235]","[0.0756, 0.1204, 0.2446, 0.3698, 0.4399, 0.4146, 0.5211, 0.6025, 0.6501, 0.6234]","[0.0999, 0.1407, 0.1939, 0.2229, 0.4473, 0.5655, 0.5376, 0.5458, 0.5787, 0.6303]","[0.0115, 0.0128, 0.028, 0.0741, 0.0065, -0.0009, 0.2647, 0.2979, 0.3906, 0.6398]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
实时阻塞价,congestion_price_rt,52,0.6331649398773913,-0.00045804533374060874,1.1102230246251565e-16,0.01640840005633546,10,8,0,2,42,36,0.39267058079918365,0.0,"[-0.02156187550344356, 0.0013947207907934185]",0.4234740082512872,True,207.8,"[0.4266, 0.4157, 0.4516, 0.4586, 0.555, 0.5787, 0.6327, 0.6402, 0.6047, 0.6421]","[0.4266, 0.4157, 0.4516, 0.4916, 0.5731, 0.5754, 0.5371, 0.5545, 0.568, 0.6122]","[0.4266, 0.4629, 0.4734, 0.4944, 0.5704, 0.6357, 0.6178, 0.601, 0.6083, 0.6109]","[-0.0009, 0.0654, 0.0829, 0.0824, 0.2059, 0.2233, 0.2789, 0.2983, 0.2772, 0.61]","[0.4266, 0.4157, 0.4516, 0.4152, 0.5011, 0.5006, 0.5804, 0.5868, 0.5586, 0.6003]","[0.4266, 0.4629, 0.4611, 0.5725, 0.5844, 0.6252, 0.6429, 0.6228, 0.6022, 0.6281]","[0.4266, 0.4138, 0.4003, 0.4148, 0.3676, 0.4587, 0.4246, 0.4928, 0.6048, 0.5978]","[0.0692, 0.0722, 0.0821, 0.0767, 0.093, 0.1846, 0.2134, 0.2242, 0.2346, 0.6254]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
日前边际损耗价,marginal_loss_price_da,52,0.8671942649786932,-0.0032929557685472677,-1.1102230246251565e-16,0.012152433477254929,28,20,0,8,24,32,0.7489726918204204,0.0,"[-0.012298239966225567, 0.0024475126986338355]",0.25001496146702157,True,287.9,"[0.6384, 0.6542, 0.6517, 0.6977, 0.7297, 0.7582, 0.8246, 0.8467, 0.8702, 0.8654]","[0.6384, 0.6428, 0.696, 0.7746, 0.7896, 0.7978, 0.8101, 0.829, 0.8079, 0.8619]","[0.6384, 0.6831, 0.7051, 0.8222, 0.8535, 0.8406, 0.8422, 0.8217, 0.834, 0.8667]","[0.0248, 0.0733, 0.1524, 0.2242, 0.2431, 0.45, 0.5853, 0.6974, 0.7544, 0.8543]","[0.6384, 0.6542, 0.6811, 0.6962, 0.7275, 0.7369, 0.8049, 0.8248, 0.8349, 0.8622]","[0.6384, 0.6836, 0.7433, 0.8147, 0.8655, 0.8571, 0.8627, 0.8718, 0.8733, 0.8644]","[0.1879, 0.687, 0.7245, 0.7793, 0.8214, 0.819, 0.8709, 0.8604, 0.8598, 0.8741]","[0.0096, 0.03, 0.0523, 0.1795, 0.2091, 0.3563, 0.3565, 0.5912, 0.6239, 0.845]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
日前总电价,total_lmp_da,52,0.9871416859945866,-0.00027521719104028897,-2.220446049250313e-16,0.012382747918912173,21,18,0,3,31,33,0.7730375843615346,0.0,"[-0.013698038461621483, 0.0007877946988278347]",0.31393240558082947,True,250.0,"[0.9853, 0.9865, 0.9868, 0.9863, 0.9885, 0.9896, 0.9934, 0.9931, 0.9931, 0.9934]","[0.9853, 0.9854, 0.9856, 0.9878, 0.9893, 0.9901, 0.9915, 0.9916, 0.9917, 0.9932]","[0.9853, 0.9865, 0.9865, 0.9883, 0.99, 0.9882, 0.9918, 0.9907, 0.9912, 0.9925]","[0.0484, 0.1357, 0.1282, 0.138, 0.1901, 0.4401, 0.5911, 0.8556, 0.8568, 0.991]","[0.9853, 0.9865, 0.9876, 0.9866, 0.9875, 0.99, 0.9914, 0.9918, 0.9936, 0.9924]","[0.9853, 0.9873, 0.988, 0.9896, 0.991, 0.9913, 0.9916, 0.9929, 0.9933, 0.9938]","[0.9853, 0.9865, 0.9885, 0.989, 0.9913, 0.9918, 0.9923, 0.9921, 0.9915, 0.9934]","[0.0192, 0.066, 0.2068, 0.3282, 0.3796, 0.5106, 0.7367, 0.7503, 0.8197, 0.9935]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 52]"
