字段,净实际交换功率,净计划交换功率,实时阻塞价,总发电量,总实际交换功率,日前30分钟备用总量,日前主用备用总量,日前总电价,日前边际损耗价,日前阻塞价,网损,计量负荷
da_as_as_mw_primary_reserve,0.01432011787317394,0.01504087077688286,0.00853613312707565,0.004636761992697017,-3.476571793783632e-05,0.027914211206809147,0.2529307046229962,-0.0043391859208197015,-0.0015314740989635519,0.007151879577167286,0.00295848716235019,0.0010112813044817915
da_as_as_mw_synchronized_reserve,0.018545689246277405,0.01614865068433398,0.005797523184631816,0.003915619032030636,0.003610050290602572,0.012360696459959098,0.08157474112447667,0.0001525044702495766,0.002086544597111113,0.008554650545747671,0.005726751436389904,0.0042972513035447885
da_as_as_mw_thirty_minutes_reserve,0.034545758547315286,0.03413294662691775,0.01685472474279695,0.0010063677661003218,0.017167275841218483,0.2998009253000351,0.04683911670575693,0.04859006430707661,0.029131287833564265,-0.0011564648555130528,0.025625012987853812,0.015435241809283982
da_as_as_req_mw_primary_reserve,0.02984452762494647,0.026709097979299566,0.014470309420550852,0.011617596318092317,0.004292007188321994,0.0239970435965495,0.06256239919026259,0.005106825371142116,0.00568372047267153,0.017966997983092644,0.014797988126300761,0.010044543580771009
da_as_as_req_mw_synchronized_reserve,0.02959410629726174,0.026122821043551885,0.0079408717572957,0.012942589389535308,0.004294306711118389,0.019767229904333137,0.06383057990093108,0.0009255148110222837,0.004214377871331863,0.019000784322927282,0.014429250877703663,0.008704686474457098
da_as_as_req_mw_thirty_minutes_reserve,0.03769638684714349,0.03665519573816722,0.0010165027251930433,0.019448329658556217,0.009818859524910137,0.02918627867956549,0.06856986110796405,0.012056313778266143,0.01429893399972928,0.017112569690429333,0.020101812188764803,0.018920178275870274
da_as_mcp_primary_reserve,0.008316328662580077,0.006839723940989899,0.009951204017144989,0.010711333866973441,0.005390065522369935,0.023671761448437828,0.013285060942617163,0.06277869893053058,0.026696146862919334,0.006877903897447485,0.005583310996784227,0.013277397650731495
da_as_mcp_synchronized_reserve,0.0033823425536340184,0.0019812982776210688,0.013099995414671013,-0.0057820939362799514,0.0017448383650471258,0.019806945263669263,-0.0028481603450401225,0.0687845179212313,0.04060861915608165,0.008524279158569901,-0.0011003219944987826,-0.003366376839510044
da_as_nsr_mw_primary_reserve,0.0019745413314918147,0.00369646277584064,0.005510551931485461,0.008620147471537214,0.0034800180802887735,0.01674577581326854,0.17325351811735634,0.003276251975472072,0.0038320237842787573,0.002401114776840534,0.0087217052289203,0.006989163320404454
da_as_ss_mw_primary_reserve,0.0031807003727049856,0.004139240391227563,-0.004676256212704151,0.0025525836102712933,0.0061365362241106785,0.005538920002960846,0.002773312184490872,0.004807803529305581,0.0064184282447204075,0.009789446397352209,0.005812918779389413,0.004705357665998565
da_as_ss_mw_synchronized_reserve,0.0017618739543590772,0.0041093899146028325,-0.002297966064612716,0.005466781957203767,0.0038162081392785,0.004290321295182725,0.00417612460840636,0.003981343514512899,0.006720781487854762,0.005923394674755073,0.004822180016525181,0.006239058140060349
da_as_ss_mw_thirty_minutes_reserve,0.0017610109457162257,0.00252256432892329,-0.0057259895641296864,0.0035156742802629234,0.004371997518022891,0.0035030857237445543,-0.0011543509318138394,0.0022304276041971846,0.003432279653253327,0.007185781549960787,0.005216236079060337,0.00243505525210659
da_as_total_mw_synchronized_reserve,0.014409655640088982,0.016925176043063136,-0.0059264095937403335,0.003214672192997119,0.0006637980818132118,0.012825242404958453,0.0818940091382694,0.003269793538380807,0.002738967250713247,0.00832610495022106,0.0030967255082602185,0.001718510027501648
forecast_load_mw_latest_available,0.017660484828397858,0.01644551646106685,0.008874271841051867,0.10845588897402961,0.023092396817972836,0.0288302959540931,0.015934879954239613,0.04334994628139545,0.03470456902639414,0.02026832310578837,0.06052268170876429,0.10616103909235601
gen_fuel_coal_mw,0.044734095806243636,0.03954243530596273,0.014645183725776457,0.06552323059002876,0.017852880768839948,0.018733276920239475,0.00820500855395401,0.03069055284643902,0.031268945185272776,0.0191970526544898,0.0666848746151133,0.06138313854740238
gen_fuel_coal_pct,0.04771735680766792,0.04607286694048226,0.019517507409983086,0.03687468919542515,0.02153724977273444,0.020483137763497486,0.007546945377589421,0.010893084711695011,0.020206538954167134,0.02296029455711282,0.06299643947236569,0.03398005999136347
gen_fuel_gas_mw,0.034693774918451416,0.03102194069143325,0.006834445637865218,0.07962301402155542,0.01809311708543427,0.03160051243921106,0.01919799091624789,0.015007237267232982,0.0177820082137331,0.014922586113374194,0.03427966280782723,0.06857293784957985
gen_fuel_gas_pct,0.021013538466762592,0.018034134160183436,0.003945506985854222,0.01827342537459628,0.01548350645218508,0.014625611148735198,0.006480242377590384,0.008415542981416264,0.022886731718368268,0.014721459357520256,0.029592419199016114,0.016104294544694097
gen_fuel_hydro_mw,0.006653114420514257,0.007608799550503923,0.001994530019721213,0.020420072131294764,0.01042071960959729,0.01125193538693789,0.010735980561527733,0.017287615948151282,0.014372646392981825,0.012944078508776217,0.007468563188094891,0.01991285388602679
gen_fuel_hydro_pct,0.0048347859581941285,0.004809651672957483,0.006761234250400497,0.005529544235680439,0.009958140917044011,0.010275984003701284,0.007454153311414177,0.007324215579046406,0.006529560551774187,0.012412116772392527,0.004470343104437262,0.006177142701582972
gen_fuel_multiple_fuels_mw,0.02329386047154098,0.022483177369216664,0.021138647526072665,0.01546333540917327,0.01690898928475558,0.023474976846241447,0.0074369437643871964,0.01196928223034001,0.011075669785973189,0.0077149917429796995,0.01684622803922809,0.02237794827720899
gen_fuel_multiple_fuels_pct,0.03235334530694347,0.02981882235866777,0.011982180878938209,0.004226824474004269,0.013591854687223239,0.027478422312341638,0.009741580254851605,0.0038866921680091203,0.009452216140141318,0.01841032439878752,0.012831976248174833,0.0029538348083902356
gen_fuel_nuclear_mw,0.0469054090882742,0.047117486036993735,0.008666464296979785,0.035587427012733416,0.03049718791583287,0.047769216549588954,0.014946765367009424,0.0039002208035834656,0.024562915776247474,0.030170482928442006,0.05772024970494624,0.026876378709382923
gen_fuel_nuclear_pct,0.02014714061455315,0.022630355603764515,0.011237559941768786,0.07774252383396077,0.00732465829504943,0.011949909742304081,0.0011945669029496987,0.02285991443924312,0.014388545844400058,0.005360370065539755,0.024516390164313357,0.06931188766748664
gen_fuel_oil_mw,0.013685563815812964,0.010515561407108496,0.010274582291181292,0.048845098629380856,0.010193431549624231,0.02746599187956559,0.012495703343466504,0.07022736732784707,0.05787195645516979,0.01988098563171598,0.02386653316788334,0.051308083411145546
gen_fuel_oil_pct,0.004516941928761613,0.004648873383504247,0.014925830840280594,0.01678969794381398,0.005971047437942886,0.011801339426227896,-0.002846995465556286,0.04652098317136167,0.03775219885652451,0.013115223509154521,0.0068322756451300115,0.017733262000484466
gen_fuel_other_renewables_mw,0.041292073737095446,0.042633882980367875,0.016534012339315417,0.026804705034981523,0.026979370134908164,0.027276252505399255,0.01809153709673961,0.02310094414197681,0.025604482714736396,0.03059896440945238,0.03616501954258973,0.02587789156319452
gen_fuel_other_renewables_pct,0.012050316794159978,0.01373494209194584,0.013579429108494724,0.04133035376921157,0.012225863880450119,0.008575697079719228,0.005612840992598806,0.011865099199172956,0.01774731698012797,0.006270149397584302,0.019003332889260902,0.03942593681256274
gen_fuel_solar_mw,0.01639887437720262,0.012854449993076793,-0.0004895071687862967,0.018818897313011444,0.020733725197169012,0.014518996569337155,0.011780306264986808,0.014202062858217922,0.013201977546905195,0.014619184175746702,0.0181073665022851,0.020342737094879035
gen_fuel_solar_pct,-0.0017079574089199864,-0.001907437008817607,-0.006846281745831353,-0.004293748199643059,0.01293789049873306,-0.005078656716611718,-0.008605992997765634,-0.00786190065877193,-0.004477736228656468,0.005697414046057664,0.003944550445693081,-0.003007117857373085
gen_fuel_storage_mw,-0.0019105092155298684,-0.00032794675126275857,0.007873478458569104,-0.0050851101033783895,0.003175922071685952,0.0005230290760330786,-0.0072817265598656596,0.005657114030145262,0.0025165265085711924,0.0031211954513860342,-0.0019465393630714637,-0.0022858600508508056
