方法,k=1,k=2,k=3,k=5,k=8,k=12,k=18,k=25,k=35,k=52,达到全量九成所需的k
本方法贡献值,0.6403916666666666,0.6832833333333334,0.7327916666666665,0.7795333333333333,0.847875,0.85895,0.8844,0.8994416666666667,0.8996833333333334,0.8972666666666668,8.0
通道A门控值,0.6236833333333333,0.6851500000000001,0.7292833333333334,0.8057583333333334,0.846625,0.87295,0.8805416666666668,0.8827416666666666,0.8817833333333334,0.8964916666666668,8.0
分解式门控,0.5494416666666666,0.659925,0.7557416666666666,0.8387166666666667,0.88275,0.8960916666666666,0.8986500000000001,0.885125,0.8845,0.8985083333333335,4.0
随机门控,0.029974999999999998,0.07890000000000001,0.1272416666666667,0.19389166666666668,0.2933,0.41968333333333335,0.5500083333333333,0.6611999999999999,0.7138249999999999,0.896575,52.0
两两相关性,0.643675,0.7028500000000001,0.7268916666666666,0.7757999999999999,0.8032583333333333,0.8307416666666668,0.8627000000000001,0.8703583333333333,0.8896583333333333,0.8947916666666668,6.5
置换重要性,0.6416499999999999,0.6997666666666668,0.7487916666666666,0.8125916666666667,0.8514333333333334,0.8623500000000001,0.8836750000000001,0.8932583333333334,0.8997416666666668,0.8980916666666667,5.0
Lasso系数,0.5227083333333333,0.6923750000000001,0.7260666666666666,0.7894833333333334,0.848475,0.8693916666666667,0.8744749999999999,0.8815166666666668,0.8921916666666667,0.8969,5.0
本方法·最低的k个,0.039891666666666666,0.059625000000000004,0.1154,0.18383333333333332,0.24104166666666668,0.34147500000000003,0.4748666666666666,0.6174166666666667,0.6964916666666667,0.8965250000000001,52.0
