total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8659655,0.9649557,0.69533443,0.73404,0.81730753,0.9264188,0.78487736,0.7713405,0.718419,1.085295,0.71509933,0.691948,0.81514454,0.6943194,0.9469396,0.7593449,0.72793853,0.70753217,0.76971614,1.0720981,0.72676533,0.6512801,0.70672804,0.88459617,0.9407601,0.85002846,0.80042833,0.7472274,0.81729645,0.8353112,0.9835154,0.65710723,0.6717453,0.8978029,0.6706635,1.0523238,1.0538205,0.7139827,0.668356,0.69832885,0.69539803,0.68793225,1.0878339,0.7111126,0.71442366,0.90809804,1.1259129,0.8677212,1.0184598,0.93342155,0.9627314,0.6946898,0.7077101,0.70412004,0.8047182,0.71000355,0.7387731
0.6702134,0.87924826,0.46378723,0.51335746,0.6736112,0.812923,0.609417,0.60271597,0.5173984,1.0459352,0.5127149,0.45911524,0.6243186,0.47727755,0.8195002,0.5540317,0.552981,0.47024068,0.62904376,1.0180447,0.51969635,0.4137119,0.48311633,0.7428043,0.84561825,0.72855484,0.7117395,0.51334137,0.6217583,0.707309,0.8144313,0.42533562,0.4351574,0.72883046,0.44453076,1.0234162,1.0616683,0.5216533,0.44662952,0.47217092,0.47043294,0.47668406,1.0393977,0.50830746,0.49573538,0.7939156,1.118029,0.77552986,0.98155284,0.7943365,0.9203465,0.4595019,0.51107186,0.48703673,0.60688376,0.5703195,0.58026963
0.49417198,0.7972603,0.29583886,0.347948,0.5369421,0.6821876,0.4679634,0.462863,0.3610738,0.98194265,0.36086953,0.29655898,0.4740157,0.31517798,0.7024368,0.38659143,0.401259,0.3032496,0.5188574,0.92457587,0.36707568,0.25247908,0.3135574,0.60687107,0.7621678,0.62573165,0.59113824,0.34158295,0.45894542,0.5852389,0.68201566,0.27138743,0.27675164,0.5827277,0.29001698,0.96834445,1.0399479,0.36558327,0.2881648,0.3109723,0.3129609,0.32971793,0.9722113,0.35470912,0.33738562,0.7144169,1.0930316,0.6556322,0.9376643,0.6446627,0.8217848,0.30410913,0.37159762,0.32714525,0.44993415,0.45035565,0.44585866
0.35750902,0.74452966,0.18390623,0.22275364,0.4311382,0.56294465,0.35708922,0.3575292,0.24899992,0.9389755,0.25749,0.18379442,0.3529495,0.20082128,0.6076195,0.2605212,0.28092766,0.18716682,0.42710102,0.8705014,0.26118234,0.14658356,0.19673432,0.47354993,0.6867186,0.5383143,0.4857446,0.2237669,0.33014533,0.47944638,0.5676432,0.16832243,0.16752775,0.4472367,0.18482195,0.9086965,1.0160916,0.24754006,0.17771877,0.19937375,0.2010668,0.22116467,0.92289543,0.23614812,0.22597998,0.6497014,1.081961,0.57026166,0.88253856,0.53834933,0.7623136,0.1994612,0.26903546,0.210523,0.35391945,0.38668028,0.35277474
0.25882006,0.68169093,0.109571524,0.13762301,0.34078407,0.4597404,0.26799092,0.27874812,0.16977537,0.88824457,0.18763341,0.109789416,0.25513238,0.12507503,0.51573247,0.1740549,0.19992678,0.11077227,0.35967276,0.8031284,0.19047324,0.08160452,0.11854584,0.3678045,0.61349374,0.4567041,0.4255821,0.1422564,0.2358093,0.38609022,0.47982717,0.1027745,0.097705044,0.34063125,0.11389587,0.8583093,0.9914911,0.16025272,0.10509707,0.12383706,0.12589885,0.14842382,0.8716786,0.15379015,0.14747354,0.59822404,1.0472958,0.47743547,0.83181083,0.445991,0.6985854,0.12737636,0.19864763,0.13103381,0.26563603,0.3207275,0.27363878
0.18016554,0.6303381,0.063206695,0.081701085,0.26771075,0.3647787,0.20344155,0.21359988,0.11292001,0.83215076,0.13678792,0.06298717,0.17624313,0.074626386,0.44518694,0.11578157,0.14389367,0.063081324,0.2972609,0.7232819,0.13705008,0.043019336,0.06877035,0.27469993,0.5426088,0.38765758,0.35498914,0.08703191,0.16040567,0.30910775,0.40040013,0.059792645,0.05397615,0.25301182,0.067800455,0.80766886,0.97672755,0.09952839,0.059243146,0.07309736,0.076942846,0.09702343,0.8228445,0.09518525,0.095493644,0.55433464,1.0260389,0.41319624,0.74740434,0.35763937,0.63485503,0.080112845,0.15117623,0.0770098,0.19720693,0.27804932,0.2154287
0.1196003,0.59816825,0.034263425,0.045638435,0.20958911,0.28586915,0.15186615,0.16594627,0.07228874,0.78710926,0.10036435,0.034207698,0.119598,0.04254369,0.3885724,0.07452713,0.09948228,0.033907626,0.2408342,0.64822197,0.09553024,0.021273721,0.037870537,0.19953434,0.48382282,0.3299315,0.29505843,0.050507452,0.105239205,0.26734516,0.34193093,0.03404119,0.028700585,0.18843165,0.03807706,0.75453603,0.9400884,0.059062295,0.0315727,0.041525435,0.04469821,0.06292177,0.7773075,0.057145465,0.061383884,0.5261489,1.0136771,0.35904673,0.6997781,0.2894576,0.589397,0.047861174,0.11911407,0.043210037,0.1514343,0.25449067,0.17404251
0.078921966,0.5588318,0.017301641,0.024118384,0.15971105,0.22433859,0.11241064,0.12574862,0.04593589,0.73174506,0.07010513,0.01751004,0.07818047,0.022822356,0.33128932,0.047320507,0.06483232,0.017246988,0.1981573,0.5736699,0.067765154,0.009815385,0.019736946,0.14049271,0.4241979,0.27367002,0.24727635,0.028163653,0.06668762,0.22839004,0.29284486,0.018029714,0.014275525,0.14373979,0.020341508,0.7142083,0.926631,0.033498242,0.015867084,0.022365417,0.024941145,0.038204715,0.7450836,0.032710772,0.03822907,0.48748606,0.98962677,0.31052765,0.640543,0.23157366,0.5438313,0.02674404,0.098589934,0.022822222,0.1114355,0.22218336,0.13594002
0.049712647,0.5302868,0.007921512,0.012036239,0.121522635,0.17611426,0.08239511,0.09390775,0.027785316,0.69157577,0.04673271,0.008413533,0.049864735,0.011340836,0.28809077,0.0289219,0.041167073,0.008256795,0.15858476,0.5077565,0.04445207,0.004201446,0.00955036,0.098620586,0.38062343,0.23211943,0.2023582,0.014585824,0.040109333,0.18208972,0.25335675,0.008865656,0.0066180434,0.10590426,0.01010059,0.6639283,0.8958069,0.017961409,0.0074483436,0.01140996,0.012978398,0.022519816,0.7138369,0.017855413,0.022756461,0.4693689,0.97417647,0.26566547,0.5752276,0.18461536,0.48073012,0.013608355,0.08794527,0.01119897,0.07972489,0.20338288,0.10526576
