area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7072749,0.7081045,0.69237924,0.6730832,0.6869718,1.1263782,0.67324483,0.7321997,0.7478742,0.6685527,0.6823899,0.6854612,0.70625186,0.64100295,0.70525414,1.0404669,0.6510777,0.68399405,0.70665437,0.84378153,0.6642228,0.69979316,0.7108687,0.65040565,0.64989835,0.6471793,0.6442981,0.789027,0.71107286,0.8937306,0.99361175,0.9491232,0.6502208,0.79374164,0.67397803,0.6788962,0.9434587,0.68320704,0.68454486,0.6500677,0.6766251,0.6646782
0.4810828,0.5055907,0.47989008,0.44281468,0.43849608,1.0816581,0.45750174,0.5548527,0.5281254,0.43827447,0.4590119,0.47369888,0.48879385,0.41854948,0.47064433,0.99149376,0.40288827,0.46322605,0.4455558,0.62849563,0.4269138,0.4618678,0.45189664,0.41807848,0.4290733,0.42646182,0.41153866,0.573727,0.46834737,0.7442104,0.88683975,0.9105446,0.41871375,0.58672297,0.45234725,0.44593945,0.7459019,0.4621512,0.47111696,0.4088457,0.4435951,0.42009097
0.32358095,0.34135565,0.3169849,0.2796646,0.26723602,0.9795555,0.30236143,0.41059044,0.36218184,0.2706735,0.2815981,0.30752996,0.325247,0.26862797,0.3106818,0.9042436,0.24056885,0.3035744,0.26674846,0.46328238,0.263066,0.29073092,0.2783112,0.24995431,0.27439037,0.27047247,0.24972257,0.3971063,0.29445502,0.69685525,0.76902324,0.79791826,0.26424614,0.41773143,0.2979368,0.27643546,0.57433546,0.29732478,0.30393228,0.25207642,0.2861789,0.2564016
0.21151064,0.21685067,0.19956915,0.16880254,0.15518501,0.85138696,0.1913363,0.2919248,0.2392765,0.16166453,0.16969402,0.1912786,0.20717004,0.16672544,0.19897215,0.7883309,0.13756107,0.18716267,0.15596896,0.33490914,0.1552596,0.17605887,0.16735592,0.14134537,0.1694141,0.16428927,0.14524148,0.26469275,0.1778267,0.5819285,0.6641566,0.6747345,0.15995452,0.2908912,0.18997401,0.16218726,0.4269552,0.18373483,0.18668135,0.14866893,0.17685257,0.15067913
0.13277897,0.13167436,0.120411135,0.09725702,0.08529033,0.7359932,0.11575424,0.20018275,0.15226315,0.09290355,0.0988439,0.11435344,0.12670825,0.098544404,0.121818624,0.68122274,0.07479452,0.110401966,0.087005414,0.23453721,0.08720409,0.101981096,0.09626869,0.0761214,0.100553095,0.09518739,0.08051987,0.17050648,0.1028769,0.48935983,0.5649328,0.57019866,0.092025675,0.19546326,0.11574992,0.09108969,0.30740336,0.10755637,0.10965405,0.08405618,0.10514732,0.084514976
0.07963997,0.07606541,0.069422595,0.0532074,0.044511016,0.6368887,0.06680449,0.13201548,0.093428284,0.051033866,0.05561322,0.06529416,0.07427191,0.05534225,0.07108138,0.58690196,0.03851695,0.062032953,0.046060875,0.15846711,0.04648794,0.0561708,0.0527574,0.03884919,0.057120733,0.052350882,0.04225045,0.10582869,0.05683721,0.40858454,0.48333216,0.48053408,0.05017132,0.12654082,0.06746222,0.04860766,0.21440443,0.059845988,0.061325416,0.045201164,0.059578005,0.044985045
0.045567315,0.041574784,0.03812225,0.027531099,0.021913463,0.5511967,0.036601458,0.08367457,0.05533171,0.026956672,0.030763503,0.035424348,0.041496724,0.029447593,0.039449424,0.5036932,0.018653765,0.033043526,0.023021663,0.1030974,0.023436533,0.029360542,0.027377121,0.01866223,0.03080439,0.02716797,0.020873753,0.0628337,0.029817369,0.3440997,0.41282544,0.40560776,0.025874909,0.078985,0.037408736,0.024536014,0.14467835,0.031547017,0.0325302,0.02298056,0.032045566,0.022589827
0.02475037,0.02137613,0.019841148,0.013402315,0.010099405,0.47820446,0.018952578,0.050865315,0.0320423,0.013864117,0.017151052,0.018203184,0.021994794,0.014783974,0.02074578,0.4319051,0.008442197,0.016638303,0.010793153,0.06452001,0.011134198,0.014466989,0.013366477,0.008375697,0.015700929,0.013204129,0.009675136,0.035584364,0.014746219,0.293226,0.35199267,0.34102467,0.012562914,0.047359746,0.019663036,0.011675628,0.094383754,0.0156643,0.01632073,0.01097065,0.016276756,0.010653172
0.012719721,0.010293505,0.009747269,0.0061038826,0.0043320004,0.4167731,0.009233243,0.029602557,0.01900382,0.0070948917,0.010224637,0.00887891,0.011008896,0.006966118,0.010290713,0.37066692,0.0035455036,0.007905191,0.004725081,0.038804326,0.005007708,0.0066852146,0.006128484,0.0034860552,0.007565469,0.005970514,0.00422857,0.019205688,0.006836834,0.25356317,0.30041784,0.28769585,0.0057330043,0.027494853,0.0097211925,0.005254706,0.05955182,0.007287884,0.0077141477,0.004894184,0.0077718,0.004694556
