area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6976038,0.73182374,0.6696287,0.70967674,0.68330324,0.63610744,0.67386913,0.7104801,0.67550975,0.9497181,0.7073089,0.6829718,0.678407,0.6465173,0.6895122,0.7388356,0.70050055,0.73083466,0.8030856,0.9539262,1.056688,0.8825496,0.71458244,0.6902223,0.67811745,1.1303399,0.8915051,0.68282145,0.73663545,0.78537077,0.70323706,0.6831876,0.6532765,0.7312882,0.64295226,0.6624896,0.8951949,0.88724333,0.6932517,0.6769011,0.67628,0.67190814,0.6820636
0.48615095,0.57033366,0.44492427,0.5113671,0.47425368,0.40295887,0.4586073,0.517747,0.47282863,0.76608485,0.50658023,0.47911415,0.46271452,0.4157332,0.50898516,0.5630294,0.47937948,0.5426207,0.6508862,0.78591996,0.8667172,0.7440135,0.512339,0.48822716,0.45516244,1.0484784,0.6814467,0.5110152,0.5832286,0.62531704,0.4813072,0.45989424,0.43095767,0.5676596,0.4385378,0.45162007,0.75507504,0.71050245,0.47170028,0.44424453,0.43724063,0.45068648,0.48619187
0.3341817,0.44381264,0.30003846,0.35944137,0.34067285,0.24353783,0.29977047,0.3768169,0.3252892,0.6170545,0.3557444,0.3386337,0.30900535,0.26426566,0.39228946,0.42775178,0.33094308,0.4232295,0.548757,0.63940185,0.69441783,0.6204639,0.3728045,0.34405345,0.32598168,0.9366262,0.5037676,0.3935363,0.44384313,0.51261127,0.32402396,0.29223645,0.27365494,0.45824522,0.30180556,0.296052,0.60799235,0.5675374,0.31558686,0.28741246,0.27538878,0.29670787,0.32907367
0.23118165,0.34001875,0.20360613,0.24390544,0.2542623,0.14246295,0.19599232,0.27808985,0.22338577,0.496759,0.2515358,0.23202568,0.1987638,0.1626088,0.3218919,0.32915005,0.23848036,0.33036396,0.46487874,0.52097505,0.5642428,0.53123254,0.27660486,0.23835166,0.24430272,0.85098946,0.3688373,0.30609939,0.33397427,0.4266218,0.21199782,0.18662989,0.1648693,0.39364445,0.22537655,0.19054636,0.49560192,0.4624111,0.21101463,0.18718116,0.16840203,0.19081411,0.21598934
0.16329841,0.2614162,0.13731761,0.16344132,0.19860038,0.07980237,0.1239063,0.19943312,0.14657237,0.4020956,0.18250737,0.15936743,0.12699571,0.09526078,0.2630506,0.25036913,0.17605293,0.27359277,0.4042259,0.42442283,0.46311772,0.45266396,0.20332648,0.17266104,0.18254834,0.77422124,0.2656628,0.24735223,0.24592753,0.3613218,0.1345276,0.118573144,0.09752145,0.34853557,0.18427265,0.12200015,0.41696867,0.37693194,0.13900824,0.11830614,0.09910787,0.11942732,0.13645692
0.11322667,0.1961435,0.09348927,0.104954734,0.15585981,0.042444237,0.07940939,0.14192529,0.09429113,0.33473793,0.12905265,0.10520816,0.07768796,0.053807613,0.2282099,0.19192603,0.13357542,0.22555321,0.3556177,0.34040952,0.38037094,0.39598003,0.15632823,0.1229169,0.14602718,0.7134202,0.18931961,0.20068862,0.19084358,0.31044102,0.08313464,0.07313652,0.054604966,0.31470618,0.16658303,0.07514203,0.3459251,0.31037444,0.09297432,0.075142875,0.05580683,0.07174987,0.084708676
0.07809574,0.14563759,0.06266025,0.066223405,0.12327482,0.021420637,0.04922712,0.09874847,0.059005037,0.28688517,0.088265814,0.067906514,0.046573933,0.029030085,0.20240235,0.14481966,0.10863356,0.1933203,0.30958655,0.28013676,0.32013518,0.34691805,0.12091501,0.08942629,0.11333325,0.65781677,0.13438764,0.16419183,0.14751758,0.27299455,0.048457295,0.043611992,0.029547056,0.27785054,0.17889307,0.045093853,0.29824466,0.25953865,0.06162896,0.046710834,0.029686721,0.041807823,0.049062014
0.05207073,0.105706975,0.03950262,0.039672863,0.09774252,0.010066401,0.029265301,0.066058435,0.035032295,0.25219452,0.059149362,0.042371724,0.026172733,0.014640656,0.18474084,0.10800718,0.08459515,0.17055872,0.27777874,0.23371898,0.2716716,0.30344102,0.09570532,0.06545007,0.0934761,0.6081519,0.09291173,0.1355393,0.114940435,0.24441929,0.027142817,0.024526661,0.014960547,0.24442838,0.19951603,0.026536444,0.259476,0.21849884,0.038316067,0.027125314,0.014914071,0.023162032,0.027459245
0.03423007,0.07380595,0.023287946,0.022854907,0.07767177,0.004421431,0.016056973,0.043080762,0.020022992,0.22072583,0.037661117,0.024717575,0.01420861,0.0069426415,0.16676949,0.07943992,0.063848644,0.15220481,0.24644434,0.19185424,0.23444201,0.26979914,0.078574695,0.047261264,0.07924391,0.56773347,0.06250622,0.11227694,0.09121397,0.22252703,0.0143542895,0.013016693,0.0071315723,0.21802719,0.22155832,0.014814082,0.22505955,0.18576705,0.02211453,0.015083361,0.0069818413,0.012466741,0.014625827
0.02184722,0.051219378,0.012794263,0.012617699,0.061836272,0.0017937362,0.008199724,0.02704273,0.010747483,0.20527399,0.02370324,0.014076746,0.0072159716,0.0030857762,0.15239656,0.05760136,0.045109805,0.13582619,0.2233865,0.15826984,0.2066677,0.24078754,0.06715462,0.033269133,0.06969634,0.53327376,0.041353855,0.09385781,0.0743666,0.20173764,0.0071189087,0.0064286604,0.0031837174,0.19667888,0.23755185,0.007778576,0.19984493,0.16008517,0.011821801,0.00801111,0.0030332187,0.006417487,0.0073302835
0.013486381,0.0344573,0.0064682066,0.006569455,0.049237963,0.0006665102,0.0038782374,0.016277863,0.0054692463,0.19260515,0.014592691,0.0077830153,0.0034363153,0.00127434,0.13496448,0.040640064,0.03041857,0.12658171,0.20223804,0.13049874,0.18024029,0.21513292,0.060624946,0.023589162,0.06260347,0.50052315,0.026202708,0.078718714,0.059943207,0.18485288,0.003308256,0.0029555918,0.0013171328,0.17121713,0.24986179,0.0039050009,0.17615297,0.13626303,0.005821039,0.0038710097,0.0012182519,0.0030681929,0.0034538356
0.007878396,0.022473263,0.0030128572,0.0032433462,0.038462684,0.00022574062,0.0016924905,0.009427058,0.0026207971,0.1788212,0.008649834,0.0040793666,0.0015191123,0.0004850629,0.11939562,0.02842784,0.019928576,0.11504466,0.18341324,0.107006446,0.15818295,0.19420497,0.05287218,0.015783409,0.055571098,0.4725515,0.016164254,0.06568664,0.050175454,0.17647642,0.0014281918,0.0012644625,0.0005024851,0.14995562,0.25275376,0.0017768629,0.15514123,0.11523157,0.002628524,0.0017097954,0.0004462506,0.0013446553,0.0015000224
