area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.023814514,0.007811407,0.002359957,0.0025609352,0.014236755,0.0021639392,0.050461862,0.0022832241,0.0026829666,0.058122337,0.09246268,0.01569863,0.053041443,0.036583763,0.023556218,0.0036596148,0.0032823426,0.02958538,0.019125989,0.009845019,0.013235513,0.014261655,0.06890537,0.0048648156,0.010118909,0.12631421,0.106451,0.092824385,0.3524161,0.09751141,0.003934707,0.1852454,0.1142194,0.05246297,0.051590323,0.06453153,0.11005335,0.02928131,0.010354804,0.16242328,0.0870077,0.043614995,0.00351419,0.0030290163,0.0027615048,0.002989306
0.017151345,0.003714357,0.0008605486,0.0009837215,0.008698695,0.00081224856,0.04526931,0.00087977445,0.0010537372,0.046337612,0.07406968,0.009836569,0.04687414,0.030465439,0.016885428,0.0015316384,0.001300487,0.022622557,0.01171781,0.005135361,0.007440407,0.007838029,0.05215197,0.002121393,0.005505308,0.11222465,0.09661661,0.082010165,0.31892326,0.08241278,0.0017086953,0.16359568,0.111860454,0.04911766,0.043406527,0.053107634,0.09838957,0.026022313,0.0067655114,0.14779226,0.06990409,0.038730387,0.0014605551,0.0012582754,0.0011259194,0.0012233423
0.0119710285,0.0016138512,0.00027952428,0.0003423457,0.00491938,0.00027649585,0.04368725,0.00030804917,0.00037732063,0.03757774,0.06412113,0.006027545,0.04253746,0.024688939,0.011660983,0.0005756123,0.00046653664,0.01743059,0.0067403857,0.0024351415,0.0039007433,0.0040707146,0.03911388,0.00085513736,0.0027093953,0.099732466,0.08640906,0.071056865,0.2890753,0.07373533,0.0006699629,0.1462208,0.10648968,0.046862785,0.036748096,0.041892733,0.088598184,0.0245416,0.00467573,0.13796605,0.059220623,0.03652636,0.0005495713,0.0004719633,0.0004124745,0.0004548739
0.008118108,0.0006444905,8.0091784e-05,0.000107759384,0.0025795712,8.5184256e-05,0.04011148,9.784929e-05,0.00012279866,0.030095529,0.056293827,0.0032874804,0.040181953,0.022448877,0.0080841305,0.0001948776,0.00015183473,0.012120025,0.0036131153,0.0010274017,0.0019336384,0.001977198,0.028667578,0.00031672837,0.001204709,0.08879345,0.07896027,0.06253281,0.2650913,0.06640319,0.00023787639,0.13108028,0.10276605,0.04449572,0.033115555,0.032230355,0.08213587,0.02383562,0.003144336,0.12937833,0.04910599,0.032415666,0.00017939115,0.00016020692,0.00013689164,0.00015289235
0.005230575,0.00023601537,2.039047e-05,3.053761e-05,0.0012324664,2.3605835e-05,0.03896625,2.803659e-05,3.6098405e-05,0.023694066,0.048969556,0.0015798754,0.038073815,0.020734012,0.0053187814,5.9321996e-05,4.4590834e-05,0.0082066925,0.0017873034,0.0003877786,0.00089359493,0.00090103655,0.020500757,0.00010732932,0.00048231054,0.08157669,0.07190965,0.058023144,0.24308555,0.06121853,7.6077944e-05,0.11961749,0.10022381,0.0420366,0.029538622,0.02417423,0.07354386,0.025641797,0.00211706,0.120513745,0.043211263,0.030145053,5.183617e-05,4.9023678e-05,4.062186e-05,4.6386012e-05
0.0031401843,7.903509e-05,4.5804713e-06,7.74061e-06,0.0005337666,5.8444443e-06,0.039055485,7.1975473e-06,9.532495e-06,0.018725734,0.04370075,0.00067629345,0.033902578,0.019253643,0.0032455898,1.6178248e-05,1.1753369e-05,0.0051639876,0.00080585934,0.0001308802,0.00038582104,0.00038498038,0.014322756,3.3047792e-05,0.00017332361,0.07430742,0.067200825,0.05231511,0.22519256,0.055831082,2.1880556e-05,0.1073169,0.09473746,0.039838035,0.026336802,0.01751795,0.06839586,0.029216882,0.0012527844,0.1136589,0.03801656,0.028457945,1.3288039e-05,1.3488035e-05,1.0843527e-05,1.2634987e-05
0.0017323552,2.4097508e-05,9.025445e-07,1.7427519e-06,0.00020985458,1.2827097e-06,0.03747045,1.6430918e-06,2.2438776e-06,0.014330107,0.040394988,0.00025386098,0.031950273,0.017463544,0.0017898252,3.9342285e-06,2.7618325e-06,0.0029442406,0.00033125083,3.9728882e-05,0.00015452638,0.00015313944,0.009721165,9.196781e-06,5.6105822e-05,0.06850904,0.06283699,0.048631966,0.2074905,0.05193809,5.63398e-06,0.09799779,0.09150974,0.03715971,0.022949398,0.012299301,0.06400766,0.036394782,0.0006560856,0.10786007,0.034505237,0.025517406,3.0118376e-06,3.3139588e-06,2.579655e-06,3.0716074e-06
0.0008804761,6.645252e-06,1.546851e-07,3.4560875e-07,7.5106494e-05,2.4744583e-07,0.035313234,3.308227e-07,4.6714456e-07,0.0107756425,0.03739129,8.455341e-05,0.028359553,0.01602672,0.0008693797,8.4752486e-07,5.737986e-07,0.0015276936,0.00012447924,1.08192835e-05,5.724409e-05,5.6495654e-05,0.006391322,2.2970244e-06,1.636126e-05,0.06370362,0.058892213,0.04430128,0.19590563,0.049259454,1.2912577e-06,0.091716975,0.08688482,0.03697197,0.021010106,0.008231444,0.058772,0.047250826,0.00026588968,0.10129743,0.03141747,0.022188455,6.0041344e-07,7.2237447e-07,5.4299824e-07,6.6182116e-07
0.00040708348,1.6461823e-06,2.2838837e-08,5.9823215e-08,2.4395315e-05,4.1562682e-08,0.034662314,5.8214738e-08,8.524105e-08,0.007706674,0.034700252,2.5218427e-05,0.025324596,0.01460028,0.00037805884,1.6043303e-07,1.0448683e-07,0.0007386202,4.2537693e-05,2.6358334e-06,1.952192e-05,1.919458e-05,0.004034609,5.1096777e-07,4.2825054e-06,0.058834907,0.054930992,0.041488245,0.18463159,0.045221675,2.6139452e-07,0.085810244,0.08504315,0.035185944,0.018988192,0.005318171,0.055208847,0.062181387,8.616155e-05,0.0936256,0.028874248,0.019695284,1.0446048e-07,1.3854081e-07,1.0028809e-07,1.2534068e-07
0.00017169911,3.6351986e-07,2.8731895e-09,8.948211e-09,7.1853974e-06,6.0168523e-09,0.03249164,8.865023e-09,1.3503067e-08,0.005224291,0.03305823,6.7586348e-06,0.021755831,0.012689782,0.00014563241,2.6443743e-08,1.6515235e-08,0.00032566366,1.3221536e-05,5.7078057e-07,6.0960006e-06,5.9752015e-06,0.0024528727,1.00387425e-07,1.0014401e-06,0.055138007,0.05164466,0.038750574,0.17212965,0.042197134,4.634108e-08,0.07960487,0.08146706,0.03333039,0.017728094,0.003259933,0.05069049,0.07690458,2.3297696e-05,0.08633124,0.026612584,0.016448984,1.570844e-08,2.3164525e-08,1.6096665e-08,2.067285e-08
6.646659e-05,7.09599e-08,3.0428932e-10,1.1440022e-09,1.9114132e-06,7.423667e-10,0.029258749,1.1556408e-09,1.8373659e-09,0.003338852,0.030759886,1.6221096e-06,0.018351866,0.010295228,5.0363244e-05,3.756667e-09,2.2419262e-09,0.00013210905,3.727596e-06,1.0903142e-07,1.7323013e-06,1.6932867e-06,0.001430939,1.7259321e-08,2.0777112e-07,0.05218562,0.04920075,0.037198976,0.16021495,0.038801152,7.12528e-09,0.07519936,0.07805965,0.032504167,0.015889676,0.0019174265,0.047671393,0.08528391,5.423528e-06,0.078775756,0.024413722,0.01292448,2.0198645e-09,3.3425736e-09,2.2218092e-09,2.9390506e-09
