area_3_load_actual_mw,area_1_load_day_ahead_mw,area_3_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r3_mw,area_1_fuel_natural_gas_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6553328,0.8391537,0.6420701,0.68912536,1.0191584,0.72937775,0.82520074,0.66718495,0.7335914,1.0341283,0.65741044,0.70398444,0.77306694,1.2134683,0.8259147,0.8847129,0.7658735,0.6947125,0.9808377,0.8490072,0.8627024,0.83563995,0.7215349,0.6718022,0.7108898,0.67119795,0.6903689,0.6674277
0.44523615,0.8066267,0.43019956,0.47440457,0.91644365,0.5198804,0.6376337,0.4861356,0.57342196,1.058561,0.44110197,0.5209689,0.69075876,1.1871434,0.808043,0.705288,0.5251707,0.48294252,0.8471566,0.6731645,0.6287868,0.66750526,0.5306799,0.47721028,0.5385014,0.47653294,0.4976075,0.48119664
0.28851855,0.7391331,0.278651,0.31916398,0.7858246,0.368819,0.48095697,0.3409722,0.4477199,1.0198194,0.29192537,0.36172983,0.5939341,1.1275076,0.76534617,0.561194,0.34127462,0.32091472,0.7151187,0.51990116,0.4285772,0.5012265,0.38312185,0.33000183,0.3809868,0.32782498,0.34116468,0.34426403
0.1757546,0.66746366,0.17205657,0.20580633,0.6645755,0.2534662,0.35233873,0.23287183,0.33944494,0.96217036,0.18415043,0.24120249,0.5206878,1.0678679,0.706272,0.43731204,0.21392854,0.2044768,0.58626217,0.38493365,0.2826349,0.35969228,0.27250075,0.21673994,0.2599989,0.21770884,0.22690803,0.23369135
0.10090845,0.5933721,0.1009894,0.12614232,0.55088633,0.1660073,0.25031444,0.15127678,0.24794641,0.8996182,0.10894157,0.15196174,0.44739127,1.0070604,0.64907587,0.33115348,0.12737496,0.12563202,0.46783292,0.27180374,0.17696944,0.24940944,0.18455403,0.13546401,0.16914369,0.13987963,0.14412653,0.15132867
0.054657683,0.5226795,0.056328844,0.074072346,0.4477892,0.10399891,0.17152934,0.094411224,0.17503922,0.8396228,0.061444063,0.09135396,0.38437897,0.95450926,0.5921356,0.24223267,0.072315685,0.07360294,0.36561906,0.18257746,0.10584623,0.1671985,0.12088778,0.0807162,0.10572802,0.08580896,0.088003896,0.093867116
0.02796595,0.45445666,0.029819854,0.041361522,0.3557956,0.062138796,0.11348671,0.056518648,0.119342454,0.78194463,0.032805394,0.052279197,0.32819742,0.9037033,0.53352404,0.17186806,0.03889504,0.040992238,0.279893,0.11739188,0.060069982,0.107521474,0.07561398,0.04589115,0.06384858,0.050189067,0.05144591,0.055909924
0.013464565,0.39081228,0.0149153685,0.021888465,0.2764423,0.035381313,0.072400145,0.03240546,0.07858866,0.7283863,0.016555518,0.02840486,0.2822545,0.8510111,0.4818932,0.117458336,0.019772157,0.021669872,0.20936023,0.07227041,0.03233086,0.06658106,0.045494787,0.024816245,0.03703983,0.02791807,0.028643975,0.03177911
0.0060612494,0.3304807,0.007008582,0.010921657,0.20928445,0.019123986,0.04456468,0.017673168,0.04985595,0.6764852,0.00785582,0.014600333,0.24345522,0.799913,0.43339515,0.07785548,0.009459156,0.010810797,0.1527879,0.04255751,0.016424188,0.03943778,0.026213689,0.012708959,0.020485425,0.014726657,0.0151407495,0.017160606
