epoch,train_loss,train_total_loss,train_r2,test_loss,test_r2
1,0.0023426435991371376,0.23559656797176798,0.9976573586463928,0.002021398569856447,0.9978773593902588
2,0.00039688220427814235,0.0007923228776231039,0.9996030926704407,0.0003810427165823456,0.9995998740196228
3,0.00021032300587669697,0.00029947234407621404,0.9997896552085876,0.00021222620576636847,0.9997771382331848
4,0.00011848374949552731,0.00016567434209868574,0.9998815059661865,0.00012421954770865316,0.9998695850372314
5,7.990415845173853e-05,0.00010093845048115459,0.9999200701713562,8.657972290315578e-05,0.9999091029167175
6,5.746814130507991e-05,7.282811553381861e-05,0.9999425411224365,6.289169003504709e-05,0.9999339580535889
7,5.351105900020325e-05,5.290792328393668e-05,0.9999464750289917,6.161744636535195e-05,0.9999352693557739
8,3.895161594778177e-05,4.1769343434767407e-05,0.9999610781669617,4.76266576921785e-05,0.9999499917030334
9,3.477942779472329e-05,3.4165661763441865e-05,0.9999651908874512,4.162473749199378e-05,0.9999563097953796
10,2.5853265950999766e-05,3.3801499535365604e-05,0.9999741315841675,3.2560834413693746e-05,0.9999657869338989
11,2.3956234651520957e-05,2.618879444447195e-05,0.9999760389328003,3.138618902055929e-05,0.9999670386314392
12,4.4772451721892386e-05,2.7026672758092777e-05,0.9999552369117737,5.2178865125118815e-05,0.9999452233314514
13,2.729910719396797e-05,2.4699949662541573e-05,0.9999727010726929,3.400034003610611e-05,0.9999642968177795
14,1.8118109711082428e-05,2.1819226433972828e-05,0.9999818801879883,2.4819114068243306e-05,0.9999739527702332
15,1.5692993455529082e-05,1.8164573183973007e-05,0.9999843239784241,2.2002975515741408e-05,0.9999768733978271
16,2.7138854519779003e-05,1.6659102834871055e-05,0.9999728798866272,3.0483162143637404e-05,0.9999679923057556
17,1.2302239395388653e-05,1.6855003882867437e-05,0.9999877214431763,1.807906297112843e-05,0.9999809861183167
18,2.845137662586227e-05,2.4571214189280843e-05,0.9999715685844421,3.1278379036512105e-05,0.9999671578407288
19,1.3618138963710777e-05,1.4971568282583193e-05,0.9999864101409912,1.797801870051772e-05,0.9999811053276062
20,1.9337733318920088e-05,1.5238502553272579e-05,0.9999806880950928,2.3811115090302753e-05,0.9999750256538391
21,1.1585541785960493e-05,1.2977200269267696e-05,0.9999884366989136,1.4767858666661625e-05,0.9999845027923584
22,1.2291756849318521e-05,1.5095201166702249e-05,0.9999877214431763,1.7458743998854537e-05,0.9999816417694092
23,7.55544521057392e-06,1.3396822399041935e-05,0.9999924302101135,1.124477636781256e-05,0.9999881982803345
24,3.0236451869274444e-05,1.4839660890225729e-05,0.9999697804450989,3.1490416836173466e-05,0.9999669194221497
25,2.833065497769973e-05,1.880501583821478e-05,0.9999716877937317,2.938591836579968e-05,0.9999691247940063
26,1.9657656236131308e-05,1.747675648003745e-05,0.9999803304672241,2.3959673162358764e-05,0.9999748468399048
27,5.119387901686423e-05,1.304071333060659e-05,0.9999487996101379,5.451131619753706e-05,0.9999427795410156
28,1.3547185041480467e-05,1.556283962145244e-05,0.999986469745636,1.708107837965053e-05,0.9999820590019226
