epoch,train_standardized_mse,validation_standardized_mse,selection_objective,validation_r2,n_active_at_0_01
1,0.7921874076031057,0.3756425380706787,0.3756425380706787,0.5002414588242972,7
2,0.15836236734008666,0.10542811453342438,0.10542811453342438,0.8597373854040495,7
3,0.09507203245597298,0.08395020663738251,0.08395020663738251,0.8883118167096368,7
4,0.07679047980863861,0.07392731308937073,0.07392731308937073,0.9016463768455152,7
5,0.06809589973418799,0.06359899044036865,0.06359899044036865,0.9153872660288542,7
6,0.061204866883657005,0.05755338817834854,0.05755338817834854,0.9234303949658031,7
7,0.058390336206925714,0.059715330600738525,0.059715330600738525,0.9205541265198657,7
8,0.05596499409945894,0.056511715054512024,0.056511715054512024,0.9248162489095618,7
9,0.05178436705758995,0.06694533675909042,0.06694533675909042,0.9109352500288845,7
10,0.050909127775887505,0.06422310322523117,0.06422310322523117,0.9145569398391798,7
11,0.04972070507873662,0.051241178065538406,0.051241178065538406,0.9318282356254532,7
12,0.04710578774486801,0.05129515752196312,0.05129515752196312,0.9317564184942916,7
13,0.04623810689055307,0.050747551023960114,0.050747551023960114,0.9324849520638201,7
14,0.044968169586091906,0.0494200624525547,0.0494200624525547,0.9342510619947693,7
15,0.043632059848262024,0.050098907202482224,0.050098907202482224,0.9333479179085312,7
16,0.043751166334827764,0.04732480272650719,0.04732480272650719,0.9370386148350746,7
17,0.04280449435715948,0.049232225865125656,0.049232225865125656,0.934500958286573,7
18,0.044286564225179466,0.048124197870492935,0.048124197870492935,0.9359750913606393,7
19,0.0423102054209312,0.0478009358048439,0.0478009358048439,0.9364051552951107,7
20,0.04193633681353456,0.06436066329479218,0.06436066329479218,0.9143739480116125,7
21,0.0450253890295287,0.043519601225852966,0.043519601225852966,0.9421010901973802,7
22,0.0401877718520149,0.044168028980493546,0.044168028980493546,0.9412384147451623,7
23,0.03982559049825585,0.04456339776515961,0.04456339776515961,0.940712420754887,7
24,0.03968820050746571,0.04734625667333603,0.04734625667333603,0.9370100686741478,7
25,0.038900746421606104,0.04910404607653618,0.04910404607653618,0.9346714922181651,7
