epoch,train_standardized_mse,validation_standardized_mse,selection_objective,validation_r2,n_active_at_0_01
1,0.5671754787611202,0.17703299224376678,0.7034399288892746,0.7644735601743111,23
2,0.11786620411476534,0.11045678704977036,0.5820981749892236,0.8530471884217824,23
3,0.07498231223343872,0.07712793350219727,0.5022198295593262,0.897388243044437,23
4,0.0604851907464538,0.06838160753250122,0.4527806401252747,0.9090244336073131,23
5,0.05418669840559683,0.0590464286506176,0.4071001701056957,0.9214440434939655,23
6,0.05016906160640693,0.05668641999363899,0.37290878251194953,0.924583830116524,23
7,0.04781310758617069,0.05093936622142792,0.3389006012678146,0.9322297646517652,23
8,0.046366064029424,0.052404291927814484,0.31597591668367386,0.9302808123115978,23
9,0.04459582906150942,0.06410087645053864,0.3065225797891617,0.9147195624795526,23
10,0.060247804401181854,0.05496786907315254,0.2810923273861408,0.9268702068035921,23
11,0.04351483410492142,0.047833554446697235,0.2598184558749199,0.9363617655304292,23
12,0.04217883386323804,0.04807104170322418,0.24716093122959137,0.9360458104798051,23
13,0.04224909577675033,0.051141127943992615,0.2380058091878891,0.9319613359591121,23
14,0.04099376691552576,0.048235926777124405,0.22386252894997596,0.9358264470964851,23
15,0.04072617278443425,0.04746762663125992,0.21246770292520523,0.9368486000713534,23
16,0.046460459802588165,0.046117961406707764,0.20183040380477907,0.9386442073121646,23
17,0.04177972486772239,0.048791054636240005,0.19625853434205057,0.9350878972791259,23
18,0.04058762154527973,0.05081278085708618,0.19098126649856567,0.9323981698122833,23
19,0.042069120736151606,0.04480401799082756,0.17751344487071039,0.94039228781156,23
20,0.039839974381259864,0.046568598598241806,0.17261379703879356,0.9380446742997138,23
21,0.03954405679804362,0.05082245543599129,0.17072580054402353,0.9323852987353408,23
22,0.04232554375021322,0.050524525344371796,0.16464540928602217,0.9327816698987673,23
23,0.039655965994667836,0.04203815758228302,0.15078698456287384,0.9440720171118334,23
24,0.039603428453420304,0.05465684458613396,0.15857430025935174,0.9272839902737517,22
25,0.04083764952260252,0.05048780143260956,0.15001337707042695,0.9328305325953462,21
26,0.03855406362551253,0.04923249036073685,0.14455801755189895,0.9345006063067313,18
27,0.04048762906757204,0.04690193012356758,0.13861881092190742,0.9376012140206794,18
28,0.0406164067167796,0.04570009186863899,0.13397890999913215,0.9392001465530914,18
29,0.03948236058333437,0.0445040762424469,0.12936922669410705,0.9407913393706222,17
30,0.04046321796191518,0.04409659281373024,0.12598926439881325,0.9413334508053844,15
31,0.03844512609804925,0.046543948352336884,0.12556397646665574,0.938077467138454,15
32,0.038297586031524715,0.057713449001312256,0.1342964768409729,0.9232174593932474,15
33,0.04318200758062715,0.05215371400117874,0.12611385613679887,0.9306141835114219,14
34,0.04037714770418836,0.044572338461875916,0.11638589322566986,0.9407005151728253,14
35,0.038128492530864325,0.0448954775929451,0.11460022479295731,0.9402706138398867,14
36,0.0379422303439447,0.04470178857445717,0.1123283363878727,0.9405283004187673,12
37,0.038087650417321754,0.05034741759300232,0.11624499678611755,0.9330173048196307,12
38,0.039765760753056545,0.049664221704006195,0.11388445943593979,0.9339262202251275,12
39,0.03782018378047332,0.04508543759584427,0.10753973275423051,0.9400178878321557,12
40,0.038637395148337,0.04482574388384819,0.10589438363909721,0.9403633841034073,11
41,0.038348632232663535,0.04942109063267708,0.10909226372838021,0.9342496946679102,11
42,0.04155045437275704,0.042617086321115494,0.10098656550049781,0.9433018064283721,11
43,0.03822323995131561,0.04661330208182335,0.10388074859976769,0.937985198886403,11
44,0.03770629911839225,0.053241923451423645,0.10923808872699738,0.9291664126929515,11
45,0.03870004400121328,0.043602798134088516,0.09857394471764565,0.9419904065725182,11
46,0.03743866205254234,0.05849900841712952,0.11247630715370179,0.9221723418321734,11
47,0.04085404313397857,0.045627281069755554,0.09867129504680633,0.9392970143867728,11
48,0.03856302998480118,0.04569115862250328,0.0978830026090145,0.9392120258537247,11
49,0.039642125096659264,0.04747601971030235,0.09888529285788536,0.9368374384398405,11
50,0.037671049407252494,0.04694818705320358,0.0975775071978569,0.9375396654849248,11
51,0.03701145847606131,0.04214733839035034,0.09195886373519897,0.9439267658983101,11
52,0.03770914317575867,0.045157987624406815,0.09425565913319588,0.9399213635415941,11
53,0.036408364861263184,0.044104691594839096,0.09239083394408226,0.9413226768174522,11
54,0.03752176086954583,0.04179873317480087,0.08944264262914658,0.9443905556166782,11
55,0.03707116233789657,0.04873261600732803,0.0957527843117714,0.935165650560654,11
56,0.03696952756705149,0.042551614344120026,0.08881326824426651,0.9433889102090893,11
57,0.036372141596281306,0.04152407497167587,0.0872485050559044,0.9447559662287349,11
58,0.0362616997011001,0.03893883153796196,0.08401740953326226,0.9481953929380537,11
59,0.037622931909007576,0.0462617427110672,0.09080639183521272,0.9384529185200876,11
60,0.03827461156940782,0.04277002811431885,0.08682753086090088,0.9430983261747085,11
61,0.036540296693407026,0.04344848543405533,0.08690960794687272,0.942195702779804,11
62,0.03712516775864941,0.043857283890247345,0.0867641881108284,0.9416518331786033,11
63,0.0366623804928152,0.04065297171473503,0.08307645842432976,0.9459148837460007,11
64,0.0363309819980845,0.04218684136867523,0.08409223973751068,0.9438742081168061,11
65,0.03706399891186183,0.047377027571201324,0.08884369760751724,0.9369691297698164,11
66,0.03597216700762995,0.05056445673108101,0.091649661809206,0.93272854994635,11
67,0.04286896850533236,0.04104938358068466,0.08165751785039901,0.9453874956127448,11
68,0.0359787695514609,0.043371640145778656,0.08345749944448472,0.9422979426067979,11
69,0.038231790657158246,0.046487871557474136,0.08613652363419533,0.938152069333312,11
70,0.039091445796468,0.04146125912666321,0.08074774861335754,0.9448395306348089,11
71,0.036018133173147115,0.03964792937040329,0.07844969004392624,0.947252001967155,11
72,0.037686150172021225,0.045480482280254364,0.0840465733408928,0.9394923219251616,11
73,0.035876752360903874,0.04215337708592415,0.08029474690556526,0.9439187305092289,11
74,0.03788934470740284,0.048261094838380814,0.08608156755566597,0.9357929666633513,11
75,0.036377671191671214,0.042027492076158524,0.07950636342167855,0.9440862052753538,11
76,0.03652447411546904,0.04221223294734955,0.07934246480464935,0.9438404289428023,11
77,0.035712315404645874,0.041455160826444626,0.07825354024767875,0.9448476369159596,10
78,0.036708207509529495,0.04636707901954651,0.08273864626884461,0.9383127744472728,10
79,0.035342272649783936,0.06637901067733765,0.10241835832595825,0.9116887074488514,10
80,0.03937974966282028,0.04277323558926582,0.07845381572842598,0.943094065956124,10
81,0.036891265124538226,0.042745932936668396,0.07824325025081635,0.9431303923977205,9
82,0.03632889736247435,0.04516053944826126,0.08040844708681107,0.9399179660567942,9
83,0.03674419977621611,0.04076089337468147,0.07563123658299446,0.9457713043681497,9
84,0.035600631457202686,0.04339994490146637,0.0779742866754532,0.9422602801130194,9
85,0.03715786502121541,0.0444645993411541,0.0788094012439251,0.9408438567998673,9
86,0.03665671161289291,0.03768463060259819,0.0716272060573101,0.9498639994809177,9
87,0.03682551227228822,0.04188430309295654,0.0756225824356079,0.9442767103881411,9
88,0.03557524276278045,0.043654344975948334,0.07711008399724961,0.9419218253781542,9
89,0.03599884777185044,0.04579175263643265,0.07902670174837112,0.9390782027048082,8
90,0.03698746360251868,0.05853211507201195,0.0915916620194912,0.9221282914862824,8
91,0.03918033764590361,0.042530160397291183,0.07541816756129265,0.943417454104847,8
92,0.037541094331207725,0.042777564376592636,0.075416149944067,0.9430883086439733,8
93,0.03547659893468672,0.06116142496466637,0.09357382521033286,0.9186302264282191,8
94,0.04279015207191761,0.046874720603227615,0.07900436118245124,0.9376374052590447,8
95,0.03549032312470671,0.0422247014939785,0.07419857844710351,0.9438238398858376,8
96,0.035952933799177314,0.040861763060092926,0.07262172132730485,0.9456371035274641,8
97,0.03541029828782972,0.04109774902462959,0.07257945373654365,0.9453231461041293,8
98,0.03823820155516276,0.04566531255841255,0.07696888759732246,0.9392464201088853,8
99,0.03647214493477352,0.043534182012081146,0.07459426015615464,0.9420816915925048,8
100,0.03702414253691457,0.041211411356925964,0.07212200343608856,0.9451719269381118,8
101,0.035601434900765304,0.047350116074085236,0.07798966437578202,0.9370049362494478,8
102,0.036833193514280375,0.06008530035614967,0.09064149513840675,0.9200619175696166,8
103,0.036768487810351747,0.05071930214762688,0.08101849839091302,0.9325225370833272,8
104,0.03730772216801296,0.04289667308330536,0.0731028813123703,0.9429298376332572,8
105,0.035075840369962454,0.046048473566770554,0.07601218625903129,0.9387366481562065,8
106,0.037129586549183725,0.043937522917985916,0.07375561192631722,0.9415450852281494,8
107,0.03500912045040783,0.039165087044239044,0.0688337042927742,0.9478943793994944,8
108,0.03469898565941979,0.05408346652984619,0.08352316141128541,0.9280468195185153,8
109,0.03574317429401344,0.05373656377196312,0.08303136453032493,0.9285083398731576,8
110,0.038163808103536895,0.042982570827007294,0.07212289303541183,0.94281555919384,8
111,0.03825955252146752,0.04681558907032013,0.07591562569141388,0.9377160727428274,8
112,0.03666608016416867,0.03892422094941139,0.06782985821366311,0.9482148327594356,8
113,0.03689591005134288,0.04565926641225815,0.07443213552236558,0.9392544569150508,8
114,0.03755391815225258,0.05056643486022949,0.07929198741912842,0.9327259095411031,8
115,0.035674629307599834,0.057010404765605927,0.08557103127241135,0.9241527936773015,8
116,0.03801230624470819,0.037425246089696884,0.06575641378760338,0.9502090753682887,8
117,0.03550017736100809,0.04472029581665993,0.072917190939188,0.9405036799533255,8
118,0.0354263768588946,0.046203359961509705,0.07422171771526337,0.9385305921389857,8
119,0.03493102640155933,0.06430969387292862,0.0921302643418312,0.9144417487034323,8
120,0.03798453575733349,0.03900439664721489,0.0667376820743084,0.9481081583340863,8
121,0.03537267926176337,0.04054989293217659,0.06817090705037117,0.9460520186701118,8
122,0.035652140089993595,0.04773120954632759,0.07526331260800362,0.936497923083114,8
123,0.03478208167760808,0.04315681755542755,0.07047915041446685,0.9425837439147133,8
124,0.03712043831235182,0.03765027970075607,0.0648614951968193,0.9499096868181358,8
125,0.03666535066410405,0.037322964519262314,0.0643605349957943,0.9503451629112268,8
126,0.036937948958627106,0.05147695541381836,0.07847640991210937,0.9315145585727127,8
127,0.03761523617243682,0.04041733965277672,0.06737341150641442,0.9462283716340838,8
128,0.03465992879309124,0.03730619326233864,0.06412607327103614,0.9503674746554925,8
129,0.03554302098189536,0.039433352649211884,0.06613331526517868,0.9475374748048409,8
130,0.034457846416830626,0.04335917532444,0.07001788675785064,0.9423145276270286,8
131,0.03494812173450156,0.037340197712183,0.06388589158654213,0.9503222307377295,8
132,0.03956627270973923,0.043920911848545074,0.0703703847527504,0.9415671832721542,8
133,0.034757024972719576,0.05031165853142738,0.07674011006951333,0.9330648704926384,8
134,0.03740767811994004,0.04065826162695885,0.0669126556813717,0.9459078441180838,8
135,0.03667063603908425,0.03940547630190849,0.06559263870120048,0.9475745652690833,8
136,0.036810463564634015,0.03809481859207153,0.06415218114852905,0.9493182804512504,8
137,0.035149661524775125,0.04680750146508217,0.07273241773247718,0.9377268385321369,8
138,0.03679596332175125,0.04029806703329086,0.06606024354696274,0.9463870547420625,8
139,0.04006606270362203,0.04126489534974098,0.06704088106751442,0.9451007734992972,8
140,0.03411341195340737,0.03946497291326523,0.06513410180807114,0.947495406612072,8
141,0.03791886242682196,0.047823768109083176,0.07347531840205193,0.9363747830760667,8
142,0.03580035721530524,0.057110920548439026,0.08266909658908844,0.9240190694580981,8
143,0.03670620300825843,0.037702444940805435,0.06323233738541603,0.9498402925704449,8
144,0.03452121350725188,0.04728694260120392,0.07271708548069,0.9370889769455504,8
145,0.035051839570372466,0.04533584415912628,0.07064251005649566,0.9396847396681415,8
146,0.03676138899216965,0.043834324926137924,0.06906759604811669,0.9416823801219002,7
147,0.0348430588918998,0.07197791337966919,0.09714377164840698,0.9042398678412203,7
148,0.03867070851441553,0.06059793755412102,0.08574076935648918,0.9193798969878167,7
149,0.03522353536127015,0.03950480371713638,0.06448774963617325,0.9474424140132977,7
150,0.03378122072562663,0.039723947644233704,0.06458347618579864,0.9471508657567497,7
151,0.0343569087066973,0.0888303816318512,0.11371941208839417,0.8818191904830223,8
152,0.042331901486180164,0.04131549969315529,0.06615460768342019,0.9450334488980399,8
153,0.03558349150318407,0.0431993342936039,0.06795414939522743,0.9425271802224017,8
154,0.03536013977707557,0.045193057507276535,0.06983597800135613,0.9398747092864996,8
155,0.03798966744530488,0.038625046610832214,0.06328266322612763,0.9486128547009071,8
156,0.03620564122244997,0.0366976223886013,0.061254502385854726,0.9511771211780147,7
157,0.03588325611243561,0.04431233927607536,0.06880171343684197,0.9410464282456285,8
158,0.03850341452892794,0.040816545486450195,0.06520387411117554,0.9456972626717447,7
159,0.034765475694388245,0.03608660772442818,0.060388232022523886,0.9519900206215164,7
160,0.034411223459850676,0.042371977120637894,0.06660847261548042,0.9436279052873051,7
161,0.03781768848674787,0.039240311831235886,0.06336266681551933,0.9477942987475183,7
162,0.03579507240384488,0.045164771378040314,0.06926802188158035,0.9399123370409572,7
163,0.0352042521881491,0.039127375930547714,0.063185446113348,0.9479445534198728,7
164,0.03584919631403611,0.04106271266937256,0.06511340618133545,0.9453697635500199,7
165,0.0343530228786854,0.040712323039770126,0.06459498152136803,0.94583592466776,7
166,0.03499927881453126,0.042622294276952744,0.06647103294730186,0.9432948731587958,7
167,0.035711149959573515,0.0483093336224556,0.07203461915254593,0.9357287765484185,7
168,0.03483954762401291,0.0512889102101326,0.07491031914949417,0.931764729542058,7
169,0.03484614043167526,0.03778553381562233,0.0613996709883213,0.9497297500584418,7
170,0.03809673596529815,0.0366099551320076,0.06014001876115799,0.9512937511680417,7
171,0.035878353000230116,0.03992810100317001,0.06339703649282455,0.946879255963828,7
172,0.034747619916265016,0.05805126205086708,0.08141970172524451,0.9227680234669584,7
173,0.03919882456745974,0.04116722196340561,0.06451000779867172,0.9452307187632679,7
174,0.03733581851649164,0.04773899167776108,0.071128531396389,0.9364875734656146,7
175,0.0365337274445096,0.04577287286520004,0.06907749027013779,0.9391033115637132,7
176,0.0344754382471082,0.043604109436273575,0.06680577054619789,0.9419886617569218,7
177,0.03442220712442947,0.0408753864467144,0.06402595922350884,0.945618988581035,7
178,0.035083644436557204,0.03565331920981407,0.05871956333518028,0.9525664688656892,7
179,0.03523416292933031,0.038347844034433365,0.06134539976716041,0.9489816489992401,7
180,0.0346073345419034,0.03771050646901131,0.060691010504961014,0.9498295634177241,7
181,0.034400941225989114,0.04054901376366615,0.0633692742884159,0.9460531885106647,7
182,0.03624025804021565,0.04399867355823517,0.06691417276859284,0.9414637260158648,7
183,0.035630511502912854,0.04277427867054939,0.0655664201080799,0.9430926711121234,7
184,0.035244176760509796,0.03964696079492569,0.06235586792230606,0.947253291537455,7
185,0.035007265284318155,0.03989394009113312,0.06257193624973298,0.9469247089711762,7
186,0.03531819946879718,0.0365038737654686,0.059053207337856295,0.9514348823672306,7
187,0.03381001842423314,0.03605178743600845,0.05853862673044205,0.9520363427630059,7
188,0.03600339066157228,0.03543146699666977,0.057845612466335294,0.9528616250430654,7
189,0.03504080967050562,0.042093392461538315,0.06449196919798851,0.9439985314790662,7
