trial,trial_dir,lambda_dgate,dropout_r,dgate_depth,best_epoch,train_mse,train_r2,val_mse,val_r2,active_count,active_features,selection_reason,selected_topk,selected_val_mse,selected_val_r2,selected_mse_ratio_to_full
trial_01_lam1e-06_drop0p3,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_01_lam1e-06_drop0p3,1e-06,0.3,3,110,0.2902870178222656,0.7082905582116832,0.7035109996795654,0.3094550602835424,23,gen_fuel_other_renewables_mw;total_losses;congestion_price_da;total_pjm_rt_load_mwh;marginal_loss_price_da;gen_fuel_multiple_fuels_mw;total_pjm_loc_credit;gen_fuel_coal_pct;gen_fuel_multiple_fuels_pct;total_lmp_da;da_as_as_mw_thirty_minutes_reserve;rmccp;total_pjm_rmccp_cr;total_pjm_self_sched_reg;da_as_total_mw_thirty_minutes_reserve;marginal_loss_price_rt;system_energy_price_da;metered_load_mw;rmpcp;forecast_load_mw_latest_available;total_pjm_rmpcp_cr;congestion_price_rt;net_inadv_interchange_mw,smallest_topk_within_mse_tolerance,23,0.8040440678596497,0.21077488073116113,1.1429019137223613
trial_02_lam1e-06_drop0p45,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_02_lam1e-06_drop0p45,1e-06,0.45,3,154,0.3372703492641449,0.6610769975577399,0.7260736227035522,0.28730827720654073,20,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;system_energy_price_da;total_pjm_self_sched_reg;total_lmp_da;total_pjm_loc_credit;gross_inadv_interchange_mw;gen_fuel_multiple_fuels_mw;gen_fuel_multiple_fuels_pct;rmccp;congestion_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;total_pjm_rmccp_cr;marginal_loss_price_da;net_inadv_interchange_mw;gross_actual_interchange_mw;da_as_mcp_primary_reserve;metered_load_mw,smallest_topk_within_mse_tolerance,20,0.821892499923706,0.1932554210484133,1.1319685417881427
trial_03_lam3e-06_drop0p3,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_03_lam3e-06_drop0p3,3e-06,0.3,3,137,0.25497788190841675,0.743772704336839,0.7058479189872742,0.307161206697554,22,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;total_lmp_da;gross_inadv_interchange_mw;system_energy_price_da;gross_actual_interchange_mw;gen_fuel_multiple_fuels_pct;gen_fuel_multiple_fuels_mw;total_pjm_loc_credit;rmccp;metered_load_mw;total_pjm_rmccp_cr;system_energy_price_rt;marginal_loss_price_rt;da_as_total_mw_thirty_minutes_reserve;congestion_price_rt;total_pjm_rmpcp_cr;da_as_as_mw_thirty_minutes_reserve;total_pjm_self_sched_reg;forecast_load_mw_latest_available,smallest_topk_within_mse_tolerance,22,0.8100348114967346,0.20489452995438018,1.1476052981183207
trial_04_lam3e-06_drop0p45,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_04_lam3e-06_drop0p45,3e-06,0.45,3,119,0.37973785400390625,0.6184014100441969,0.7104650735855103,0.3026291794685755,20,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;marginal_loss_price_da;metered_load_mw;marginal_loss_price_rt;total_lmp_da;total_pjm_rmccp_cr;system_energy_price_da;total_pjm_loc_credit;rmccp;gross_inadv_interchange_mw;total_pjm_self_sched_reg;gen_fuel_multiple_fuels_pct;total_pjm_assigned_reg;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_day_ahead;da_as_as_mw_thirty_minutes_reserve;total_lmp_rt,smallest_topk_within_mse_tolerance,20,0.8159215450286865,0.19911633529478412,1.1484330129133862
trial_05_lam1e-05_drop0p3,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_05_lam1e-05_drop0p3,1e-05,0.3,3,146,0.26539966464042664,0.7332998694381866,0.7200002670288086,0.29326968974838497,24,gen_fuel_other_renewables_mw;congestion_price_da;total_losses;total_pjm_rmccp_cr;marginal_loss_price_rt;gross_inadv_interchange_mw;marginal_loss_price_da;gross_actual_interchange_mw;da_as_as_mw_thirty_minutes_reserve;system_energy_price_da;gen_fuel_multiple_fuels_mw;rmccp;total_lmp_da;gen_fuel_multiple_fuels_pct;total_pjm_loc_credit;congestion_price_rt;da_as_total_mw_thirty_minutes_reserve;metered_load_mw;net_inadv_interchange_mw;rmpcp;da_as_mcp_synchronized_reserve;system_energy_price_rt;forecast_load_mw_day_ahead;total_pjm_assigned_reg,best_within_active_bounds,24,0.8459407687187195,0.16965038369426022,1.174917298584414
trial_06_lam1e-05_drop0p45,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_06_lam1e-05_drop0p45,1e-05,0.45,3,123,0.37162894010543823,0.6265500634098911,0.7139406800270081,0.29921761105147404,23,gen_fuel_other_renewables_mw;congestion_price_da;rmccp;total_losses;total_pjm_rmccp_cr;marginal_loss_price_da;gen_fuel_multiple_fuels_mw;total_pjm_self_sched_reg;total_lmp_da;marginal_loss_price_rt;total_pjm_loc_credit;metered_load_mw;da_as_as_mw_thirty_minutes_reserve;gen_fuel_multiple_fuels_pct;system_energy_price_da;total_lmp_rt;gross_inadv_interchange_mw;congestion_price_rt;total_pjm_rt_load_mwh;total_pjm_assigned_reg;system_energy_price_rt;da_as_total_mw_thirty_minutes_reserve;forecast_load_mw_latest_available,smallest_topk_within_mse_tolerance,23,0.8129389882087708,0.20204387693840808,1.138664613111665
trial_07_lam3e-05_drop0p3,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_07_lam3e-05_drop0p3,3e-05,0.3,3,76,0.3502406179904938,0.6480431807032797,0.7020559310913086,0.31088330227108996,23,gen_fuel_other_renewables_mw;congestion_price_da;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;total_losses;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve;total_pjm_rt_load_mwh;da_as_mcp_primary_reserve;gen_fuel_gas_pct;gen_fuel_multiple_fuels_mw;forecast_load_mw_latest_available;total_lmp_da;metered_load_mw;system_energy_price_da;gross_actual_interchange_mw;congestion_price_rt;forecast_load_mw_day_ahead;da_as_mcp_synchronized_reserve;gen_fuel_multiple_fuels_pct;marginal_loss_price_da;net_inadv_interchange_mw,best_within_active_bounds,23,0.8188344836235046,0.19625705017265926,1.166337961634344
trial_08_lam3e-05_drop0p45,/data1/duhaocun/projects/L1_GATE_DNN/NEW_PROJECT/conditional_residual_compensation_outputs/CenterOn_net_actual_interchange_mw/stage04_residual_showing/run_20260706_000122/xi=prelim_load_avg_hourly/02_sweep/trial_08_lam3e-05_drop0p45,3e-05,0.45,3,97,0.39849066734313965,0.5995566862207296,0.7458557486534119,0.26789078316297976,24,gen_fuel_other_renewables_mw;congestion_price_da;total_lmp_da;total_losses;system_energy_price_da;marginal_loss_price_rt;total_pjm_rmccp_cr;rmccp;congestion_price_rt;total_pjm_loc_credit;da_as_total_mw_thirty_minutes_reserve;total_pjm_self_sched_reg;da_as_as_mw_thirty_minutes_reserve;gross_inadv_interchange_mw;net_inadv_interchange_mw;marginal_loss_price_da;gross_actual_interchange_mw;forecast_load_mw_day_ahead;total_pjm_rt_load_mwh;da_as_ss_mw_synchronized_reserve;gen_fuel_multiple_fuels_mw;system_energy_price_rt;total_lmp_rt;total_pjm_rmpcp_cr,smallest_topk_within_mse_tolerance,24,0.8544933199882507,0.16125546037880423,1.1456549359977857
