epoch,train_r2,test_r2,n_active
1,0.6796928927059738,0.6528569602936496,38
2,0.7449925993109494,0.7319683485911332,38
3,0.7777706690132363,0.7596681462641142,38
4,0.8001025129905852,0.7833668563801357,38
5,0.8196189301963025,0.7992260067923678,38
6,0.8349642084777682,0.8120496688653982,38
7,0.8453269345248857,0.8161806441309373,38
8,0.8505009967398225,0.8262195674767658,38
9,0.8632784052885503,0.8296785527716006,38
10,0.8632315316721715,0.8232652512212592,38
11,0.8737921890865515,0.8358988347107423,38
12,0.8671226844311088,0.8221833004721906,38
13,0.879857932986681,0.8368629815979514,38
14,0.8839312020695038,0.8415298628848542,38
15,0.8857633915478945,0.8362108247802166,38
16,0.8915031609035441,0.8451845586047522,38
17,0.8881375516077926,0.8359722207007954,38
18,0.8880359365187407,0.8355887090976365,38
19,0.8978228749493542,0.8413935164852857,38
20,0.9003367057288388,0.8427041056719354,38
21,0.9028078388307272,0.8439264540048084,38
22,0.8988653183200601,0.8352901427663515,38
23,0.9002048896496776,0.8397084171176523,38
24,0.9034804740626792,0.8373085792842296,38
25,0.8940285244238051,0.8319183629756379,38
26,0.9091517289000337,0.8389518881805291,38
27,0.9035685052724198,0.8294073018853108,38
28,0.9145941132341023,0.8418323425938837,38
29,0.9163699065270063,0.8443569243754248,38
30,0.9153757631679871,0.840591027270352,38
31,0.917247589822544,0.8391007513074453,38
32,0.9254803069940388,0.8449718994365771,38
33,0.9248340036553497,0.850511014917742,38
34,0.9241364173148083,0.84557864363519,38
35,0.9252552561495858,0.8442011366943218,38
36,0.9275787794392648,0.8442495467062163,38
37,0.927671579849058,0.847395206350439,38
38,0.9310465534834501,0.8465436210160706,38
39,0.9273243921347192,0.8452377882996226,38
40,0.9287215433616709,0.8377016047588434,38
41,0.932250036781161,0.8396411396616805,38
42,0.9289001835263432,0.8386846337289569,38
43,0.9372833429676651,0.8515713602520381,38
44,0.9269608823049025,0.8373353748610042,38
45,0.9375793124046089,0.8491334278117277,38
46,0.932176888595231,0.8357905444706393,38
47,0.9311624853790447,0.8291053681047077,38
48,0.9394351369770704,0.8472108080332982,38
49,0.9412908817055275,0.8422574135029994,38
50,0.9324226525848991,0.8420599731803242,38
51,0.9438612931698505,0.8487896348494016,38
52,0.9405960626195324,0.8420596850662969,38
53,0.9398056832697762,0.8373204356487617,38
54,0.9445844285800254,0.8438898164937448,38
55,0.9402489813516866,0.8341771667200435,38
56,0.9449788436393014,0.847671675013568,38
57,0.9450384646173519,0.8495285362566372,38
58,0.9450723963398585,0.8418847322642355,38
59,0.9453911443751483,0.8491958906840824,38
60,0.9381704980944947,0.8236123016732493,38
61,0.9490643976284313,0.8417461805118013,38
62,0.9433765586827842,0.8322169987431169,38
63,0.948506415925004,0.8382190626459975,38
64,0.950418308023656,0.8394160448304407,38
65,0.9489364346330845,0.8424891247009881,38
66,0.9530389933931523,0.8406655197180609,38
67,0.9485539007822179,0.8240987256445247,38
68,0.9526681695733348,0.8364100309644178,38
69,0.9462253871368913,0.8376600334502613,38
70,0.9527710457138528,0.8342897478808382,38
71,0.9539995871682809,0.84011792470494,38
72,0.9569826230295565,0.8426537844897576,38
73,0.9545985787991803,0.8345673495214183,38
74,0.9565447872069537,0.8344217168465639,38
75,0.9513895893077793,0.8300685621004937,38
76,0.9505389926146186,0.8358121626806848,38
77,0.9531800772642086,0.8371826420906974,38
78,0.9572994672858746,0.835204685758475,38
79,0.9545829452460677,0.8264296683303376,38
80,0.9548107201156447,0.8297020989237454,38
81,0.9467630556480978,0.8232665797692417,38
82,0.9578199029934055,0.8371133340586779,38
83,0.960549330580015,0.8294182344300498,38
84,0.9549426159489782,0.8230715784896276,38
85,0.9621087542327955,0.8295821511165415,38
86,0.9573300982589257,0.8272528367824369,38
87,0.9595805253329549,0.8318238238375546,38
88,0.9583411857708815,0.8325501675217786,38
89,0.9583258362009528,0.8265489251392472,38
90,0.9614069435192573,0.8359860601016338,38
91,0.9611386852463969,0.8266335251389487,38
92,0.9613084651181888,0.8337511180796755,38
93,0.9573326509998829,0.8292280956374354,38
94,0.9583585945716899,0.8359581372362683,38
95,0.9640117629452328,0.8386849713996065,38
96,0.9592576551010742,0.825153171057303,38
97,0.9626456662058509,0.8282135081113179,38
98,0.9641463142894039,0.8251256255272595,38
99,0.9601102350655226,0.8188879691535706,38
100,0.9646107720218742,0.8254684009979677,38
101,0.9657883756116064,0.8345098499012866,38
102,0.9617059434683101,0.8295121795256475,38
103,0.9644195762527509,0.8341910709888787,38
104,0.965645142675039,0.832523959082778,38
105,0.9661748730580046,0.8235337217837013,38
106,0.964612346953974,0.8252785996920924,38
107,0.9688612055199393,0.8289063553984867,38
108,0.9684010129388938,0.8272080447264016,38
109,0.9542197272805867,0.8155771466570685,38
110,0.9681878028399024,0.8241164392070299,38
111,0.963742530031088,0.8272237963192195,38
112,0.9655194794644818,0.8328691175256857,38
113,0.9690783164986836,0.8302119467178354,38
114,0.9587708099740445,0.8103788305886656,38
115,0.9685443796441664,0.8304346278772816,38
116,0.9640359656026272,0.8202236604598769,38
117,0.9685087114516884,0.8292480052198546,38
118,0.9707091333136515,0.8302450473837882,38
119,0.9681774090353549,0.8280622657674717,38
120,0.9702995762979602,0.8263517611172975,38
121,0.9670338898895566,0.8144185238685899,38
122,0.959147332655862,0.8059604363742846,38
