k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.23629475036031333,0.058050060678716764,0.1433205611817847,0.08419966070485863,0.23629475036031333,0.1433205611817847
2,0.282457133212095,0.1163687339980034,0.28053747896867876,0.16970502772999896,0.3621889005087615,0.31012895819673825
3,0.38236629629008767,0.3381675223333408,0.384312781658636,0.2246875389493549,0.4003335534841679,0.36134651021111563
4,0.4284548580826242,0.4061557153965051,0.4162136640729034,0.4190748814224964,0.43198337915970975,0.42669403673089723
5,0.4949747064313742,0.4719909469978666,0.46235480162886866,0.4368484598277197,0.4474931622939764,0.4413041337311776
6,0.5912654560032389,0.56037448171766,0.4758152742575378,0.451229504215105,0.46577126902461086,0.45283306796092904
7,0.5828327222115266,0.5884438985589101,0.514554938495416,0.44476484211029554,0.5119538154236052,0.4461936978598523
8,0.6371672019156884,0.6225886200724826,0.5412402045037668,0.4807479692724538,0.5532053482439028,0.5130149668851207
9,0.6585235623528007,0.6549886633832992,0.5487761604720842,0.4803125912689564,0.5497084175846106,0.49594628142330976
10,0.6529234083509307,0.6845631383335002,0.5628366256593478,0.49315251914522196,0.5354422546495798,0.506204476997518
