gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.123589,0.935949,1.0618395,1.0280824,1.1816502,0.7270056,1.1054994,0.817846,0.79138356,1.2348086,1.0341487,0.959158,0.8192771,0.83577067,0.96899486,1.0422299,0.72054195,0.7023433,0.7611241,1.0311439,0.95441544,0.9711458,0.80711955,0.89320725
1.0573834,0.76190406,0.95888746,0.95766467,1.1544974,0.5395697,1.014966,0.682333,0.6138483,1.237942,0.968124,0.8396573,0.7257699,0.7040117,0.7843563,0.9141197,0.52331007,0.5204058,0.5780084,0.9436338,0.91614944,0.9167311,0.587008,0.7346241
0.9759361,0.6334225,0.8685,0.88876283,1.0677112,0.3823182,0.918396,0.5761609,0.486908,1.1730307,0.87083167,0.71120024,0.6259852,0.56993765,0.6109928,0.7791037,0.38527173,0.39093217,0.43476054,0.87757623,0.8695894,0.852978,0.42325166,0.5855041
0.9029039,0.5199798,0.7807794,0.81222314,0.97753733,0.25926524,0.826533,0.50082546,0.39760393,1.1017619,0.79751873,0.58980274,0.52386373,0.44609123,0.46456164,0.6598227,0.27621904,0.29674867,0.3254395,0.8118558,0.8171312,0.78622574,0.29549405,0.4479326
0.8388936,0.42860505,0.6926552,0.73523396,0.886884,0.17091742,0.7368538,0.45782804,0.32973492,1.0287641,0.72569203,0.48079565,0.4259277,0.33905753,0.34855956,0.56124717,0.19959408,0.2231995,0.24521108,0.7422323,0.7565817,0.71260506,0.19977115,0.33921728
0.78658086,0.34630632,0.6220836,0.6645754,0.801073,0.10843506,0.66120523,0.44330165,0.27980113,0.95941263,0.6540191,0.3872288,0.33867675,0.25498804,0.2528645,0.47683617,0.14195016,0.16666679,0.18317904,0.6741207,0.69333017,0.6387357,0.13151911,0.25064468
0.75296915,0.28422186,0.5575591,0.5997749,0.7285584,0.06663645,0.5919721,0.43535754,0.24939469,0.8813639,0.59752,0.31095082,0.26543885,0.18639389,0.17882043,0.40175825,0.10364724,0.12795617,0.13470478,0.6029233,0.63196975,0.5688048,0.08330792,0.18149506
0.73578924,0.2293522,0.49380156,0.54570985,0.6559174,0.038962293,0.5207485,0.43849766,0.22270851,0.814614,0.53839463,0.24894269,0.20240831,0.13208559,0.12303934,0.3455858,0.078312404,0.098765545,0.10112717,0.5364813,0.5702792,0.50110394,0.05091821,0.12891164
0.71774584,0.18352282,0.45024228,0.49321598,0.5961399,0.02192048,0.46526396,0.45459113,0.20765473,0.75329435,0.4721358,0.19570196,0.1506971,0.08998624,0.08275906,0.30177143,0.058655325,0.075490326,0.07545294,0.46779862,0.5093652,0.43306714,0.029674165,0.09310316
0.7057382,0.14894408,0.4007827,0.45605996,0.5435838,0.011657408,0.41234055,0.46640536,0.19328807,0.69597155,0.4209695,0.15396626,0.106781445,0.059039302,0.05176315,0.25645697,0.0464158,0.05837348,0.054871786,0.4090045,0.43813995,0.35798922,0.016282102,0.06516186
0.70433956,0.12178029,0.35880697,0.4190443,0.4904757,0.0058218776,0.3616777,0.46935248,0.18785132,0.6458893,0.3758508,0.118727826,0.07503844,0.037609108,0.03165824,0.21883023,0.03664168,0.047470305,0.038737386,0.36012465,0.38597628,0.30384162,0.008461575,0.045820862
0.69691366,0.098269194,0.32090205,0.39008763,0.4449473,0.0027272936,0.31839278,0.47420597,0.17974845,0.59861976,0.3319563,0.09062588,0.051673405,0.022953978,0.018158063,0.18978775,0.029983092,0.03649195,0.028456928,0.31473142,0.33543918,0.25552002,0.004123204,0.033196088
0.6910718,0.079524994,0.28830242,0.36360568,0.40519944,0.0011870844,0.27880985,0.47954497,0.173304,0.55179745,0.2885779,0.069838464,0.033936333,0.013476247,0.009897293,0.159728,0.025043212,0.032179754,0.01980471,0.27581075,0.28049362,0.20664877,0.0018766179,0.023645919
0.68428355,0.06353218,0.25816563,0.3425365,0.36861578,0.0004828359,0.24352723,0.48359585,0.16702566,0.5163413,0.2533057,0.05421924,0.02164747,0.0075152274,0.005081657,0.13771747,0.02312392,0.029532421,0.013311391,0.23917584,0.22129034,0.15514897,0.0007912464,0.017106866
0.6794144,0.05089996,0.2286725,0.32736266,0.3358555,0.00018089986,0.21659738,0.48390067,0.16199999,0.48186034,0.22173482,0.04067257,0.013518069,0.004017082,0.0024489332,0.11937726,0.021355482,0.024790924,0.009096833,0.21068339,0.19135016,0.12929916,0.0003099525,0.013199099
0.6736312,0.040943693,0.2045873,0.31367433,0.30870312,6.212558e-05,0.19299628,0.48180267,0.15731972,0.4476727,0.20265172,0.030904524,0.008138948,0.0020430263,0.0011070522,0.103484355,0.018715454,0.021137888,0.005917514,0.18751885,0.1645336,0.10640426,0.00011184482,0.009838968
0.66430837,0.032401375,0.1821132,0.2979372,0.28181303,1.9523079e-05,0.17034318,0.48165926,0.15345947,0.41655648,0.18123053,0.023050362,0.004722694,0.0009813573,0.0004673951,0.090016715,0.018279823,0.020494537,0.0036390955,0.16700044,0.14011243,0.087225534,3.7025373e-05,0.0073185763
