area_1_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.42106247,0.44626144,0.50310904,0.4476825,0.43285307,0.41955185,0.57473415,0.5719045,0.57296926,0.5013074,0.5100085,0.5084239,0.4531576,0.485123,0.46202987,0.4600189,0.43779898,0.46952942,0.578207,0.5606138,0.49776715,0.4646946,0.4427253,0.5851,0.5770056,0.5363657,0.4630574,0.5041819,0.5248382,0.5051167,0.50669795,0.52333605,0.5455274,0.474916,0.41705823
0.35816935,0.4005276,0.45616406,0.41583052,0.37291828,0.3571056,0.6332066,0.5932924,0.59317756,0.5423323,0.5161768,0.51765066,0.40095025,0.48239684,0.47150123,0.44748983,0.47970858,0.43903178,0.6158649,0.5790454,0.5528311,0.49224958,0.42867726,0.65946317,0.59438807,0.57247514,0.43012524,0.5175257,0.517172,0.51021117,0.4915773,0.5524835,0.59206516,0.4510215,0.37080428
0.30764747,0.35472474,0.42726746,0.38128448,0.31226078,0.2996247,0.67917395,0.62453973,0.6054819,0.57130843,0.5266726,0.52431333,0.3713809,0.48628485,0.4804683,0.42928892,0.4994098,0.4093465,0.64716226,0.5935667,0.58958024,0.5207903,0.39568287,0.71097046,0.6165585,0.603652,0.39497912,0.52556586,0.5134994,0.5031152,0.47668615,0.5741717,0.6197845,0.43040362,0.32870507
0.2642567,0.33149,0.37424824,0.34589756,0.23762393,0.23262773,0.71617496,0.64706767,0.61618954,0.6094552,0.5296748,0.53542066,0.33944553,0.48447382,0.47464436,0.4125631,0.51518697,0.3734319,0.6739419,0.6084542,0.6249301,0.5397921,0.37944293,0.7606144,0.63336986,0.6385907,0.35104552,0.5538409,0.4997393,0.50667816,0.46186376,0.59335816,0.6521737,0.40421042,0.28098628
0.21181309,0.29019907,0.33134085,0.3113633,0.1681796,0.16211167,0.7786087,0.6706844,0.6261688,0.6380904,0.54213536,0.5583782,0.29574823,0.47283077,0.46365982,0.38198942,0.52625376,0.31547347,0.70416254,0.63279015,0.6594048,0.55928695,0.37463802,0.80272096,0.65661186,0.69330245,0.30777547,0.5622394,0.49064487,0.51770985,0.46516538,0.5942197,0.68545336,0.36663926,0.23331589
0.168087,0.23828183,0.28796354,0.27718338,0.105482474,0.0852455,0.8154167,0.68794036,0.62676746,0.6768793,0.54014957,0.575957,0.2529878,0.4569813,0.45290944,0.37024486,0.5354789,0.27651826,0.71956325,0.649337,0.6784665,0.5741994,0.3698703,0.8428043,0.67860156,0.72665405,0.2699594,0.57782185,0.47605187,0.5421267,0.4583906,0.6103833,0.70310676,0.32713026,0.17680742
0.12462579,0.2024994,0.2280046,0.24168767,0.033160422,0.010234743,0.8588057,0.69199073,0.63069177,0.71584517,0.53937405,0.593135,0.19995363,0.4487095,0.43955132,0.3335562,0.55284333,0.20627894,0.7362214,0.6702934,0.7121866,0.5930266,0.35795045,0.8930575,0.6979032,0.7801295,0.24145052,0.6001429,0.45691967,0.5336557,0.46694043,0.6299576,0.73347694,0.28322384,0.12209168
0.06385064,0.16173436,0.16992988,0.21102545,-0.040760156,-0.0688591,0.88798285,0.70111555,0.63147396,0.7484672,0.5296057,0.6039654,0.14883788,0.4342994,0.42793345,0.30864042,0.560659,0.14392635,0.7520614,0.6904274,0.7331037,0.6143395,0.3636395,0.9334249,0.71920294,0.8209229,0.22182065,0.6133533,0.42176154,0.53058106,0.4691074,0.6487752,0.7603666,0.24977057,0.048898824
0.003055568,0.09564781,0.09318299,0.15428033,-0.115234055,-0.1516539,0.9231129,0.71310294,0.63048273,0.7916947,0.5246796,0.61474824,0.08495,0.41305652,0.40889674,0.2776177,0.561676,0.076150194,0.77117074,0.7146647,0.74880475,0.63992023,0.36247957,0.97937423,0.742836,0.8630423,0.20622988,0.6372675,0.38536662,0.53864044,0.48535055,0.6555072,0.7825818,0.19922869,-0.0156191215
-0.052963015,0.034514684,0.02459315,0.09811417,-0.19213936,-0.2240706,0.9573075,0.7248628,0.631486,0.8179676,0.5176206,0.6223087,0.019469222,0.39652076,0.39573148,0.24247736,0.57118076,-0.01685084,0.7867776,0.72154933,0.784564,0.65198004,0.3648764,1.017399,0.7713498,0.91336024,0.17564811,0.6488152,0.34368438,0.5566067,0.4995924,0.66355926,0.7942981,0.1481921,-0.10128433
-0.11630769,-0.024608776,-0.056133326,0.044485547,-0.26645714,-0.30694264,0.9957201,0.7248437,0.6413623,0.85247546,0.51576436,0.6326266,-0.05464048,0.39281398,0.36960486,0.2042462,0.569095,-0.09401315,0.8022157,0.74574465,0.8113773,0.670149,0.37243038,1.0546027,0.8009913,0.96268845,0.121159144,0.6593206,0.2916221,0.5490102,0.5316029,0.68216956,0.8288578,0.097378284,-0.17091182
-0.17468503,-0.085896075,-0.12429192,-0.0080782715,-0.3277389,-0.38538986,1.0435152,0.73277587,0.64104193,0.8820648,0.50795555,0.64782953,-0.11924227,0.37945387,0.34279233,0.1782457,0.57161635,-0.16948643,0.8152347,0.7459047,0.8457948,0.68497676,0.3833419,1.0934095,0.81670225,0.99770933,0.076737076,0.6752594,0.24443428,0.54199535,0.5274057,0.6880555,0.8488772,0.044520337,-0.25065458
-0.23032254,-0.15233056,-0.18985626,-0.05780904,-0.4013542,-0.45464367,1.0762051,0.7448597,0.64910597,0.9064403,0.5049166,0.6691803,-0.18233372,0.3668378,0.31970334,0.13306792,0.58030736,-0.25408748,0.8298496,0.7576,0.88295066,0.68938655,0.38148448,1.121617,0.8409245,1.0419134,0.04358954,0.69361097,0.18346253,0.5309771,0.54222745,0.70512015,0.86865014,-0.011997727,-0.32588115
-0.29410636,-0.22816624,-0.26879683,-0.10980747,-0.45922816,-0.5254484,1.1102322,0.74608135,0.6503635,0.941528,0.4928019,0.68645096,-0.24518973,0.36192232,0.28402892,0.10331527,0.5797417,-0.3302752,0.84797317,0.76995885,0.91708714,0.7009367,0.3679544,1.1440563,0.8745408,1.0733771,0.021855604,0.7144393,0.11782018,0.5221656,0.57206136,0.7154539,0.8972391,-0.074625574,-0.3961951
