方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9787874652045547,forecast_load_mw_latest_available|gen_fuel_nuclear_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.978736030687459,gen_fuel_nuclear_pct|forecast_load_mw_latest_available
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9789234711720407,forecast_load_mw_latest_available|gross_sched_interchange_mw
XGBoost,树模型特征重要性（2016）,0.9787874652045547,forecast_load_mw_latest_available|gen_fuel_nuclear_pct
Lasso,线性稀疏（1996）,0.9787874652045547,forecast_load_mw_latest_available|gen_fuel_nuclear_pct
Pearson,相关系数排序（只看两两关系）,0.9787874652045547,forecast_load_mw_latest_available|gen_fuel_nuclear_pct
