处置方式,target,中文名,选中数,R2
未处置,bus_115_va_deg,节点115电压相角,7,0.9799413312032131
加噪72%,bus_115_va_deg,节点115电压相角,7,0.7006954658100292
加噪76%,bus_115_va_deg,节点115电压相角,7,0.6774489942021895
加噪80%,bus_115_va_deg,节点115电压相角,7,0.6531562699505118
聚合8h,bus_115_va_deg,节点115电压相角,7,0.805329139341747
聚合10h,bus_115_va_deg,节点115电压相角,7,0.6926658025970148
未处置,bus_215_va_deg,节点215电压相角,9,0.960408034373721
加噪72%,bus_215_va_deg,节点215电压相角,9,0.7512542141386003
加噪76%,bus_215_va_deg,节点215电压相角,9,0.7320406965284779
加噪80%,bus_215_va_deg,节点215电压相角,9,0.7144913953995371
聚合8h,bus_215_va_deg,节点215电压相角,9,0.8653524145065796
聚合10h,bus_215_va_deg,节点215电压相角,9,0.6303725437755534
未处置,bus_315_va_deg,节点315电压相角,7,0.9632693895620178
加噪72%,bus_315_va_deg,节点315电压相角,7,0.7228344265280817
加噪76%,bus_315_va_deg,节点315电压相角,7,0.7053571667269455
加噪80%,bus_315_va_deg,节点315电压相角,7,0.6838287996330276
聚合8h,bus_315_va_deg,节点315电压相角,7,0.8328566480081977
聚合10h,bus_315_va_deg,节点315电压相角,7,0.6772761403076593
未处置,branch_ab1_loading_pct,线路AB1负载率,7,0.9616055162618513
加噪72%,branch_ab1_loading_pct,线路AB1负载率,7,0.12151305816623081
加噪76%,branch_ab1_loading_pct,线路AB1负载率,7,0.09731406040970625
加噪80%,branch_ab1_loading_pct,线路AB1负载率,7,0.08301834597437174
聚合8h,branch_ab1_loading_pct,线路AB1负载率,7,0.750739763528414
聚合10h,branch_ab1_loading_pct,线路AB1负载率,7,0.6588592029625038
未处置,branch_ab2_loading_pct,线路AB2负载率,11,0.9767851724220087
加噪72%,branch_ab2_loading_pct,线路AB2负载率,11,0.7539500462038289
加噪76%,branch_ab2_loading_pct,线路AB2负载率,11,0.7416976823313328
加噪80%,branch_ab2_loading_pct,线路AB2负载率,11,0.7248969735391605
聚合8h,branch_ab2_loading_pct,线路AB2负载率,11,0.8644888912666997
聚合10h,branch_ab2_loading_pct,线路AB2负载率,11,0.6283790991503362
未处置,branch_ab3_loading_pct,线路AB3负载率,9,0.9086988861041618
加噪72%,branch_ab3_loading_pct,线路AB3负载率,9,0.44804525878598556
加噪76%,branch_ab3_loading_pct,线路AB3负载率,9,0.4332968918359851
加噪80%,branch_ab3_loading_pct,线路AB3负载率,9,0.4024773613756998
聚合8h,branch_ab3_loading_pct,线路AB3负载率,9,0.6362543460898911
聚合10h,branch_ab3_loading_pct,线路AB3负载率,9,0.33510090340938214
未处置,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9681977650914451
加噪72%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.7820498831511915
加噪76%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.7678040577193435
加噪80%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.7526984415919855
聚合8h,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8204944576509089
聚合10h,branch_ca_1_loading_pct,线路CA-1负载率,11,0.5511509113322155
未处置,branch_cb_1_loading_pct,线路CB-1负载率,12,0.97185511082534
加噪72%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.7604178708099053
加噪76%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.7464239206227041
加噪80%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.7344496828839272
聚合8h,branch_cb_1_loading_pct,线路CB-1负载率,12,0.8361508530953179
聚合10h,branch_cb_1_loading_pct,线路CB-1负载率,12,0.6151415255786763
未处置,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9990158298957732
加噪72%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.4701606885931908
加噪76%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.44285873773407425
加噪80%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.4164860742394251
聚合8h,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.7665932116059412
聚合10h,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.5842022463053145
未处置,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9974364970533391
加噪72%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.5230732343188959
加噪76%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.49788556694172414
加噪80%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.47408353621592714
聚合8h,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.8516234082550906
聚合10h,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.48181894626895705
未处置,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9213162260045409
加噪72%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.6939733794453737
加噪76%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.6855889363364186
加噪80%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.672979701300089
聚合8h,gen_317_wind_1_pg_mw,机组317风电出力,11,0.823051045382613
聚合10h,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7568164005727543
未处置,gen_321_cc_1_status,机组321投入状态,4,0.9928930758296541
加噪72%,gen_321_cc_1_status,机组321投入状态,4,0.7328472119103415
加噪76%,gen_321_cc_1_status,机组321投入状态,4,0.713771991522668
加噪80%,gen_321_cc_1_status,机组321投入状态,4,0.693811089163906
聚合8h,gen_321_cc_1_status,机组321投入状态,4,0.7317090457553379
聚合10h,gen_321_cc_1_status,机组321投入状态,4,0.5657327835794986
