方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9741805112458858,area_3_fuel_natural_gas_mw|area_1_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|area_2_fuel_coal_mw|area_1_fuel_hydro_mw|area_1_fuel_coal_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9671299153062377,area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_2_fuel_natural_gas_mw|system_losses_mw|area_3_fuel_wind_mw|gen_fuel_coal_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|area_1_fuel_nuclear_mw|area_3_fuel_coal_mw|area_1_fuel_coal_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.949615345087067,area_1_fuel_wind_mw|area_3_fuel_solar_mw|reserve_reg_down_mw|area_1_fuel_nuclear_mw|gen_fuel_nuclear_mw|area_1_fuel_hydro_mw|area_2_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_1_fuel_natural_gas_mw|area_3_fuel_coal_mw|gen_fuel_wind_mw|area_3_load_actual_mw
XGBoost,树模型特征重要性（2016）,0.958365117465078,area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_load_day_ahead_mw|gen_fuel_solar_mw|area_3_fuel_solar_mw|area_1_generation_mw|area_3_fuel_natural_gas_mw|area_2_generation_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw|area_1_fuel_hydro_mw
Lasso,线性稀疏（1996）,0.9592153471455689,area_1_fuel_wind_mw|gen_fuel_nuclear_mw|area_3_fuel_solar_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_coal_mw|area_1_fuel_hydro_mw|gen_fuel_hydro_mw|area_3_load_actual_mw|area_1_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_coal_mw
Pearson,相关系数排序（只看两两关系）,0.920863719124279,area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_fuel_coal_mw|reserve_reg_up_mw|area_2_fuel_coal_mw
