gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.85119224,0.9623572,0.801913,0.80769414,0.98248655,1.001762,0.90691555,0.7431511,0.92886794,0.75736773,0.80443865,0.89910185,0.85943425,0.8398721,0.7746076,0.8445938,1.0533198,0.87668574,0.9372296,0.824856,0.89150625,0.75435764,0.74412876,0.8433888,0.7898002,0.94129044,0.8000264,0.9584622,0.86577183,0.81415397,0.77774566,0.9011249,0.9676734,0.79898435,0.98548937,0.9792395,0.9980949,0.9772532,0.92844903,0.9408935
0.75338674,0.89219695,0.703562,0.73254335,1.0013915,0.9601815,0.8659057,0.56267995,0.8885285,0.7287174,0.68089294,0.83352274,0.80404264,0.78143,0.63196623,0.77348226,1.0377953,0.8012347,0.87247807,0.75581115,0.87693405,0.6095149,0.6392668,0.75270396,0.67241013,0.89409155,0.7089032,0.87136483,0.76232165,0.68080384,0.61880946,0.7901852,0.87751704,0.66910464,0.97049236,0.9249377,0.95935404,0.93958694,0.9236325,0.9479418
0.69254535,0.83170253,0.6319657,0.61413825,1.008272,0.9331334,0.82542586,0.42711732,0.8549796,0.7295287,0.6264555,0.74608266,0.7419266,0.687634,0.51986635,0.71862435,1.0224895,0.7216815,0.83513814,0.70830286,0.8608242,0.4973194,0.54271996,0.6602681,0.6369399,0.8586639,0.6796752,0.8365871,0.6828254,0.59891343,0.48007357,0.73506707,0.79486674,0.5889409,0.95162195,0.91124445,0.9454525,0.9144964,0.92904186,0.9930825
0.62229514,0.7584455,0.5590525,0.49041098,1.0237148,0.89279354,0.8060221,0.33678707,0.8247575,0.7624798,0.5915976,0.6857722,0.7011488,0.644493,0.427965,0.66371435,0.997614,0.6709899,0.7868025,0.6544843,0.83813465,0.40734795,0.468086,0.63382626,0.61787707,0.87202,0.6495713,0.795778,0.60143167,0.5619267,0.36595154,0.6742489,0.7200456,0.53635395,0.9599375,0.8648993,0.89504457,0.872665,0.94533,1.0404773
0.5988984,0.7372489,0.5222649,0.42663324,1.0048662,0.87533784,0.7860852,0.26967564,0.8237868,0.79966956,0.5562864,0.65945834,0.6634467,0.58814013,0.37056693,0.6327104,0.97880507,0.6316085,0.7021815,0.6330622,0.8161731,0.34861526,0.42442587,0.57948685,0.5831606,0.8633169,0.6431793,0.79342926,0.5353327,0.5239867,0.27163905,0.63718617,0.6803771,0.49445716,1.0343913,0.79550886,0.84981877,0.8600028,0.9776868,1.158315
0.55920696,0.7197868,0.47829217,0.38225904,0.9944761,0.85581136,0.78875643,0.22877343,0.81695086,0.8005702,0.5469073,0.65272576,0.6398792,0.56298745,0.3264841,0.6319672,0.97731274,0.6000495,0.68053705,0.6222246,0.8082516,0.32154483,0.39396185,0.5285154,0.54495317,0.8307652,0.65584266,0.78388065,0.49001458,0.4877936,0.19643055,0.5987882,0.6453488,0.4362732,1.0853091,0.78678995,0.8392655,0.8135923,1.0077727,1.176529
0.53208345,0.7065073,0.4463626,0.34863564,0.95724577,0.82553464,0.7779474,0.18560544,0.7948687,0.80264467,0.5333202,0.6240183,0.62766355,0.5163893,0.28222582,0.6113339,0.9605697,0.56758314,0.64360493,0.5909452,0.7631219,0.2941582,0.38322657,0.49582517,0.50312096,0.80965817,0.6385306,0.79868877,0.45534566,0.47440812,0.14295954,0.578083,0.6209967,0.388716,1.1332042,0.77304137,0.807741,0.806066,1.0302943,1.223674
0.51348853,0.6970254,0.43479624,0.30550006,0.93552357,0.8175968,0.79626685,0.15984015,0.77549684,0.80687886,0.527633,0.6281651,0.6055736,0.47919825,0.2588682,0.62398404,0.95390475,0.5333368,0.58678025,0.58094656,0.7268995,0.28046963,0.38666242,0.4770104,0.48370162,0.8017278,0.6414514,0.8165225,0.43276075,0.46584305,0.100359365,0.56874895,0.5808248,0.35224518,1.141814,0.7564124,0.773955,0.78817314,1.0280062,1.2641557
0.5130727,0.6881979,0.41844383,0.27261388,0.92275226,0.8030229,0.7802572,0.14326784,0.7723925,0.8184194,0.53117824,0.62503284,0.5900208,0.4519453,0.2379271,0.6050061,0.9415858,0.51037025,0.5602846,0.5614633,0.70531106,0.24138856,0.3506597,0.47878566,0.46808773,0.77669907,0.60735005,0.8251608,0.40678823,0.48892245,0.06918734,0.5596479,0.57504463,0.3282358,1.1765293,0.7609936,0.74741536,0.7760026,1.024762,1.2952241
