gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,gross_sched_interchange_mw
0.309472,0.09309572,0.16139303,0.021536423,0.4669346,0.09303197,0.117180645,0.01627157,0.14448528,0.080875374,0.54176897,0.3445763,0.058890823,0.1578503,0.2665101,0.03163484,0.09928465,0.023208965,0.408335,0.25728488,0.3245043,0.008049794,0.35832512,0.1034027,0.74959326,0.7009564,0.61796814,1.3051996,0.9309021,0.015136813,0.028395364
0.29455343,0.084579594,0.1456133,0.014651159,0.4599277,0.08089387,0.11147744,0.010684622,0.13469061,0.076422215,0.5269601,0.32794437,0.052787777,0.14861575,0.24939059,0.022588162,0.08296485,0.017051293,0.37831306,0.24502136,0.31672934,0.004685593,0.34032077,0.09109132,0.73493004,0.68424404,0.6004093,1.2870853,0.93219495,0.009822338,0.022309843
0.28302708,0.07431358,0.13022056,0.009723706,0.45429486,0.0743746,0.106909014,0.0065391366,0.12756735,0.07280654,0.51230407,0.32980615,0.04564361,0.14137046,0.2342021,0.015834145,0.071475916,0.012164537,0.3699548,0.23096322,0.30597198,0.0026253783,0.32607538,0.08250505,0.7202007,0.6713231,0.5855945,1.2714226,0.9266285,0.0061530056,0.017092645
0.27152815,0.06655791,0.11548049,0.0062156403,0.45171198,0.06698037,0.099706024,0.0039544934,0.12513272,0.06931029,0.5051572,0.3210916,0.038870502,0.13582504,0.23207815,0.01071471,0.06136463,0.008705122,0.36371762,0.22094816,0.2915704,0.0013578563,0.31303418,0.07078385,0.70941883,0.6601182,0.57509184,1.2489375,0.9151018,0.0036818122,0.013533283
0.26869014,0.05944626,0.10257274,0.0038158074,0.44975227,0.05955819,0.09486997,0.0021541112,0.12559272,0.06690777,0.49144247,0.3155508,0.034767047,0.13316312,0.22256479,0.006857811,0.05032666,0.0057794233,0.34622812,0.21637979,0.28461307,0.0006558826,0.3011301,0.060932126,0.69215643,0.6402349,0.55265117,1.2401516,0.909529,0.00210339,0.010319238
0.26716712,0.051975876,0.089091614,0.0022474464,0.44121957,0.0559764,0.089374475,0.0010857166,0.12668703,0.07096521,0.47683528,0.3129917,0.029396312,0.13095453,0.21347868,0.0043217423,0.042178076,0.0036014945,0.34393433,0.20367303,0.277733,0.000289119,0.28799793,0.054042287,0.6777955,0.6294079,0.5415528,1.2176418,0.9055414,0.0011508805,0.0072761294
0.26132286,0.046286233,0.07854565,0.0012569975,0.43804535,0.050415043,0.08745805,0.00050698814,0.1266387,0.0693315,0.47460026,0.30236065,0.02629049,0.12849699,0.20428273,0.0025958598,0.03410292,0.002073517,0.33246157,0.1952984,0.26595575,0.000116841395,0.27311075,0.047054306,0.6706339,0.6216547,0.5306266,1.1918237,0.9030516,0.00059268257,0.0051606055
0.257888,0.04112914,0.06859578,0.0006747096,0.42726693,0.04787819,0.085735865,0.00021866841,0.12598489,0.067650005,0.4686045,0.29456213,0.021663876,0.122620076,0.19792728,0.0014902012,0.027650572,0.0011188202,0.32650894,0.18824475,0.2510451,4.3440392e-05,0.26436698,0.041585773,0.6546852,0.6047564,0.51520395,1.1889865,0.90291595,0.0002885417,0.0032844283
0.24760951,0.035567023,0.05825878,0.00034450353,0.42988712,0.0402109,0.08390938,8.75207e-05,0.12586337,0.065472595,0.46557465,0.2895879,0.018093914,0.12013378,0.19159721,0.00081580714,0.021908075,0.0005530916,0.31890658,0.18290395,0.23447472,1.486009e-05,0.2512734,0.03549459,0.64607143,0.58992535,0.506092,1.1753279,0.8769085,0.00013267614,0.002062641
0.24744405,0.029642168,0.04890465,0.00016740509,0.41771585,0.037662093,0.08354382,3.227779e-05,0.12397206,0.06981572,0.4435795,0.2828466,0.014794325,0.11542938,0.18207312,0.00042369758,0.016728288,0.00025736802,0.3039646,0.17723003,0.23059082,4.6586174e-06,0.2419887,0.030219972,0.6353589,0.5879722,0.49126098,1.1533612,0.8970003,5.7234913e-05,0.0012168157
0.24013916,0.025244202,0.042538702,7.671749e-05,0.4142305,0.03694005,0.07975971,1.098311e-05,0.12023542,0.06933095,0.44617036,0.27053633,0.011746517,0.11319268,0.18005002,0.00021035205,0.01286619,0.000109327215,0.2970855,0.1675004,0.22311299,1.3259179e-06,0.23138309,0.026593095,0.6183666,0.5731975,0.48123372,1.1415362,0.8834227,2.3155892e-05,0.00068395684
0.23538709,0.021292478,0.035096996,3.311694e-05,0.40437576,0.035579935,0.076795414,3.42415e-06,0.11767434,0.07598201,0.43773487,0.26799768,0.009245772,0.11294366,0.1761577,9.85697e-05,0.009570982,4.3170032e-05,0.28748357,0.16749486,0.2219991,3.4187707e-07,0.22198568,0.023053259,0.61451197,0.56730926,0.47207355,1.126192,0.8855976,8.71753e-06,0.00035778474
0.22458202,0.017097166,0.029604103,1.3407414e-05,0.40167117,0.033070195,0.07809263,9.742026e-07,0.117128655,0.07763635,0.43539545,0.2703763,0.007080128,0.10821817,0.17067374,4.3568598e-05,0.0070313173,1.5772484e-05,0.2849228,0.16028395,0.21836886,7.9288164e-08,0.21169853,0.018505441,0.60360646,0.5605462,0.4627697,1.1089644,0.8756966,3.042774e-06,0.00017715029
0.22520389,0.013673245,0.023786189,5.0632766e-06,0.40169385,0.03135881,0.07480542,2.512934e-07,0.11480467,0.0802614,0.42452112,0.26715413,0.005344996,0.114674054,0.16573383,1.8064477e-05,0.004966584,5.2997702e-06,0.27089605,0.15698709,0.20129271,1.6402986e-08,0.2022916,0.015490373,0.58711946,0.54155344,0.44732893,1.1065456,0.86945564,9.789547e-07,8.21678e-05
0.22028308,0.010343332,0.018961452,1.7747695e-06,0.40358084,0.030460477,0.071586266,5.8358207e-08,0.1168465,0.08089256,0.41615427,0.25709873,0.0038344637,0.11109717,0.15805092,7.010765e-06,0.0034833797,1.6335988e-06,0.27301252,0.15064116,0.19860247,3.0015832e-09,0.1931133,0.012288941,0.58618116,0.53933984,0.4414929,1.0851171,0.86961305,2.8867763e-07,3.5803572e-05
0.2133737,0.007901826,0.014844251,5.742052e-07,0.4029631,0.027938578,0.070914395,1.2106227e-08,0.11692208,0.082014434,0.41106007,0.25462583,0.0027648604,0.11002592,0.15905063,2.5287761e-06,0.0023428295,4.5925438e-07,0.26680923,0.1471041,0.198346,4.8127424e-10,0.18358837,0.009558216,0.57601285,0.5334017,0.43210587,1.0754431,0.8475859,7.75123e-08,1.45810745e-05
0.2146312,0.0057607954,0.011595777,1.7047441e-07,0.3882279,0.027718361,0.068663836,2.2236994e-09,0.11526403,0.08191097,0.40924525,0.2513619,0.0019228485,0.1096664,0.1534439,8.4363387e-07,0.0015290692,1.17030176e-07,0.257597,0.14392067,0.19032098,6.6928116e-11,0.17559738,0.0073427195,0.5636636,0.52156204,0.42079452,1.07068,0.8511475,1.881524e-08,5.521472e-06
0.21054225,0.0041179885,0.008598218,4.61295e-08,0.39237753,0.026560092,0.068363436,3.5827896e-10,0.1197462,0.09235642,0.39707255,0.24824461,0.0012927769,0.10800961,0.15306178,2.5884864e-07,0.00096591364,2.6854623e-08,0.24989685,0.1393013,0.18640484,7.980868e-12,0.16705884,0.005318151,0.5550579,0.51310796,0.4110954,1.0600761,0.83650166,4.0968913e-09,1.941044e-06
0.20780218,0.0028615012,0.0063007,1.1295788e-08,0.38598654,0.023907859,0.06677267,5.011018e-11,0.11685719,0.09820008,0.39265028,0.24274985,0.00084235956,0.10610049,0.15026703,7.2583234e-08,0.00058985816,5.5026765e-09,0.24535942,0.13339421,0.18595137,8.060069e-13,0.1595836,0.0037689295,0.55118823,0.51113826,0.40415624,1.045155,0.84001386,7.9345425e-10,6.297845e-07
0.20514433,0.001914716,0.004593411,2.4838709e-09,0.38504985,0.023482729,0.06629291,6.015737e-12,0.11766809,0.0962599,0.395125,0.24114303,0.0005309676,0.10825504,0.1467008,1.8474033e-08,0.00034724534,9.980802e-10,0.23844212,0.13079312,0.17870638,6.801295e-14,0.15229148,0.0025984806,0.5429376,0.49849656,0.39588022,1.0390086,0.8273397,1.3543137e-10,1.8745767e-07
0.20273323,0.001234248,0.0032126803,4.863594e-10,0.38290456,0.02275417,0.063376464,6.122766e-13,0.11822086,0.09608283,0.38393238,0.2420219,0.0003214063,0.108116195,0.14533092,4.2356545e-09,0.00019634338,1.5872097e-10,0.23459876,0.12782009,0.17660582,4.7246786e-15,0.14614245,0.0016450138,0.535132,0.4950941,0.38672292,1.0251768,0.8219208,2.0169495e-11,5.0878974e-08
0.20400754,0.000768897,0.0021911634,8.40291e-11,0.38209113,0.020840552,0.063756034,5.2124832e-14,0.12285427,0.093928345,0.36800343,0.23609565,0.00018749456,0.108324796,0.14137089,8.67742e-10,0.00010629839,2.190058e-11,0.23263903,0.12974614,0.17202257,2.6584042e-16,0.13901693,0.001007965,0.52751136,0.4808714,0.37605998,1.0202312,0.8137234,2.592487e-12,1.2501146e-08
0.1981068,0.00046162307,0.0014723778,1.26833466e-11,0.37228882,0.021644274,0.060293727,3.657401e-15,0.122009724,0.09321511,0.37325174,0.23493853,0.000104868486,0.10650489,0.13926242,1.5744386e-10,5.50412e-05,2.5922845e-12,0.23231688,0.13143848,0.16209067,1.19010784e-17,0.13111354,0.0005899132,0.52345514,0.4799588,0.37190312,1.0056392,0.80958843,2.8420072e-13,2.7599742e-09
0.19219074,0.00026677162,0.00094496715,1.6545357e-12,0.37461588,0.021156644,0.058788367,2.0811704e-16,0.11649982,0.09220141,0.36191434,0.23325257,5.6256482e-05,0.10671917,0.13559942,2.5058313e-11,2.7094793e-05,2.599648e-13,0.22983345,0.13128702,0.15737614,4.1565412e-19,0.124641195,0.00032796114,0.5107589,0.4672849,0.3594401,0.997369,0.8006325,2.6229563e-14,5.4292765e-10
0.18678321,0.0001481263,0.0005900612,1.8434962e-13,0.36951318,0.02011026,0.055316366,9.434949e-18,0.11711074,0.10019628,0.36030328,0.22905326,2.8802662e-05,0.10291445,0.13217582,3.462004e-12,1.2647307e-05,2.1789743e-14,0.22811075,0.120368086,0.15474066,1.10825085e-20,0.1189595,0.00017329016,0.50957626,0.46773383,0.35617828,0.9824253,0.80490327,2.0093585e-15,9.430074e-11
0.18126255,7.8475605e-05,0.00035649972,1.7320113e-14,0.36411175,0.01983976,0.056735426,3.3417983e-19,0.11851882,0.1028422,0.35679698,0.22809118,1.4020828e-05,0.0997584,0.13006525,4.104925e-13,5.5752475e-06,1.5039813e-15,0.22427204,0.11406748,0.1522239,2.202291e-22,0.11317153,8.6723136e-05,0.5019809,0.46124488,0.34686053,0.98074245,0.79263306,1.2580174e-16,1.4319707e-11
0.18279548,3.9630344e-05,0.00020722424,1.3530173e-15,0.36203748,0.019010816,0.055975545,9.050317e-21,0.11831952,0.09447545,0.35098726,0.22505434,6.4694063e-06,0.10465552,0.12614326,4.1256315e-14,2.311457e-06,8.4103046e-17,0.21513595,0.114912026,0.14795464,3.1758246e-24,0.10775638,4.1170675e-05,0.49702752,0.453578,0.3402152,0.9733914,0.7986668,6.3283105e-18,1.8807265e-12
0.18018386,1.9009069e-05,0.000115723175,8.654181e-17,0.3577463,0.018846799,0.053842757,1.8298886e-22,0.123640254,0.096505605,0.34315297,0.22232111,2.8164734e-06,0.10252783,0.12453118,3.4673042e-15,8.973424e-07,3.7427888e-18,0.21762396,0.11518072,0.14359985,3.2259727e-26,0.10096318,1.844903e-05,0.48763302,0.44282997,0.33325526,0.96536195,0.78805625,2.5103528e-19,2.1115215e-13
0.17831865,8.6304135e-06,6.184288e-05,4.4565576e-18,0.35254288,0.01804222,0.05486322,2.6899902e-24,0.12168367,0.094772086,0.33800578,0.2117435,1.1523164e-06,0.10486276,0.12658685,2.4008694e-16,3.2447804e-07,1.2996987e-19,0.21459435,0.112634026,0.14864092,2.2325926e-28,0.09493172,7.781672e-06,0.48400834,0.44192132,0.3299705,0.9597954,0.7746766,7.692599e-21,2.0007293e-14
0.17262729,3.693625e-06,3.156632e-05,1.8137596e-19,0.35439527,0.017429348,0.05381715,2.7913033e-26,0.11905912,0.09880457,0.33753538,0.2197599,4.4091763e-07,0.10668213,0.124643445,1.3475926e-17,1.0869307e-07,3.4460478e-21,0.21058472,0.11089947,0.14175858,1.0138878e-30,0.08978886,3.0760136e-06,0.4812702,0.43913797,0.32501405,0.94694877,0.7741208,1.7799447e-22,1.5777378e-15
0.17143324,1.4834853e-06,1.5323012e-05,5.716174e-21,0.35235846,0.016493296,0.053941526,1.9779611e-28,0.11978233,0.09734845,0.33514938,0.21372896,1.5698328e-07,0.108906984,0.119329214,6.0229786e-19,3.3532338e-08,6.81064e-23,0.20856337,0.11117753,0.14016512,2.8953724e-33,0.08464769,1.1340344e-06,0.46992,0.42808,0.3150509,0.9419105,0.7682229,3.0322411e-24,1.0197449e-16
0.1702322,5.564454e-07,7.0449278e-06,1.3639159e-22,0.34742656,0.01601652,0.051713962,9.221276e-31,0.12397799,0.09935237,0.32980123,0.2099221,5.1720164e-08,0.10759878,0.11764233,2.1018192e-20,9.467153e-09,9.76883e-25,0.20420535,0.10652071,0.1361765,4.9523748e-36,0.08001304,3.8789622e-07,0.47098607,0.42835885,0.31450263,0.9289839,0.7632729,3.6977248e-26,5.3122246e-18
0.16477232,1.939195e-07,3.0563042e-06,2.4031261e-24,0.3401043,0.016143002,0.050948285,2.7113023e-33,0.12521192,0.096555084,0.32450724,0.20421179,1.5674045e-08,0.10685507,0.11726954,5.6039795e-22,2.4292577e-09,9.87074e-27,0.20237942,0.10246422,0.13725357,4.79657e-39,0.07420588,1.2239512e-07,0.45951423,0.41568366,0.2997591,0.92580634,0.7608011,3.1280552e-28,2.1897079e-19
0.16492629,6.24352e-08,1.2463797e-06,3.04093e-26,0.34218386,0.015856158,0.049962323,4.790921e-36,0.12532729,0.098471716,0.32117268,0.20605089,4.3411967e-09,0.10235011,0.117517956,1.114544e-23,5.6232563e-10,6.7954145e-29,0.20078646,0.10448086,0.13491656,2.463e-42,0.06930123,3.540597e-08,0.45822075,0.41224027,0.2949154,0.9205305,0.75033164,1.7719693e-30,6.998531e-21
0.16168809,1.8458524e-08,4.752232e-07,2.6791421e-28,0.33629444,0.014893504,0.05158192,4.812265e-39,0.12612663,0.10033222,0.31831625,0.20725669,1.091198e-09,0.10361211,0.118037276,1.6099999e-25,1.1647924e-10,3.0698051e-31,0.19988735,0.10222858,0.13876535,0.0,0.065185726,9.326709e-09,0.45812106,0.41036552,0.29365206,0.91082466,0.74104697,6.4589506e-33,1.6959098e-22
0.15521063,4.977885e-09,1.6854744e-07,1.5871288e-30,0.34035912,0.014791316,0.050027948,2.576e-42,0.12274054,0.09871833,0.3147593,0.20318565,2.4704108e-10,0.10712038,0.11509554,1.63976e-27,2.1401608e-11,8.720075e-34,0.19321552,0.106699936,0.13494006,0.0,0.06079412,2.2210083e-09,0.4482268,0.40524083,0.28630686,0.9076966,0.7370781,1.4477278e-35,3.039395e-24
0.159182,1.2158081e-09,5.531068e-08,6.0781764e-33,0.3359587,0.014269244,0.051255442,0.0,0.13055079,0.09590991,0.31582457,0.19802853,4.996158e-11,0.102453224,0.11133812,1.13895404e-29,3.4549536e-12,1.48348765e-36,0.19855103,0.101866454,0.13008964,0.0,0.05595086,4.7435483e-10,0.44359967,0.4010047,0.2794789,0.89491576,0.73541915,1.8941473e-38,3.9189128e-26
0.14899328,2.6686311e-10,1.6690668e-08,1.438979e-35,0.33155832,0.013920116,0.050701477,0.0,0.12405797,0.09872941,0.30907702,0.18894912,8.945974e-12,0.09940581,0.11291497,5.196631e-32,4.849946e-13,1.428875e-39,0.196113,0.102542505,0.13008903,0.0,0.05167234,9.0086785e-11,0.4349769,0.39471096,0.2751682,0.8921977,0.7337863,1.3618e-41,3.5248652e-28
0.14541993,5.2198846e-11,4.601751e-09,2.0007193e-38,0.3290457,0.013109049,0.049612734,0.0,0.12572429,0.095883764,0.30393156,0.19546336,1.4045425e-12,0.1012526,0.10793445,1.4926908e-34,5.8537464e-14,7.3e-43,0.19671564,0.101091154,0.12452895,0.0,0.047935203,1.5072148e-11,0.43478268,0.39321378,0.27346948,0.8801557,0.7270128,6e-45,2.1364258e-30
0.1410605,9.0160665e-12,1.1510899e-09,1.5395e-41,0.32800236,0.013071075,0.048286278,0.0,0.124542706,0.09577459,0.2997983,0.18974967,1.913282e-13,0.10020407,0.10443604,2.5713526e-37,6.0005677e-15,0.0,0.19470052,0.097716615,0.12541431,0.0,0.04345848,2.1991157e-12,0.42884278,0.38702762,0.26748893,0.87798196,0.72381836,0.0,8.391435e-33
0.1440401,1.3615897e-12,2.592555e-10,6e-45,0.32513317,0.011920362,0.04820195,0.0,0.13053748,0.09234719,0.29467818,0.189157,2.2355102e-14,0.09995471,0.10685707,2.51174e-40,5.154504e-16,0.0,0.19489725,0.097259454,0.122763544,0.0,0.039499894,2.7675318e-13,0.42097512,0.38089448,0.2640822,0.8759492,0.7169659,0.0,2.0431871e-35
0.13564304,1.7785273e-13,5.2142502e-11,0.0,0.32552987,0.012065261,0.04966657,0.0,0.13088456,0.096871234,0.29677698,0.19153802,2.2125424e-15,0.10072649,0.10911091,1.3e-43,3.6563216e-17,0.0,0.1960024,0.09604992,0.12593964,0.0,0.036203247,2.9681915e-14,0.41897103,0.37454376,0.25810108,0.86428,0.71438134,0.0,2.9309707e-38
0.13540614,1.9858789e-14,9.281338e-12,0.0,0.32662234,0.012388603,0.049072437,0.0,0.13182327,0.09864597,0.2963607,0.19163156,1.8297451e-16,0.103943564,0.10504005,0.0,2.1075969e-18,0.0,0.19342627,0.09908523,0.12120315,0.0,0.03236767,2.6776653e-15,0.41341603,0.37382525,0.25327125,0.8603263,0.70860195,0.0,2.3354e-41
0.13165928,1.8713418e-15,1.4479665e-12,0.0,0.325876,0.012946661,0.04699356,0.0,0.13112016,0.09706504,0.29143888,0.18994121,1.24561224e-17,0.10175449,0.10759555,0.0,9.699673e-20,0.0,0.19721541,0.09549287,0.12009643,0.0,0.028921572,2.0029391e-16,0.411158,0.37072274,0.24975438,0.85112876,0.7005853,0.0,1e-44
0.1311849,1.4674986e-16,1.9590263e-13,0.0,0.32694656,0.012379498,0.046250638,0.0,0.13341205,0.09757211,0.2906537,0.18843047,6.8668445e-19,0.10093444,0.10261563,0.0,3.4956592e-21,0.0,0.1955889,0.095158346,0.12103735,0.0,0.025733227,1.2229783e-17,0.4047823,0.3673556,0.24627255,0.8432109,0.70214266,0.0,0.0
0.12806395,9.431245e-18,2.272224e-14,0.0,0.3194306,0.012096578,0.044135023,0.0,0.13216017,0.095822476,0.28737205,0.19254349,3.0109733e-20,0.10299873,0.10392156,0.0,9.6562924e-23,0.0,0.19431856,0.09693094,0.114961505,0.0,0.022777678,5.9915664e-19,0.3980287,0.36034784,0.24036668,0.8402345,0.7094802,0.0,0.0
0.12620373,4.884592e-19,2.2311837e-15,0.0,0.3140329,0.012284154,0.043620344,0.0,0.13376161,0.09686438,0.28904885,0.1844627,1.0295266e-21,0.099616855,0.09886694,0.0,1.9967415e-24,0.0,0.1973663,0.09702745,0.1131072,0.0,0.019656235,2.3111297e-20,0.3955255,0.35772723,0.23797621,0.8391469,0.69403404,0.0,0.0
0.12067831,2.0014115e-20,1.8295073e-16,0.0,0.3129631,0.012390653,0.043588035,0.0,0.13311832,0.099560685,0.28458118,0.18184447,2.6857543e-23,0.10482079,0.097432934,0.0,3.0105992e-26,0.0,0.19730479,0.092411086,0.11330768,0.0,0.016940506,6.8742117e-22,0.39510387,0.35513642,0.23434068,0.829446,0.6891008,0.0,0.0
0.11733943,6.357143e-22,1.2340463e-17,0.0,0.31386754,0.012139908,0.042587288,0.0,0.13721485,0.09839542,0.2787472,0.17993349,5.217889e-25,0.10311799,0.09638437,0.0,3.214321e-28,0.0,0.20078368,0.09169039,0.110690236,0.0,0.014666957,1.5407698e-23,0.3872269,0.347573,0.22698237,0.82905066,0.6886528,0.0,0.0
0.11487966,1.530559e-23,6.7357617e-19,0.0,0.31231123,0.011507653,0.042571004,0.0,0.13943328,0.09348733,0.27931085,0.18179885,7.349577e-27,0.10563011,0.09704459,0.0,2.351785e-30,0.0,0.19472708,0.09296527,0.10956133,0.0,0.012254307,2.536754e-25,0.3839403,0.345902,0.22646517,0.81840384,0.6800961,0.0,0.0
0.1128859,2.7245269e-25,2.9218552e-20,0.0,0.3091299,0.010916495,0.041670386,0.0,0.14216052,0.0949124,0.26797813,0.1784602,7.283872e-29,0.09984095,0.09764119,0.0,1.1364723e-32,0.0,0.19030163,0.09293117,0.113559924,0.0,0.010037789,2.981961e-27,0.38436922,0.3430113,0.2240646,0.8108246,0.6782978,0.0,0.0
