epoch,train_loss,train_r2,test_loss,test_r2,train_total_loss,train_mse_loss,train_reg_loss,active_features
1,0.010179768365997505,0.9898202419281006,0.011542007373219991,0.9884458780288696,0.36297110639211333,0.23930162589529616,61.83473606240558,63
2,0.00424234340238029,0.9957576394081116,0.004513350550352209,0.9954819083213806,0.12270164946953728,0.006470222167211104,58.115710835344096,63
3,0.0027085268687247993,0.9972914457321167,0.0030626647522894483,0.9969341158866882,0.11079914162317639,0.0033770117415527264,53.711062418968964,63
4,0.001898760313021117,0.9981012344360352,0.002218704677233756,0.9977789521217346,0.1002294295570443,0.002384267661977676,48.92257880000646,63
5,0.001583858732077983,0.9984161257743835,0.001892569733971003,0.9981054663658142,0.08954953729913127,0.001764165945650376,43.89268380317135,63
6,0.0012334746889014175,0.9987665414810181,0.0014917013262364467,0.9985067248344421,0.07884230606490923,0.0014838738657156196,38.67921435532908,63
7,0.0010182123007671056,0.998981773853302,0.001225825209896756,0.9987728595733643,0.06787322375221529,0.0011996347468492344,33.33679306079739,63
8,0.0009390506278686183,0.9990609288215637,0.0011103307178262451,0.9988884925842285,0.05684140665296104,0.001037814251917896,27.90179491443183,63
9,0.0008497471521839587,0.999150276184082,0.0009324759450420261,0.9990665316581726,0.04574304695214869,0.0009422035092909903,22.400420595542972,63
10,0.0009828060792809144,0.9990171790122986,0.001039775438917653,0.9989591240882874,0.03468743277519009,0.0009005277439000683,16.893451737230013,52
11,0.000789777803968057,0.9992102384567261,0.0008164571597994725,0.9991827011108398,0.02434204159763412,0.000819401241404528,11.761319554734103,29
12,0.0006084107983852776,0.9993916153907776,0.0006303231444556931,0.9993690252304077,0.017590439058968146,0.0007804798242668171,8.404979296079762,25
13,0.000437116849876963,0.9995628595352173,0.0004637076114105606,0.9995357990264893,0.01327924273160807,0.0005805970863100819,6.349322551266098,15
14,0.0003187792882569948,0.9996812343597412,0.00033351296931913364,0.999666154384613,0.010228718790452299,0.00040900506686514617,4.90985663931939,12
15,0.00022278427723945246,0.9997771978378296,0.00023429229511792783,0.9997654557228088,0.008067853249571108,0.000272615357685696,3.8976187538682368,9
16,0.00012290113196406968,0.9998770952224731,0.00012716431545014507,0.9998726844787598,0.006493976879594982,0.00017020158710555014,3.161887502233824,7
17,0.00010411885591201591,0.9998958706855774,0.00010175862451255741,0.9998981356620789,0.005481035317188451,0.00012813266934089495,2.6764512126633084,7
18,7.424000229793147e-05,0.9999257326126099,7.064299315083545e-05,0.9999293088912964,0.004689631538755458,9.852317507285696e-05,2.2955540671410404,7
19,0.00012026451228059816,0.9998797178268433,0.00012076137451314447,0.9998791217803955,0.003950901504806339,7.6742834930602e-05,1.9370792422196412,6
20,9.873074060303734e-05,0.999901294708252,9.87798522401579e-05,0.9999011158943176,0.0032591571953946128,7.946658908836011e-05,1.5898452239760363,4
