target,中文名,n_pool,n_kept,n_dropped,thr_pearson,thr_spearman,thr_kendall,thr_nmi,thr_distance_corr,thr_hsic
bus_115_va_deg,节点115电压相角,46,42,4,0.16899338120374044,0.18235801079227154,0.1269759870137328,0.032969656556115154,0.19023396466229664,0.04622373001765298
bus_215_va_deg,节点215电压相角,46,34,12,0.3222367176273064,0.30882501355083103,0.22946823070586994,0.04258459903565787,0.3210519918092317,0.05296474934009243
bus_315_va_deg,节点315电压相角,46,35,11,0.25627185445213924,0.2735453322671769,0.1858252946188342,0.04393894397822691,0.2662980260914136,0.05483415657392482
branch_ab1_loading_pct,线路AB1负载率,43,41,2,0.22322923792295452,0.1997269055895826,0.13476403259980585,0.02344137357958384,0.2163726278706913,0.025029022528813883
branch_ab2_loading_pct,线路AB2负载率,43,29,14,0.33619034654542596,0.32443195783955575,0.2374376188094048,0.06490572581393694,0.333481438181351,0.08525899994091495
branch_ab3_loading_pct,线路AB3负载率,43,36,7,0.19372974850967248,0.14673029450012656,0.09964592458997454,0.03367609678443052,0.19845266245668788,0.040109942228136526
branch_ca_1_loading_pct,线路CA-1负载率,43,12,31,0.34583771377171585,0.34725734869428654,0.2552942987352706,0.09685463365281925,0.32809897095693835,0.11342814559718149
branch_cb_1_loading_pct,线路CB-1负载率,43,13,30,0.29173504466045586,0.30145023165886325,0.22295549555819272,0.07726844801047272,0.28408572147003813,0.08427159054249583
gen_121_nuclear_1_pg_mw,机组121核电出力,42,40,2,0.1313137645485005,0.09848001668098955,0.08751124583949271,0.02701280150244579,0.13486401847146662,0.016136729552015696
gen_218_cc_1_pg_mw,机组218联合循环出力,42,30,12,0.29616922217376385,0.28413433125615917,0.23185218124338453,0.07275072753584583,0.32221599049924543,0.14253437671891522
gen_317_wind_1_pg_mw,机组317风电出力,42,40,2,0.17465028805832464,0.1438691925270386,0.10464290131327829,0.02662515337129044,0.17393203259329001,0.024213194652827324
gen_321_cc_1_status,机组321投入状态,42,42,0,0.2515717962350014,0.25593278909158296,0.2426495805165414,0.0,0.26701898867257745,0.08699531859168172
