方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.6670117731620042,system_energy_price_rt|marginal_loss_price_rt|congestion_price_da|gross_sched_interchange_mw|net_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_solar_mw|total_losses|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|gen_fuel_other_renewables_mw|da_as_ss_mw_primary_reserve|marginal_loss_price_da|rmccp|da_as_as_req_mw_thirty_minutes_reserve|gross_inadv_interchange_mw|gen_fuel_wind_mw|gen_fuel_oil_mw|total_pjm_rmpcp_cr|gen_fuel_storage_mw|gross_actual_interchange_mw|total_pjm_loc_credit|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|net_inadv_interchange_mw|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|gen_fuel_gas_mw|total_lmp_da|total_pjm_rmccp_cr
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.6486092243881685,total_pjm_rmpcp_cr|gen_fuel_multiple_fuels_pct|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_storage_mw|rmccp|gen_fuel_wind_pct|gen_fuel_nuclear_mw|congestion_price_da|marginal_loss_price_rt|gross_sched_interchange_mw|net_sched_interchange_mw|total_pjm_loc_credit|da_as_mcp_synchronized_reserve|total_losses|system_energy_price_rt|gen_fuel_solar_pct|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|total_gen|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|da_as_mcp_primary_reserve|system_energy_price_da|total_lmp_da|marginal_loss_price_da|net_actual_interchange_mw|net_inadv_interchange_mw|gross_actual_interchange_mw|da_as_as_mw_synchronized_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.6615810576668536,system_energy_price_rt|net_actual_interchange_mw|da_as_mcp_synchronized_reserve|net_sched_interchange_mw|total_pjm_loc_credit|gen_fuel_multiple_fuels_mw|da_as_as_req_mw_synchronized_reserve|gen_fuel_gas_pct|gen_fuel_coal_pct|gross_inadv_interchange_mw|marginal_loss_price_rt|gen_fuel_other_renewables_mw|congestion_price_da|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|gross_actual_interchange_mw|gen_fuel_solar_pct|wind_generation_mw|da_as_as_mw_thirty_minutes_reserve|marginal_loss_price_da|gen_fuel_storage_mw|gen_fuel_coal_mw|total_losses|rmccp|total_pjm_rmccp_cr|gen_fuel_oil_pct|total_pjm_rmpcp_cr|gen_fuel_wind_mw|gen_fuel_solar_mw|gen_fuel_oil_mw|rmpcp|total_lmp_da
XGBoost,树模型特征重要性（2016）,0.6882848481622511,system_energy_price_rt|marginal_loss_price_rt|gen_fuel_solar_pct|da_as_as_req_mw_primary_reserve|gen_fuel_gas_pct|congestion_price_da|da_as_as_req_mw_thirty_minutes_reserve|rmccp|gen_fuel_multiple_fuels_mw|net_actual_interchange_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|gen_fuel_solar_mw|gen_fuel_gas_mw|net_sched_interchange_mw|gen_fuel_nuclear_mw|gross_sched_interchange_mw|total_pjm_rmccp_cr|gen_fuel_hydro_mw|da_as_mcp_synchronized_reserve|da_as_nsr_mw_primary_reserve|gen_fuel_other_renewables_mw|gen_fuel_wind_pct|da_as_ss_mw_primary_reserve|gen_fuel_coal_mw|total_pjm_rmpcp_cr|da_as_as_mw_thirty_minutes_reserve|gen_fuel_wind_mw|gross_inadv_interchange_mw|gen_fuel_hydro_pct|system_energy_price_da|gen_fuel_storage_mw
Lasso,线性稀疏（1996）,0.6091462512109727,system_energy_price_rt|gen_fuel_multiple_fuels_mw|system_energy_price_da|total_gen|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|total_lmp_da|congestion_price_da|marginal_loss_price_da|marginal_loss_price_rt|net_actual_interchange_mw|net_sched_interchange_mw|net_inadv_interchange_mw|gross_actual_interchange_mw|da_as_as_mw_thirty_minutes_reserve|total_pjm_loc_credit|total_pjm_rt_load_mwh|rmpcp|total_losses|wind_generation_mw
Pearson,相关系数排序（只看两两关系）,0.6362115780201725,system_energy_price_rt|marginal_loss_price_rt|system_energy_price_da|total_lmp_da|gen_fuel_oil_pct|gen_fuel_oil_mw|marginal_loss_price_da|rmccp|gen_fuel_multiple_fuels_mw|total_pjm_rmccp_cr|prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_nuclear_pct|total_gen|gen_fuel_multiple_fuels_pct|da_as_as_mw_thirty_minutes_reserve|gen_fuel_other_renewables_pct|gen_fuel_gas_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|total_losses|gen_fuel_storage_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|total_pjm_loc_credit|total_pjm_reg_purchases|net_sched_interchange_mw|net_actual_interchange_mw|gen_fuel_hydro_pct|congestion_price_da
