tau,平均选中数,最少,最多,与目标字段数之差
0.02,17.666666666666668,2,39,0.8541666666666679
0.05,10.583333333333334,2,39,6.229166666666666
0.08,7.75,2,32,9.0625
0.12,6.083333333333333,1,25,10.729166666666668
0.2,3.5,1,14,13.3125
0.3,2.8333333333333335,1,9,13.979166666666666
