tau,平均选中数,最少,最多,与目标字段数之差
0.3,22.25,13,33,5.4375
0.2,26.833333333333332,20,36,10.020833333333332
0.12,29.833333333333332,23,37,13.020833333333332
0.08,31.333333333333332,23,37,14.520833333333332
0.05,32.25,24,37,15.4375
0.02,33.333333333333336,24,40,16.520833333333336
