目标,口径,候选数,门控判零数,独立能力最高,被判零字段的最高独立能力,独立能力≥0.3的字段数,独立能力≥0.3且被判零,占比≥0.3,独立能力≥0.5的字段数,独立能力≥0.5且被判零,占比≥0.5,独立能力≥0.7的字段数,独立能力≥0.7且被判零,占比≥0.7
115号母线电压相角,未剥离,46,39,0.5876205435816704,0.5876205435816704,7,5,0.7142857142857143,2,1,0.5,0,0,0.0
115号母线电压相角,已剥离,46,39,0.5876205435816704,0.5876205435816704,7,5,0.7142857142857143,2,1,0.5,0,0,0.0
215号母线电压相角,未剥离,46,37,0.5913495756132026,0.40486884266346623,5,3,0.6,1,0,0.0,0,0,0.0
215号母线电压相角,已剥离,46,37,0.5913495756132026,0.40486884266346623,5,3,0.6,1,0,0.0,0,0,0.0
315号母线电压相角,未剥离,46,39,0.6717771979699843,0.6717771979699843,10,8,0.8,4,3,0.75,0,0,0.0
315号母线电压相角,已剥离,46,39,0.6717771979699843,0.6717771979699843,10,8,0.8,4,3,0.75,0,0,0.0
AB1联络线负载率,未剥离,46,36,0.5672488321897597,0.5352032198557599,16,11,0.6875,3,1,0.3333333333333333,0,0,0.0
AB1联络线负载率,已剥离,43,36,0.5672488321897597,0.5352032198557599,16,12,0.75,3,2,0.6666666666666666,0,0,0.0
AB2联络线负载率,未剥离,46,35,0.6156914657447897,0.415866452883472,5,2,0.4,1,0,0.0,0,0,0.0
AB2联络线负载率,已剥离,43,32,0.6156914657447897,0.36726353641560194,5,2,0.4,1,0,0.0,0,0,0.0
AB3联络线负载率,未剥离,46,36,0.3982869142733495,0.39664510547283616,15,11,0.7333333333333333,0,0,0.0,0,0,0.0
AB3联络线负载率,已剥离,43,34,0.3982869142733495,0.39664510547283616,15,11,0.7333333333333333,0,0,0.0,0,0,0.0
CA1联络线负载率,未剥离,46,34,0.5077975786414877,0.5077975786414877,9,5,0.5555555555555556,1,1,1.0,0,0,0.0
CA1联络线负载率,已剥离,43,32,0.5077975786414877,0.48580329544127787,8,4,0.5,1,0,0.0,0,0,0.0
CB1联络线负载率,未剥离,46,34,0.5168622619108478,0.5091462874845648,7,3,0.42857142857142855,2,1,0.5,0,0,0.0
CB1联络线负载率,已剥离,43,31,0.5168622619108478,0.5091462874845648,6,2,0.3333333333333333,2,1,0.5,0,0,0.0
121号核电机组出力,未剥离,46,45,0.9999998572935028,0.9999998572935028,7,6,0.8571428571428571,3,2,0.6666666666666666,2,1,0.5
121号核电机组出力,已剥离,28,24,0.4610169123075697,0.42961893228130155,2,1,0.5,0,0,0.0,0,0,0.0
218号联合循环机组出力,未剥离,46,45,0.9999786949821613,0.8314134474497397,15,14,0.9333333333333333,4,3,0.75,2,1,0.5
218号联合循环机组出力,已剥离,42,38,0.8314134474497397,0.5556018505992806,12,10,0.8333333333333334,2,1,0.5,1,0,0.0
317号风电机组出力,未剥离,46,37,0.8232037541229257,0.8232037541229257,6,2,0.3333333333333333,3,1,0.3333333333333333,2,1,0.5
317号风电机组出力,已剥离,42,31,0.6971694060513611,0.30855770297420126,4,1,0.25,1,0,0.0,0,0,0.0
321号联合循环机组启停状态,未剥离,46,45,0.9999996600313513,0.8406536827263056,5,4,0.8,3,2,0.6666666666666666,3,2,0.6666666666666666
321号联合循环机组启停状态,已剥离,42,38,0.8406536827263056,0.4043334710073365,3,2,0.6666666666666666,1,0,0.0,1,0,0.0
